acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.023,9.544,-1.611,0.924,-1.979,-0.123,BOMB
0.010,9.533,-2.146,1.209,-2.351,-0.177,BOMB
0.848,9.956,-2.297,1.363,-2.309,-0.221,BOMB
1.128,10.131,-2.378,1.192,-1.934,-0.132,BOMB
0.841,9.875,-2.851,1.170,-1.925,0.008,BOMB
0.933,10.005,-3.429,1.431,-2.335,0.184,BOMB
2.161,10.962,-4.403,1.571,-2.679,0.400,BOMB
4.444,12.000,-5.721,1.423,-2.476,0.506,BOMB
6.353,12.470,-7.569,1.507,-1.991,0.897,BOMB
8.167,13.960,-9.560,1.961,-1.694,1.597,BOMB
8.816,15.518,-11.503,2.419,-1.438,2.445,BOMB
8.673,16.777,-14.431,2.840,-1.091,3.341,BOMB
7.777,18.585,-17.155,3.500,-0.576,4.286,BOMB
5.579,20.420,-18.589,4.191,-0.037,5.066,BOMB
1.439,21.998,-19.351,4.697,-0.272,5.831,BOMB
1.236,22.821,-18.727,5.471,-0.788,6.396,BOMB
1.675,25.154,-18.127,5.885,1.379,6.530,BOMB
1.118,23.627,-16.170,7.006,4.779,6.596,BOMB
0.702,24.495,-13.341,8.183,7.555,7.463,BOMB
-2.478,27.294,-8.736,7.711,8.731,8.731,BOMB
-8.320,24.824,-3.769,5.022,8.731,8.731,BOMB
-13.616,18.165,-1.096,2.184,8.658,8.731,BOMB
-18.128,9.638,0.876,0.255,6.171,8.731,BOMB
-24.327,2.151,2.176,-0.461,3.416,8.129,BOMB
-26.287,-4.189,2.307,-0.931,2.562,5.120,BOMB
-21.058,-8.013,-0.403,-1.223,2.752,1.514,BOMB
-11.630,-9.677,-2.310,-0.911,2.249,-0.477,BOMB
-2.866,-9.095,-3.062,-0.665,2.333,-0.424,BOMB
-3.221,-7.881,-4.019,-0.835,2.719,0.956,BOMB
-9.799,-7.415,-4.920,-1.020,2.251,1.593,BOMB
-16.241,-4.783,-6.372,-1.244,1.211,1.002,BOMB
-22.158,-1.320,-9.795,-1.619,0.821,-0.612,BOMB
-24.394,-0.676,-15.045,-0.623,1.568,-3.220,BOMB
-22.782,-1.296,-17.668,3.809,3.412,-6.823,BOMB
-14.406,9.535,-10.793,8.370,5.142,-8.731,BOMB
-6.872,26.079,-2.062,8.659,8.731,-8.731,BOMB
-4.889,29.909,12.579,8.731,8.731,-7.168,BOMB
-0.220,28.178,17.333,8.731,8.731,-3.679,BOMB
-10.010,17.889,29.185,7.827,8.731,-2.075,BOMB
-13.893,3.960,27.445,3.768,1.468,-1.503,BOMB
3.145,3.647,12.677,2.303,-6.685,0.011,BOMB
7.865,4.168,7.954,1.476,-5.886,1.790,BOMB
3.282,0.609,5.625,1.178,-3.050,2.060,BOMB
0.059,0.206,3.739,1.825,-2.821,1.149,BOMB
1.915,-0.761,2.153,2.391,-2.613,-0.248,BOMB
2.828,0.667,2.346,3.466,-1.585,-1.847,BOMB
3.297,5.002,3.465,4.220,-0.042,-3.001,BOMB
2.475,8.379,4.504,4.312,1.001,-3.673,BOMB
2.785,10.368,4.983,3.933,1.286,-3.461,BOMB
2.335,10.891,5.395,3.170,1.265,-2.718,BOMB
1.783,10.686,5.109,2.451,0.630,-1.985,BOMB
1.382,11.475,3.995,2.026,-0.087,-1.410,BOMB
1.086,11.388,3.130,2.008,-0.346,-1.192,BOMB
0.988,11.862,2.676,2.331,-0.264,-1.405,BOMB
0.987,13.872,2.963,2.682,0.270,-1.840,BOMB
1.097,14.631,3.780,2.788,0.989,-2.086,BOMB
0.678,15.527,4.580,2.723,1.490,-2.136,BOMB
-0.055,16.297,5.230,2.592,1.546,-1.984,BOMB
-0.245,15.791,5.659,2.297,1.071,-1.542,BOMB
-0.099,14.536,5.246,1.772,0.162,-0.795,BOMB
-0.272,13.810,4.298,1.385,-0.774,-0.064,BOMB
-0.395,12.690,3.354,1.186,-1.530,0.382,BOMB
-0.297,11.638,2.394,0.975,-2.218,0.641,BOMB
0.053,10.834,1.501,0.770,-2.664,0.722,BOMB
0.388,10.325,0.761,0.641,-2.785,0.639,BOMB
0.647,10.174,0.321,0.580,-2.583,0.428,BOMB
0.829,10.144,0.119,0.510,-2.137,0.113,BOMB
1.105,10.211,-0.009,0.407,-1.585,-0.213,BOMB
1.311,10.348,-0.122,0.299,-1.079,-0.443,BOMB
2.415,11.704,1.715,-0.116,-1.141,-0.236,BOMB
2.086,11.537,1.717,-0.597,-1.630,0.251,BOMB
2.465,10.600,0.908,-0.300,-1.670,0.403,BOMB
1.118,10.046,-0.107,-0.162,-0.851,0.168,BOMB
0.150,9.780,-1.549,-0.092,-0.273,-0.023,BOMB
-0.618,9.189,-2.285,0.224,0.164,-0.406,BOMB
-0.157,9.355,-2.077,0.495,0.745,-0.808,BOMB
0.155,10.492,-0.282,0.185,1.149,-0.654,BOMB
-0.598,9.705,-0.080,-0.298,1.252,-0.358,BOMB
-1.234,9.229,-0.131,-0.333,1.214,-0.360,BOMB
-1.950,8.921,-0.210,-0.261,0.996,-0.314,BOMB
