acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1.591,10.337,-1.854,0.557,-1.891,-0.070,CAPT
2.914,10.707,-2.278,0.593,-2.105,0.077,CAPT
4.212,11.491,-2.153,0.617,-2.182,0.456,CAPT
6.420,12.037,-2.505,0.509,-2.073,0.766,CAPT
9.315,13.392,-3.009,0.596,-1.607,1.188,CAPT
10.998,14.750,-3.894,0.914,-1.271,2.214,CAPT
11.030,16.042,-4.828,1.198,-1.343,3.237,CAPT
11.817,18.144,-6.639,1.380,-1.296,4.022,CAPT
12.471,20.025,-8.846,1.600,-0.824,5.059,CAPT
11.852,21.296,-10.560,1.943,0.203,6.131,CAPT
10.780,23.368,-11.835,2.235,1.061,6.835,CAPT
10.511,23.198,-12.347,2.761,1.922,7.467,CAPT
8.397,21.234,-9.288,3.403,3.102,8.135,CAPT
4.003,18.124,-5.306,3.156,3.580,8.381,CAPT
1.080,14.608,-2.144,2.284,3.255,8.237,CAPT
-2.116,9.361,-0.744,1.619,2.534,7.700,CAPT
-3.843,5.149,0.454,1.340,1.430,6.530,CAPT
-3.821,2.307,0.707,1.073,0.602,5.293,CAPT
-3.297,-0.089,1.073,0.916,-0.009,4.330,CAPT
-3.165,-2.100,0.840,0.694,-0.403,3.580,CAPT
-2.656,-3.954,-0.075,0.569,-0.523,2.726,CAPT
-1.985,-5.247,-0.188,0.548,-0.325,1.975,CAPT
-1.835,-6.666,-0.273,0.474,-0.162,1.382,CAPT
-2.030,-7.788,-0.899,0.423,-0.318,0.907,CAPT
-2.017,-8.768,-1.951,0.502,-0.765,0.468,CAPT
-1.610,-8.892,-2.956,0.654,-1.149,0.032,CAPT
-3.427,-9.036,-6.107,0.848,-1.563,-0.398,CAPT
-2.681,-10.079,-9.223,2.097,-0.940,-1.440,CAPT
-1.746,-8.204,-7.928,3.477,0.470,-2.722,CAPT
0.239,-4.899,-5.360,4.189,1.196,-3.300,CAPT
1.935,-2.670,-3.621,4.404,1.322,-3.041,CAPT
2.964,-1.135,-3.282,4.771,1.207,-2.781,CAPT
3.941,1.546,-2.242,5.552,1.511,-2.831,CAPT
3.124,5.249,0.336,6.111,1.625,-2.868,CAPT
1.593,8.101,2.799,6.207,1.174,-2.711,CAPT
0.698,10.142,4.483,6.212,0.055,-2.631,CAPT
3.552,12.706,5.220,5.918,-0.180,-3.041,CAPT
8.353,15.125,8.793,5.560,1.510,-3.121,CAPT
9.730,18.319,16.770,4.244,4.289,-1.775,CAPT
6.252,17.960,22.619,1.422,5.549,-0.446,CAPT
-0.306,14.749,21.071,-0.963,3.473,0.611,CAPT
-6.487,7.679,15.862,-1.060,-0.174,0.913,CAPT
-0.285,6.926,12.562,0.136,-3.248,0.329,CAPT
5.463,7.884,11.267,0.374,-2.487,0.128,CAPT
5.804,8.369,11.466,0.032,0.402,0.042,CAPT
2.192,7.758,11.577,-0.501,1.554,0.114,CAPT
0.680,7.100,10.199,-0.703,1.184,0.190,CAPT
-1.187,6.592,9.498,-0.649,0.779,0.088,CAPT
-2.238,6.481,9.313,-0.422,0.259,-0.156,CAPT
-2.474,6.562,9.394,-0.245,0.398,-0.689,CAPT
-3.628,6.808,9.409,-0.301,0.968,-1.427,CAPT
-6.164,6.371,9.504,0.004,1.096,-2.220,CAPT
-7.710,7.455,10.298,0.325,0.696,-3.105,CAPT
-9.725,8.893,12.425,0.372,0.139,-4.067,CAPT
-11.171,10.847,14.026,-0.096,-0.453,-5.163,CAPT
-10.983,13.416,14.155,-0.931,-1.067,-6.320,CAPT
-7.214,16.424,12.199,-2.031,-1.304,-7.363,CAPT
-2.763,18.908,8.675,-3.054,-1.070,-7.904,CAPT
0.364,19.264,5.173,-3.732,-0.793,-7.935,CAPT
0.205,18.032,1.838,-3.265,-1.879,-7.214,CAPT
2.658,15.758,-1.424,-2.175,-4.035,-6.660,CAPT
6.624,10.206,-4.722,-1.362,-7.094,-4.874,CAPT
10.549,3.615,-8.395,-0.054,-8.731,-1.638,CAPT
12.289,1.616,-6.648,0.935,-8.731,0.604,CAPT
13.239,0.649,-3.852,0.253,-4.379,1.035,CAPT
9.584,-1.305,-3.478,-0.608,0.847,0.498,CAPT
6.177,-2.323,-3.405,-0.391,3.612,0.004,CAPT
4.451,-1.664,-1.737,0.600,3.772,-0.013,CAPT
3.745,-0.259,0.718,1.526,3.171,0.195,CAPT
2.548,1.443,3.005,2.013,2.430,0.463,CAPT
0.818,1.980,3.909,2.127,1.313,0.698,CAPT
0.553,1.630,3.135,2.265,0.037,0.689,CAPT
1.134,2.092,2.481,2.700,-0.504,0.335,CAPT
1.370,3.461,3.323,3.255,-0.321,-0.187,CAPT
1.541,4.315,4.472,3.507,0.069,-0.710,CAPT
1.597,6.184,4.758,3.632,0.459,-1.275,CAPT
1.339,7.552,5.789,3.944,0.854,-1.797,CAPT
0.055,9.326,6.600,4.296,0.669,-2.094,CAPT
-0.060,11.840,6.500,4.491,-0.200,-2.424,CAPT
1.166,14.551,6.470,4.707,-0.616,-2.895,CAPT
