acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.303,5.832,-3.482,0.326,-1.178,0.631,HULK
0.441,4.791,-4.674,0.314,-1.078,0.575,HULK
0.843,2.830,-6.503,0.065,-0.950,0.560,HULK
0.436,-1.145,-9.641,0.176,-0.660,0.440,HULK
0.575,-4.606,-12.643,0.789,-0.805,0.519,HULK
-0.129,-6.842,-16.072,1.227,-0.670,0.737,HULK
-3.367,-7.454,-20.075,1.961,-0.223,0.433,HULK
-5.880,-5.930,-21.217,3.279,0.154,-0.592,HULK
-6.617,-1.827,-20.034,4.195,0.445,-1.605,HULK
-7.552,3.032,-19.437,4.357,0.786,-2.401,HULK
-8.533,7.804,-20.580,4.186,1.085,-3.149,HULK
-8.799,12.177,-23.051,3.900,1.351,-3.687,HULK
-10.697,16.792,-23.597,3.922,2.656,-4.847,HULK
-8.154,25.597,-15.440,3.692,4.086,-5.807,HULK
-5.897,30.913,-6.205,3.000,4.311,-4.495,HULK
-6.743,30.422,-0.235,2.663,1.803,-0.854,HULK
-7.595,27.964,2.098,2.118,-0.331,1.611,HULK
-7.594,23.813,2.681,0.569,-0.929,2.222,HULK
-7.779,20.189,-0.178,-1.155,-1.134,1.808,HULK
-5.581,19.097,-4.423,-2.790,-1.196,1.108,HULK
-3.056,17.671,-10.677,-4.091,-1.166,0.867,HULK
-1.062,16.127,-14.851,-4.485,-1.166,1.168,HULK
-1.183,14.099,-15.580,-4.152,-1.956,2.552,HULK
-1.750,11.079,-18.289,-4.030,-2.542,4.082,HULK
-4.155,4.507,-20.913,-3.768,-1.942,4.223,HULK
-5.219,-3.727,-21.053,-2.829,-1.418,3.869,HULK
-6.474,-14.265,-21.407,-1.693,-1.101,3.488,HULK
-9.704,-21.511,-20.899,-0.330,-0.197,1.826,HULK
-10.701,-21.353,-18.711,1.011,0.324,-0.283,HULK
-9.890,-13.844,-15.849,2.095,0.460,-2.115,HULK
-7.771,-5.083,-15.005,2.523,0.716,-3.497,HULK
-6.686,2.505,-16.801,2.619,0.993,-4.230,HULK
-6.716,11.649,-20.079,2.513,1.447,-4.808,HULK
-4.639,20.882,-17.283,2.571,2.655,-5.368,HULK
-2.333,24.756,-10.905,2.526,2.743,-3.955,HULK
-2.236,25.595,-7.039,2.340,1.472,-1.550,HULK
-3.913,24.245,-4.261,1.813,1.119,-0.417,HULK
-5.778,23.058,-0.487,1.177,1.022,-0.366,HULK
-5.389,21.155,2.797,-0.087,0.352,-0.168,HULK
-3.992,17.380,0.855,-1.776,-0.658,0.568,HULK
-3.307,14.504,-3.350,-3.466,-1.214,1.189,HULK
-3.747,12.160,-7.213,-4.547,-1.482,1.414,HULK
-3.841,10.139,-9.948,-4.901,-1.660,1.224,HULK
-3.373,7.638,-11.488,-4.332,-1.653,0.464,HULK
-2.276,5.807,-11.026,-3.435,-1.415,0.063,HULK
-1.455,4.556,-10.253,-2.846,-1.626,0.225,HULK
-0.901,3.486,-10.112,-2.398,-1.755,0.527,HULK
-0.846,3.227,-9.744,-1.654,-1.435,0.507,HULK
-0.607,3.316,-8.662,-0.981,-0.926,0.290,HULK
-0.307,3.717,-6.683,-0.543,-0.503,0.091,HULK
-0.251,4.702,-5.047,-0.359,-0.223,-0.005,HULK
-0.100,6.209,-3.718,-0.425,0.044,-0.122,HULK
0.181,7.575,-2.927,-0.598,0.268,-0.197,HULK
0.343,8.658,-2.230,-0.626,0.481,-0.200,HULK
0.078,8.983,-1.534,-0.579,0.573,-0.057,HULK
-0.201,9.086,-1.030,-0.542,0.499,0.116,HULK
-0.256,8.946,-0.694,-0.556,0.522,0.224,HULK
-0.477,8.557,-0.422,-0.465,0.627,0.246,HULK
-0.995,8.765,-0.016,-0.262,0.678,0.144,HULK
-1.126,9.176,0.288,-0.143,0.668,-0.083,HULK
-0.810,9.882,0.291,-0.184,0.646,-0.336,HULK
-0.205,10.148,0.181,-0.263,0.799,-0.469,HULK
0.003,9.963,0.108,-0.266,1.022,-0.458,HULK
-0.270,9.973,0.132,-0.219,1.025,-0.350,HULK
-0.537,9.808,0.171,-0.115,0.808,-0.174,HULK
-0.828,9.553,0.199,0.012,0.462,-0.009,HULK
-0.923,9.747,0.226,0.127,0.065,0.106,HULK
-0.716,9.941,0.217,0.147,-0.170,0.139,HULK
-0.493,10.101,0.089,0.078,-0.234,0.140,HULK
-0.267,10.194,0.082,-0.057,-0.222,0.171,HULK
-0.290,10.009,-0.135,-0.204,-0.190,0.220,HULK
-0.319,9.852,-0.502,-0.240,-0.197,0.254,HULK
-0.245,9.846,-0.642,-0.205,-0.205,0.292,HULK
-0.245,9.774,-0.720,-0.123,-0.192,0.340,HULK
-0.306,9.793,-0.634,-0.031,-0.176,0.377,HULK
-0.394,9.682,-0.598,0.041,-0.170,0.394,HULK
-0.460,9.651,-0.547,0.061,-0.165,0.386,HULK
-0.501,9.736,-0.505,0.039,-0.120,0.350,HULK
-0.486,9.747,-0.542,0.005,-0.025,0.289,HULK
-0.454,9.753,-0.535,-0.016,0.070,0.233,HULK
