acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.476,9.682,0.058,0.003,0.030,-0.030,IRONMAN
0.537,9.725,0.117,-0.002,0.024,-0.025,IRONMAN
0.616,9.754,0.124,-0.022,0.037,-0.020,IRONMAN
0.670,9.897,0.370,-0.103,0.033,0.010,IRONMAN
0.703,9.957,0.478,-0.221,0.005,0.055,IRONMAN
0.913,10.974,1.548,-0.567,-0.120,0.132,IRONMAN
3.205,13.126,4.307,-2.068,-0.017,0.745,IRONMAN
3.328,16.118,8.557,-4.931,0.270,2.347,IRONMAN
2.493,18.645,9.644,-8.468,-0.058,3.660,IRONMAN
-0.886,11.365,4.159,-8.731,-0.919,3.676,IRONMAN
2.496,1.785,0.724,-6.498,-2.017,2.878,IRONMAN
5.367,1.625,2.647,-3.840,-1.270,1.728,IRONMAN
5.163,2.030,5.293,-2.319,-0.834,1.516,IRONMAN
5.379,2.771,6.611,-1.668,-0.447,1.727,IRONMAN
3.599,2.090,5.942,-1.214,-0.220,1.627,IRONMAN
3.235,1.889,5.617,-0.637,-0.229,0.977,IRONMAN
3.965,2.597,6.381,-0.229,-0.162,0.504,IRONMAN
4.523,2.650,6.442,-0.182,-0.071,0.456,IRONMAN
4.698,2.720,6.193,0.142,0.035,0.377,IRONMAN
5.260,3.151,6.812,0.296,-0.075,0.318,IRONMAN
6.431,3.176,7.323,0.456,-0.302,0.468,IRONMAN
8.506,3.373,8.826,0.477,-0.640,0.864,IRONMAN
11.394,2.730,10.631,0.171,-1.008,1.368,IRONMAN
13.604,2.099,11.853,-0.354,-1.556,2.084,IRONMAN
13.677,0.404,12.265,-0.953,-2.019,2.644,IRONMAN
12.826,-2.492,11.044,-1.388,-2.272,2.797,IRONMAN
13.085,-4.522,10.436,-1.634,-2.572,2.737,IRONMAN
12.392,-6.916,8.282,-1.926,-2.726,3.078,IRONMAN
11.817,-7.990,6.472,-1.980,-2.564,3.545,IRONMAN
10.014,-7.528,5.216,-2.140,-2.627,3.979,IRONMAN
7.270,-6.902,2.913,-2.319,-2.697,4.230,IRONMAN
5.458,-6.550,0.313,-2.296,-2.713,4.033,IRONMAN
5.884,-5.900,-1.370,-2.017,-2.503,3.816,IRONMAN
5.632,-5.906,-2.105,-1.570,-2.114,3.638,IRONMAN
4.528,-6.599,-3.600,-1.397,-1.658,3.423,IRONMAN
3.586,-7.956,-4.733,-0.953,-0.873,3.186,IRONMAN
1.874,-9.106,-4.960,-0.691,-0.168,3.150,IRONMAN
-1.124,-10.420,-3.853,-0.505,0.914,3.385,IRONMAN
-5.681,-9.654,-2.990,-0.277,1.589,2.032,IRONMAN
-4.572,-6.927,-0.462,0.424,1.583,-0.624,IRONMAN
1.024,-3.101,1.896,1.078,1.584,-2.009,IRONMAN
3.819,-0.621,3.830,2.259,2.699,-1.566,IRONMAN
3.077,1.360,7.382,3.106,3.032,-1.535,IRONMAN
5.392,0.362,10.153,2.800,2.651,-1.327,IRONMAN
4.048,-1.961,11.417,1.537,1.717,-0.420,IRONMAN
3.103,-3.798,8.468,0.061,-0.148,-0.412,IRONMAN
4.171,-3.994,4.662,-0.732,-1.479,-0.214,IRONMAN
3.568,-3.867,3.202,-0.798,-1.509,0.478,IRONMAN
2.392,-4.323,2.268,-0.539,-1.224,0.957,IRONMAN
1.408,-4.413,2.700,-0.147,-1.093,0.948,IRONMAN
1.664,-4.966,3.238,0.089,-1.233,0.685,IRONMAN
2.001,-4.875,3.575,0.337,-1.214,0.495,IRONMAN
1.520,-4.486,3.674,0.640,-1.292,0.206,IRONMAN
1.066,-4.395,2.911,0.909,-1.464,-0.365,IRONMAN
1.719,-4.458,1.258,1.154,-1.550,-1.024,IRONMAN
1.721,-4.992,0.473,2.052,-1.276,-1.518,IRONMAN
1.377,-4.893,0.933,2.895,-0.979,-1.970,IRONMAN
1.379,-3.257,1.814,2.695,-0.695,-2.798,IRONMAN
2.802,-3.100,2.100,2.392,-0.476,-3.790,IRONMAN
5.681,-3.703,2.895,2.838,-0.130,-4.569,IRONMAN
6.965,-1.638,4.108,3.110,0.116,-4.971,IRONMAN
10.779,0.440,7.133,2.698,0.227,-5.250,IRONMAN
12.565,0.108,8.249,2.161,0.183,-5.089,IRONMAN
12.511,-0.711,6.445,2.123,0.135,-4.993,IRONMAN
12.712,-0.521,6.218,3.149,0.297,-5.365,IRONMAN
13.174,4.156,8.490,3.170,0.240,-5.189,IRONMAN
11.944,6.112,8.665,2.363,-0.082,-4.650,IRONMAN
10.699,6.287,6.084,2.151,-0.417,-4.485,IRONMAN
9.401,8.130,3.783,2.629,-0.432,-4.856,IRONMAN
7.796,11.314,3.380,2.835,-0.553,-4.809,IRONMAN
7.121,12.559,3.481,2.512,-0.771,-4.074,IRONMAN
7.032,12.597,2.878,2.199,-0.711,-3.222,IRONMAN
6.236,12.532,2.116,1.899,-0.150,-2.708,IRONMAN
4.924,12.292,1.528,1.649,0.292,-2.229,IRONMAN
4.048,12.003,1.675,1.257,0.393,-1.653,IRONMAN
3.318,11.335,1.685,0.878,0.302,-1.171,IRONMAN
2.465,10.898,1.491,0.667,0.031,-0.802,IRONMAN
1.824,10.574,1.293,0.548,-0.472,-0.533,IRONMAN
1.704,10.459,0.901,0.410,-1.007,-0.306,IRONMAN
1.873,10.333,0.491,0.256,-1.204,-0.113,IRONMAN
