acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.213,10.454,-0.757,0.544,-1.271,0.380,LOGOUT
3.155,10.881,-1.009,0.798,-1.575,0.592,LOGOUT
4.691,11.602,-1.236,0.922,-1.576,0.888,LOGOUT
6.430,13.034,-1.404,0.852,-1.091,1.354,LOGOUT
7.552,14.193,-2.037,0.721,-0.542,1.991,LOGOUT
7.701,15.072,-2.609,0.771,-0.381,2.967,LOGOUT
7.637,16.332,-3.244,0.909,-0.435,3.585,LOGOUT
8.229,17.070,-4.270,1.083,-0.585,4.260,LOGOUT
8.083,17.612,-5.110,1.395,-0.704,4.943,LOGOUT
8.286,18.147,-5.607,1.595,-0.430,5.171,LOGOUT
9.514,19.522,-6.055,1.322,0.613,5.364,LOGOUT
9.006,18.241,-6.360,0.989,1.819,6.112,LOGOUT
6.371,16.165,-5.649,1.009,2.358,7.009,LOGOUT
5.567,15.948,-4.849,0.895,2.268,7.181,LOGOUT
5.076,13.234,-4.164,0.901,1.868,7.559,LOGOUT
2.475,9.690,-3.031,1.313,1.746,7.858,LOGOUT
-0.497,7.726,-1.163,1.601,1.540,7.758,LOGOUT
-3.853,4.379,0.376,1.508,1.118,7.220,LOGOUT
-6.445,1.013,1.854,1.422,0.324,6.321,LOGOUT
-7.671,-1.863,3.077,1.149,-0.223,5.004,LOGOUT
-8.334,-4.181,4.144,0.703,-0.204,3.567,LOGOUT
-8.893,-6.155,4.668,-0.126,0.519,1.738,LOGOUT
-7.807,-9.034,3.358,-0.957,0.868,-0.067,LOGOUT
-3.142,-13.210,1.206,-1.161,0.487,-1.273,LOGOUT
4.661,-17.276,-1.240,-0.725,-0.021,-1.900,LOGOUT
12.564,-19.694,-1.832,0.938,-0.221,-1.332,LOGOUT
14.689,-16.194,0.603,2.165,0.312,0.327,LOGOUT
11.323,-13.291,2.980,1.753,1.408,1.560,LOGOUT
6.630,-11.745,3.736,0.980,1.801,2.133,LOGOUT
2.328,-9.819,3.659,0.427,1.269,2.162,LOGOUT
-0.310,-7.503,3.080,0.086,0.445,1.688,LOGOUT
-1.646,-5.232,2.055,-0.151,-0.222,0.876,LOGOUT
-0.962,-2.949,0.550,-0.160,-1.085,-0.129,LOGOUT
1.010,-0.938,-0.253,0.060,-1.703,-0.498,LOGOUT
4.381,1.676,-1.829,-0.127,-1.325,-0.937,LOGOUT
5.525,1.671,-2.769,-0.119,-0.384,-0.874,LOGOUT
2.905,1.224,-1.689,0.332,0.536,-0.222,LOGOUT
-0.117,0.823,-0.848,0.174,0.963,-0.551,LOGOUT
-0.629,-1.304,-0.195,0.072,0.459,-1.027,LOGOUT
-1.071,-5.372,1.060,0.070,-0.283,-1.243,LOGOUT
-0.851,-10.086,2.188,-0.271,-1.440,-1.818,LOGOUT
3.784,-16.058,3.057,-0.529,-2.136,-2.654,LOGOUT
11.120,-19.624,3.636,-0.401,-2.162,-2.722,LOGOUT
18.615,-20.478,3.824,-0.624,-1.639,-1.410,LOGOUT
20.854,-19.586,2.027,-0.947,-0.435,0.411,LOGOUT
18.789,-17.387,0.669,-0.174,0.635,1.435,LOGOUT
13.258,-14.653,1.043,0.965,1.063,2.216,LOGOUT
8.023,-12.189,2.030,1.196,1.030,2.592,LOGOUT
4.865,-10.884,2.062,1.031,0.851,2.352,LOGOUT
2.812,-8.794,2.073,0.988,0.555,1.870,LOGOUT
1.909,-6.419,2.269,0.782,0.696,1.380,LOGOUT
0.660,-3.650,2.079,0.237,1.249,0.831,LOGOUT
-0.497,-1.840,1.274,-0.314,1.647,0.265,LOGOUT
-0.651,-0.289,-0.116,-0.686,1.600,-0.385,LOGOUT
-0.129,0.489,-1.422,-0.675,1.156,-0.743,LOGOUT
-0.817,1.153,-1.662,-0.440,0.442,-0.682,LOGOUT
-2.194,1.036,-1.403,-0.308,-0.211,-0.645,LOGOUT
-3.164,0.589,-1.333,-0.236,-0.675,-1.008,LOGOUT
-3.258,-0.035,-1.131,-0.250,-1.108,-1.614,LOGOUT
-3.119,-0.641,-0.844,-0.381,-1.393,-2.362,LOGOUT
-3.774,-2.601,0.129,-0.618,-1.525,-3.152,LOGOUT
-3.814,-2.401,0.609,-1.315,-1.532,-4.515,LOGOUT
-1.561,-0.649,0.663,-1.967,-1.266,-6.444,LOGOUT
4.090,5.565,-1.130,-2.698,-1.030,-8.514,LOGOUT
13.155,8.300,-3.039,-3.355,-0.469,-8.731,LOGOUT
15.278,7.916,-3.256,-3.122,0.864,-7.691,LOGOUT
15.217,8.667,-3.456,-2.320,2.083,-7.714,LOGOUT
14.264,11.695,-1.577,-0.691,2.207,-7.350,LOGOUT
14.135,15.046,0.363,0.808,2.131,-6.591,LOGOUT
14.105,17.200,1.994,1.558,2.730,-6.265,LOGOUT
11.680,17.359,3.367,1.682,3.227,-5.470,LOGOUT
8.490,17.031,4.135,1.269,2.996,-4.277,LOGOUT
6.066,15.532,4.390,0.920,2.174,-3.631,LOGOUT
5.065,14.653,4.095,0.732,1.070,-3.364,LOGOUT
4.936,13.758,3.408,0.681,0.036,-2.985,LOGOUT
4.486,12.451,2.756,1.031,-0.958,-2.558,LOGOUT
3.935,13.270,6.073,1.850,-2.704,-2.232,LOGOUT
8.469,15.749,5.771,1.279,-4.633,-0.614,LOGOUT
6.328,12.690,2.166,0.261,-3.671,0.498,LOGOUT
4.342,10.953,-0.423,-0.338,-2.288,0.742,LOGOUT
