acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.164,12.634,-0.884,-0.932,-3.184,-3.488,NULL
0.240,13.488,-1.142,-1.347,-1.980,-3.913,NULL
-0.085,13.674,-1.550,-1.453,-1.211,-4.171,NULL
-3.081,13.010,-1.620,-0.998,-1.615,-4.621,NULL
-3.343,15.117,-3.875,0.631,-4.921,-5.763,NULL
3.616,21.285,-6.181,0.865,-6.885,-6.256,NULL
12.257,23.309,-9.751,-1.083,-6.682,-4.774,NULL
18.449,15.982,-13.767,-1.991,-3.187,-1.254,NULL
11.187,12.987,-13.608,0.177,0.058,2.389,NULL
4.692,15.549,-9.643,2.937,0.488,3.643,NULL
4.439,20.203,-5.754,4.211,1.275,3.948,NULL
4.857,23.337,-3.639,3.869,3.244,4.729,NULL
3.654,24.969,-3.387,2.666,6.159,6.053,NULL
0.750,26.481,-4.558,1.433,8.668,7.842,NULL
-5.070,23.844,-5.090,0.759,8.731,8.617,NULL
-12.569,17.024,-2.965,0.861,8.731,8.218,NULL
-21.903,10.507,0.883,1.206,4.965,7.568,NULL
-29.972,4.153,4.199,1.323,-0.916,5.288,NULL
-24.575,2.742,4.888,0.791,-3.278,-0.198,NULL
-15.499,5.878,4.200,0.361,-1.921,-5.844,NULL
-11.041,12.864,2.592,0.544,-2.239,-8.731,NULL
-5.831,20.810,0.297,0.406,-4.080,-8.731,NULL
0.059,28.518,-2.551,-0.718,-5.573,-8.731,NULL
8.090,32.750,-7.501,-2.336,-6.068,-8.731,NULL
22.980,30.243,-16.200,-2.822,-4.716,-6.123,NULL
19.458,20.092,-18.878,0.271,-3.676,1.494,NULL
9.838,22.169,-13.866,2.980,-1.761,4.304,NULL
7.170,23.340,-10.710,3.374,1.080,4.234,NULL
7.834,23.949,-10.119,3.657,3.596,4.747,NULL
6.537,28.547,-8.224,4.134,5.433,6.501,NULL
1.627,27.847,-4.804,4.026,6.548,7.973,NULL
-3.355,23.734,-1.568,3.565,6.811,8.731,NULL
-9.123,20.032,0.916,2.767,6.582,8.731,NULL
-14.217,14.391,3.740,1.518,4.822,7.333,NULL
-16.061,6.943,5.531,0.754,1.899,4.419,NULL
-20.111,2.375,6.987,0.975,-2.051,2.807,NULL
-21.069,2.478,9.185,0.894,-5.383,1.210,NULL
-15.940,7.787,9.447,-1.554,-5.065,-2.667,NULL
-9.744,12.244,6.105,-3.823,-2.779,-6.025,NULL
-7.109,17.140,2.149,-5.233,-1.181,-8.257,NULL
-4.088,23.068,-1.787,-5.979,-1.188,-8.731,NULL
-0.913,30.696,-4.743,-5.963,-0.793,-8.731,NULL
1.396,32.750,-4.276,-4.370,0.061,-8.731,NULL
2.604,32.750,-4.096,-2.060,-0.338,-8.731,NULL
10.929,32.750,-4.790,-0.143,-1.336,-8.731,NULL
19.773,30.496,-7.194,0.795,-2.979,-4.545,NULL
18.233,22.123,-10.382,1.220,-3.932,0.952,NULL
11.647,16.923,-9.217,2.146,-2.189,3.291,NULL
7.264,16.580,-7.628,2.922,-0.492,3.131,NULL
6.952,19.205,-7.326,3.311,0.332,2.731,NULL
8.964,24.539,-8.140,3.867,0.989,4.266,NULL
7.635,31.683,-8.234,4.386,1.663,6.736,NULL
4.270,32.750,-6.851,4.911,2.874,8.410,NULL
0.726,29.733,-3.851,5.342,3.868,8.731,NULL
-4.525,26.936,-0.031,5.403,4.267,8.731,NULL
-8.388,23.471,3.593,4.334,4.304,8.731,NULL
-11.880,15.932,6.050,2.461,3.233,6.955,NULL
-11.196,8.649,6.548,0.988,1.447,4.358,NULL
-12.070,3.957,7.189,0.391,-0.405,2.777,NULL
-15.132,1.603,8.707,-0.242,-2.518,1.522,NULL
-14.674,2.249,8.820,-1.743,-3.768,-0.628,NULL
-12.122,6.729,7.357,-3.711,-3.186,-2.867,NULL
-9.000,12.076,3.001,-5.900,-1.405,-5.184,NULL
-6.482,17.124,-2.419,-6.993,-0.379,-7.397,NULL
-3.584,21.971,-4.989,-6.192,0.261,-8.731,NULL
0.003,32.750,-6.223,-5.187,1.580,-8.731,NULL
9.672,32.750,-6.697,-3.077,3.226,-8.731,NULL
4.326,32.750,-2.414,-1.596,2.488,-6.977,NULL
3.515,28.796,-1.373,-1.313,1.407,-6.656,NULL
5.438,24.403,-1.660,-0.877,-0.353,-5.560,NULL
7.275,19.515,-3.496,-0.796,-2.352,-3.539,NULL
7.598,14.837,-5.463,-0.349,-3.844,-1.710,NULL
8.538,12.129,-5.620,0.621,-4.217,-0.563,NULL
9.369,11.604,-4.079,1.325,-3.167,0.308,NULL
8.920,12.541,-2.078,1.216,-1.333,1.259,NULL
7.159,12.948,-0.919,0.722,0.251,2.213,NULL
4.728,12.852,-0.598,0.599,0.953,3.049,NULL
2.690,13.693,-0.344,0.845,0.808,3.723,NULL
1.373,15.812,-0.069,1.162,0.701,4.254,NULL
-0.200,17.704,-0.178,1.487,0.713,4.697,NULL
