acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.082,9.634,-0.444,0.016,0.004,-0.016,RELOAD
-0.030,9.697,-0.501,0.030,-0.018,-0.039,RELOAD
0.114,9.708,-0.593,0.044,-0.020,-0.056,RELOAD
0.193,9.804,-0.856,0.077,-0.074,-0.086,RELOAD
0.464,9.913,-1.668,0.239,-0.325,-0.167,RELOAD
1.186,10.388,-2.759,0.613,-0.784,-0.157,RELOAD
2.794,11.827,-4.385,1.023,-1.250,-0.197,RELOAD
4.699,13.782,-5.345,1.239,-0.779,0.103,RELOAD
5.305,12.839,-6.685,1.756,-0.348,0.871,RELOAD
2.790,13.488,-10.703,3.575,-1.548,1.983,RELOAD
2.709,15.402,-15.294,6.486,-4.587,2.653,RELOAD
2.150,14.098,-13.832,7.240,-2.973,2.227,RELOAD
-1.953,13.924,-20.299,8.731,-3.943,1.415,RELOAD
-1.616,13.282,-15.338,8.731,-1.693,0.530,RELOAD
-5.137,11.540,-12.697,7.831,0.054,-0.250,RELOAD
-4.180,9.104,-8.874,7.532,0.527,-0.858,RELOAD
-1.787,9.535,-3.444,7.268,0.883,-1.234,RELOAD
1.486,9.917,2.491,5.795,0.888,-0.731,RELOAD
2.283,8.818,5.319,3.713,0.360,0.023,RELOAD
5.045,7.992,9.207,2.142,0.276,-0.218,RELOAD
5.555,8.560,11.666,-0.220,0.045,0.314,RELOAD
3.792,8.215,8.447,-2.987,-0.291,1.186,RELOAD
0.915,7.084,3.089,-4.878,-0.407,1.548,RELOAD
-0.827,7.993,-1.119,-5.908,-0.482,1.171,RELOAD
-2.779,9.929,-7.352,-7.183,-0.760,0.952,RELOAD
-5.390,11.867,-16.925,-8.212,-1.604,1.754,RELOAD
-6.519,9.945,-26.859,-7.883,-2.615,2.918,RELOAD
-5.067,7.026,-28.439,-5.375,-1.548,2.360,RELOAD
-8.414,9.068,-28.974,-2.957,-0.732,1.243,RELOAD
-9.615,6.793,-31.169,-0.781,-1.790,0.951,RELOAD
-7.506,4.244,-26.958,2.598,-1.292,-0.497,RELOAD
-7.283,7.818,-22.132,4.081,-0.257,-1.647,RELOAD
-7.558,7.913,-21.771,4.386,0.140,-1.781,RELOAD
-6.898,6.889,-18.641,5.884,0.455,-2.437,RELOAD
-4.539,9.664,-13.407,6.573,0.856,-3.162,RELOAD
-1.272,9.201,-8.718,6.439,1.394,-3.062,RELOAD
0.132,8.652,-3.213,6.208,1.577,-3.027,RELOAD
2.113,9.040,2.380,5.175,1.118,-2.722,RELOAD
4.416,7.929,5.841,3.221,0.544,-1.759,RELOAD
5.073,5.991,6.785,0.999,0.360,-0.671,RELOAD
4.381,4.560,6.424,-0.770,0.302,0.041,RELOAD
3.709,4.319,5.502,-2.479,0.428,0.507,RELOAD
2.608,5.134,3.092,-4.226,0.864,0.698,RELOAD
1.910,6.834,-1.251,-6.218,1.709,0.665,RELOAD
0.714,8.831,-6.541,-7.941,2.911,0.390,RELOAD
-0.236,11.284,-12.641,-8.731,3.377,-0.249,RELOAD
1.385,12.751,-17.161,-8.731,3.412,-1.338,RELOAD
4.415,11.415,-17.115,-8.302,3.577,-1.929,RELOAD
5.709,11.382,-13.888,-5.904,3.922,-2.129,RELOAD
4.777,12.780,-9.924,-4.202,3.994,-2.620,RELOAD
4.826,13.838,-7.724,-3.336,3.824,-3.189,RELOAD
4.539,12.824,-6.166,-2.566,3.186,-3.044,RELOAD
3.313,11.727,-4.471,-1.414,1.811,-2.415,RELOAD
2.603,11.643,-3.142,-0.561,0.473,-2.012,RELOAD
2.670,11.776,-2.448,-0.116,-0.444,-1.777,RELOAD
3.149,11.463,-2.293,0.087,-0.820,-1.391,RELOAD
2.978,11.053,-2.123,0.218,-0.832,-0.871,RELOAD
2.317,10.789,-1.812,0.269,-0.738,-0.518,RELOAD
1.539,10.488,-1.549,0.488,-1.139,-0.390,RELOAD
3.600,11.118,-0.107,0.697,-1.460,-0.110,RELOAD
2.911,11.217,0.646,0.359,-0.518,0.310,RELOAD
1.236,10.413,0.096,-0.093,0.311,0.373,RELOAD
-0.137,9.879,-0.641,-0.276,0.517,0.309,RELOAD
-0.500,9.462,-1.102,-0.245,0.275,0.232,RELOAD
-0.471,9.162,-1.246,-0.087,0.032,0.195,RELOAD
-0.463,9.209,-1.221,0.100,-0.152,0.192,RELOAD
-0.379,9.229,-1.084,0.174,-0.250,0.159,RELOAD
-0.270,9.250,-0.939,0.156,-0.227,0.115,RELOAD
-0.303,9.328,-0.786,0.126,-0.112,0.055,RELOAD
-0.443,9.391,-0.629,0.156,-0.099,-0.049,RELOAD
-0.304,9.557,-0.435,0.266,-0.316,-0.120,RELOAD
0.111,9.890,-0.253,0.339,-0.616,-0.106,RELOAD
0.569,10.126,-0.305,0.224,-0.697,-0.026,RELOAD
0.653,9.976,-0.694,0.016,-0.521,0.041,RELOAD
0.502,9.749,-1.137,-0.135,-0.215,0.045,RELOAD
0.255,9.589,-1.361,-0.222,0.094,-0.014,RELOAD
0.036,9.422,-1.422,-0.193,0.221,-0.073,RELOAD
-0.037,9.441,-1.401,-0.071,0.121,-0.089,RELOAD
0.138,9.586,-1.243,0.070,-0.048,-0.069,RELOAD
0.351,9.799,-0.997,0.120,-0.049,-0.031,RELOAD
