acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.241,8.807,-7.904,1.401,-0.742,0.520,SHANGCHI
1.929,8.785,-9.216,1.798,-0.460,0.518,SHANGCHI
1.643,9.251,-10.487,2.262,-0.118,0.340,SHANGCHI
0.617,9.015,-11.606,2.732,0.040,0.262,SHANGCHI
-0.011,9.105,-13.316,3.171,0.081,0.011,SHANGCHI
-1.074,9.203,-15.015,3.755,0.069,-0.185,SHANGCHI
-2.520,9.566,-16.505,4.255,0.217,-0.486,SHANGCHI
-3.440,9.946,-17.481,4.597,0.428,-0.783,SHANGCHI
-5.121,10.014,-17.899,5.092,0.766,-1.047,SHANGCHI
-5.852,10.048,-18.448,5.554,0.317,-1.028,SHANGCHI
-6.281,10.055,-16.624,6.076,0.354,-1.365,SHANGCHI
-5.782,9.786,-14.578,6.404,0.019,-1.750,SHANGCHI
-3.105,9.628,-9.853,6.226,0.957,-2.437,SHANGCHI
-2.327,8.540,-5.129,5.523,1.429,-2.626,SHANGCHI
-0.304,7.409,-2.226,4.549,0.954,-1.972,SHANGCHI
0.351,5.485,-1.440,3.464,0.355,-1.325,SHANGCHI
0.969,4.109,-1.541,2.534,0.074,-1.125,SHANGCHI
1.090,2.453,-1.178,1.833,0.083,-1.222,SHANGCHI
2.255,0.894,-0.651,1.018,-0.050,-1.305,SHANGCHI
3.652,-1.286,-1.556,0.196,0.067,-1.131,SHANGCHI
4.783,-2.897,-2.294,-0.405,0.392,-1.105,SHANGCHI
6.593,-3.824,-3.545,-0.890,0.950,-1.197,SHANGCHI
9.812,-3.522,-5.315,-1.508,2.108,-1.067,SHANGCHI
11.573,-3.747,-7.946,-2.247,4.004,-0.676,SHANGCHI
13.757,-2.847,-8.918,-2.620,5.997,-0.463,SHANGCHI
16.281,-1.395,-8.756,-3.317,8.652,-0.368,SHANGCHI
19.598,0.076,-7.945,-4.016,8.731,-0.485,SHANGCHI
18.188,2.214,-6.853,-4.855,8.731,-0.415,SHANGCHI
