acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.943,11.790,-1.592,0.430,2.940,-0.226,SHIELD
3.655,12.769,-1.411,0.057,3.238,-0.172,SHIELD
4.284,13.857,-1.459,-0.327,3.598,-0.107,SHIELD
4.868,15.207,-1.843,-0.538,3.961,0.049,SHIELD
5.045,16.838,-1.804,-0.449,4.030,0.547,SHIELD
4.894,18.148,-1.753,-0.184,3.154,1.531,SHIELD
5.553,19.395,-2.978,0.288,1.826,2.801,SHIELD
7.372,19.632,-6.918,1.429,0.423,4.242,SHIELD
11.988,21.623,-11.251,3.569,-0.879,5.923,SHIELD
13.608,22.184,-15.186,5.346,-0.459,7.306,SHIELD
13.695,21.205,-15.044,7.151,-0.393,8.170,SHIELD
9.928,19.574,-10.173,7.319,0.244,7.995,SHIELD
2.093,15.649,-3.804,4.546,3.312,5.793,SHIELD
-4.130,8.943,-2.213,1.375,5.896,3.324,SHIELD
-7.594,2.809,-1.326,-0.141,5.665,2.612,SHIELD
-9.790,-1.249,-0.913,-0.164,3.456,2.756,SHIELD
-7.963,-1.588,-0.614,-0.113,1.842,1.903,SHIELD
-5.077,-1.703,-0.377,-0.427,1.789,0.738,SHIELD
-3.195,-2.137,-0.356,-0.674,1.611,-0.031,SHIELD
-0.602,-2.665,-0.622,-0.673,1.292,-0.676,SHIELD
3.025,-2.413,0.150,-0.370,1.098,-1.224,SHIELD
6.768,-2.089,1.189,-0.163,0.788,-1.280,SHIELD
9.089,-2.064,1.662,-0.081,0.358,-0.838,SHIELD
10.000,-2.137,1.420,-0.096,0.090,-0.268,SHIELD
10.371,-2.130,1.277,-0.006,0.057,0.087,SHIELD
10.512,-2.009,1.314,-0.008,0.063,0.225,SHIELD
10.451,-2.034,1.326,-0.030,0.094,0.362,SHIELD
9.874,-2.305,1.321,-0.009,-0.011,0.561,SHIELD
8.726,-2.639,1.214,0.030,-0.141,0.694,SHIELD
7.879,-2.881,1.088,0.014,-0.225,0.675,SHIELD
7.020,-3.118,1.036,-0.031,-0.224,0.526,SHIELD
6.235,-3.240,1.158,-0.041,-0.269,0.241,SHIELD
5.873,-3.353,1.012,-0.059,-0.300,-0.061,SHIELD
5.774,-3.231,0.924,-0.066,-0.374,-0.323,SHIELD
5.515,-3.157,0.684,-0.109,-0.598,-0.420,SHIELD
5.539,-3.164,-0.110,-0.146,-0.742,-0.514,SHIELD
5.453,-2.839,-0.648,-0.108,-0.639,-0.859,SHIELD
5.731,-2.571,-0.756,0.063,-0.766,-1.065,SHIELD
6.476,-2.043,-0.777,0.156,-1.026,-1.054,SHIELD
6.909,-1.646,-1.067,0.136,-1.066,-1.086,SHIELD
7.712,-1.152,-1.066,0.143,-0.953,-1.202,SHIELD
8.678,-0.595,-1.006,-0.043,-0.658,-1.206,SHIELD
8.080,-0.272,-0.435,-0.349,-0.290,-1.126,SHIELD
7.060,-0.236,-0.184,-0.571,-0.568,-0.976,SHIELD
7.467,0.230,-0.862,-0.861,-1.133,-0.711,SHIELD
7.776,0.948,-1.388,-1.206,-1.089,-0.785,SHIELD
7.094,1.827,-1.319,-1.543,-0.604,-1.225,SHIELD
5.855,1.684,-2.786,-1.911,-1.090,-1.374,SHIELD
6.675,1.866,-4.266,-1.668,-2.220,-1.231,SHIELD
7.589,4.257,-2.620,-1.618,-1.499,-2.063,SHIELD
7.291,6.464,-2.506,-2.231,-0.676,-3.028,SHIELD
8.578,7.295,-3.918,-2.801,-0.468,-2.987,SHIELD
7.467,8.341,-3.521,-2.753,-0.035,-3.159,SHIELD
6.985,10.490,-3.614,-2.416,0.169,-4.008,SHIELD
9.319,13.176,-3.961,-1.923,0.319,-4.567,SHIELD
8.605,14.036,-1.968,-1.489,0.394,-4.307,SHIELD
6.210,14.370,-1.144,-1.332,-0.676,-3.621,SHIELD
6.058,15.128,-1.980,-1.171,-1.973,-3.227,SHIELD
6.985,15.207,-2.885,-0.957,-2.727,-2.934,SHIELD
6.754,13.916,-3.776,-0.814,-3.328,-2.166,SHIELD
5.397,12.069,-4.522,-0.675,-3.858,-1.384,SHIELD
4.602,10.788,-4.835,-0.382,-4.110,-1.028,SHIELD
4.491,10.306,-4.672,-0.141,-3.911,-0.965,SHIELD
4.485,10.298,-4.367,-0.075,-3.196,-0.897,SHIELD
4.268,10.399,-4.112,-0.205,-2.335,-0.883,SHIELD
4.140,10.521,-4.079,-0.340,-1.426,-0.865,SHIELD
3.630,10.417,-4.021,-0.358,-0.648,-0.789,SHIELD
3.185,10.096,-3.864,-0.261,-0.247,-0.641,SHIELD
2.784,9.920,-3.506,-0.065,-0.093,-0.403,SHIELD
2.425,10.028,-2.910,0.170,-0.047,-0.120,SHIELD
1.871,10.045,-2.274,0.256,-0.064,0.119,SHIELD
1.462,9.887,-1.907,0.220,-0.059,0.248,SHIELD
1.208,9.681,-1.605,0.184,0.038,0.273,SHIELD
0.959,9.769,-0.893,0.130,0.233,0.230,SHIELD
0.594,9.921,0.087,-0.104,0.494,0.151,SHIELD
-0.159,9.577,0.424,-0.330,0.762,0.093,SHIELD
-1.084,9.199,-0.196,-0.251,0.392,0.037,SHIELD
-0.857,9.159,-1.051,-0.065,-0.253,-0.037,SHIELD
-0.050,9.346,-1.415,0.052,-0.606,-0.091,SHIELD
0.418,9.544,-1.640,0.080,-0.564,-0.058,SHIELD
