acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-2.478,9.536,-2.132,-0.029,-0.140,0.051,BOMB
-1.832,9.943,-1.910,-0.117,-0.085,0.058,BOMB
-0.709,10.891,-1.138,-0.351,-0.134,0.248,BOMB
1.036,12.117,-1.925,-0.750,-0.313,0.581,BOMB
2.643,13.278,-0.765,-1.139,-0.627,1.098,BOMB
5.452,15.403,0.506,-1.724,-0.374,1.836,BOMB
7.141,16.313,0.233,-1.885,0.260,3.076,BOMB
6.336,17.889,1.781,-0.766,-1.172,4.599,BOMB
10.784,22.493,1.906,-0.985,-1.727,5.538,BOMB
11.773,22.497,1.031,-1.578,0.066,6.504,BOMB
10.516,24.683,0.910,-1.071,-0.886,7.309,BOMB
12.697,26.415,-0.190,-0.806,-1.262,8.086,BOMB
12.690,25.688,-0.932,-0.754,-0.074,8.598,BOMB
9.161,24.390,-0.267,-0.688,0.265,9.031,BOMB
6.378,22.036,0.017,-0.986,0.899,9.031,BOMB
3.517,19.655,0.032,-1.962,2.401,9.031,BOMB
-2.177,15.070,-0.464,-2.961,3.101,9.031,BOMB
-5.895,11.927,-2.654,-3.479,2.760,8.784,BOMB
-9.248,4.664,-0.403,-3.689,1.812,7.237,BOMB
-6.618,0.490,-2.972,-3.525,-0.092,5.942,BOMB
-6.003,-0.619,-1.931,-2.571,-1.030,5.137,BOMB
-5.079,-3.045,-2.398,-2.317,-1.172,4.398,BOMB
-6.149,-4.145,-2.826,-1.986,-0.926,4.050,BOMB
-7.729,-6.231,-3.376,-1.848,-0.374,3.154,BOMB
-7.800,-8.230,-4.068,-1.644,-0.330,2.198,BOMB
-7.703,-8.593,-4.654,-1.317,-0.246,1.417,BOMB
-7.698,-9.025,-5.460,-1.000,-0.058,0.692,BOMB
-7.642,-9.155,-6.296,-0.818,0.172,0.110,BOMB
-7.372,-9.796,-7.206,-0.605,0.552,-0.404,BOMB
-8.207,-10.305,-7.861,-0.068,0.737,-0.686,BOMB
-7.095,-10.390,-7.887,0.312,0.850,-1.342,BOMB
-7.214,-9.623,-8.016,0.722,0.615,-1.534,BOMB
-5.981,-9.645,-6.997,0.946,0.975,-1.863,BOMB
-5.931,-9.389,-6.211,1.175,1.603,-1.989,BOMB
-6.933,-9.800,-4.979,1.199,2.047,-2.404,BOMB
-4.147,-8.619,-4.026,1.507,2.070,-3.138,BOMB
-4.375,-5.131,-2.265,1.540,2.086,-3.642,BOMB
-2.663,-4.179,-2.117,2.225,2.026,-4.466,BOMB
-0.532,1.458,-0.131,2.645,2.233,-5.331,BOMB
0.058,4.106,-0.634,3.761,3.599,-5.504,BOMB
2.293,7.745,3.225,4.718,4.010,-5.346,BOMB
3.697,12.262,11.551,3.907,5.611,-4.216,BOMB
0.719,4.655,12.423,2.265,2.600,-4.073,BOMB
9.730,1.262,8.888,2.058,-0.554,-2.671,BOMB
14.529,1.639,3.712,1.577,-1.614,-0.765,BOMB
8.015,-1.677,10.049,1.583,0.914,-0.018,BOMB
8.346,-1.768,6.726,0.875,1.216,-0.366,BOMB
6.980,-0.315,5.979,0.854,1.198,0.068,BOMB
5.543,-0.658,7.649,1.182,1.374,0.127,BOMB
3.667,1.119,6.338,1.073,0.595,-0.007,BOMB
4.497,0.430,5.095,1.186,0.314,0.346,BOMB
3.716,1.672,3.633,1.133,1.268,0.051,BOMB
1.922,2.048,1.672,1.510,1.403,0.290,BOMB
-0.603,1.062,1.234,2.610,1.341,0.055,BOMB
-3.579,3.309,-1.443,3.980,0.730,-0.720,BOMB
-1.929,4.536,2.967,4.627,0.297,-1.269,BOMB
-2.248,7.724,6.158,4.250,1.377,-2.865,BOMB
-0.756,11.111,3.367,3.577,0.567,-3.117,BOMB
0.752,11.342,6.449,4.777,-0.502,-2.280,BOMB
-1.456,15.908,6.320,4.128,-0.610,-3.028,BOMB
2.898,14.487,4.319,3.920,-0.638,-2.798,BOMB
-0.603,17.935,8.990,4.204,0.513,-3.007,BOMB
-2.173,18.889,3.267,3.627,-1.976,-2.272,BOMB
3.015,17.007,3.956,3.286,-1.914,-2.296,BOMB
0.378,19.806,4.294,3.002,-0.664,-3.302,BOMB
2.829,16.583,1.151,2.645,-2.485,-2.259,BOMB
6.262,17.549,2.285,2.452,-1.183,-2.713,BOMB
3.313,19.011,1.669,2.037,0.687,-3.413,BOMB
4.006,17.828,0.981,1.942,-0.582,-1.998,BOMB
3.754,14.901,-1.413,1.396,-1.694,-0.202,BOMB
1.787,12.183,-3.334,1.631,-2.400,0.596,BOMB
1.310,11.433,-3.285,1.952,-3.210,0.857,BOMB
1.781,11.031,-2.706,1.783,-3.137,0.758,BOMB
1.484,10.367,-2.226,1.222,-2.787,0.663,BOMB
1.253,9.389,-2.410,0.617,-2.114,0.518,BOMB
0.026,8.703,-2.772,0.365,-1.291,0.200,BOMB
-0.620,9.270,-2.678,0.187,-1.139,-0.068,BOMB
-0.320,10.939,-0.732,0.328,-1.945,-0.304,BOMB
2.346,13.576,2.501,0.155,-1.928,-0.032,BOMB
-2.114,10.137,-1.607,0.188,-1.167,-0.030,BOMB
