acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-2.209,9.479,-2.481,0.007,-0.014,0.014,CAPT
-2.175,9.578,-2.459,-0.004,0.000,0.012,CAPT
-1.848,9.750,-2.445,-0.051,0.033,0.033,CAPT
-0.415,10.137,-2.205,-0.234,0.256,0.153,CAPT
3.205,12.282,-1.196,-0.665,0.788,0.762,CAPT
4.291,15.062,0.041,-1.552,1.776,1.723,CAPT
6.394,15.970,-3.533,-2.068,0.425,3.505,CAPT
8.063,16.969,-4.109,-0.198,-1.127,4.931,CAPT
11.599,22.256,-0.957,0.617,-2.517,5.997,CAPT
16.989,25.684,-3.144,-0.163,-0.936,7.422,CAPT
14.725,26.638,-5.956,-0.245,-0.667,8.758,CAPT
16.345,26.441,-5.484,0.533,-0.817,9.031,CAPT
16.256,26.597,-5.579,0.568,0.186,9.031,CAPT
8.951,22.800,-4.498,0.724,0.836,9.031,CAPT
6.214,22.762,-2.650,0.852,1.451,9.031,CAPT
0.122,19.519,-2.099,0.319,1.971,9.031,CAPT
-5.894,14.540,-1.690,0.352,1.789,9.031,CAPT
-7.894,9.792,-1.560,0.213,0.944,8.652,CAPT
-13.189,4.075,0.737,0.541,1.453,7.846,CAPT
-15.246,-2.480,0.366,-0.026,1.393,5.229,CAPT
-14.803,-5.649,1.035,-0.243,0.815,2.702,CAPT
-7.733,-6.684,0.389,-0.029,0.018,0.598,CAPT
-2.810,-6.176,0.361,0.226,-0.584,-0.182,CAPT
-2.747,-6.673,-0.211,-0.037,-0.740,-0.229,CAPT
-5.251,-8.182,-1.766,-0.164,-0.470,-0.536,CAPT
-6.327,-9.218,-3.118,0.055,-0.303,-1.415,CAPT
-5.574,-8.973,-4.570,0.363,-0.761,-2.108,CAPT
-3.023,-8.726,-5.991,0.432,-0.892,-2.604,CAPT
-1.163,-8.117,-7.477,0.482,-0.787,-2.774,CAPT
0.505,-9.389,-10.911,1.402,-0.967,-2.859,CAPT
1.894,-7.422,-10.723,3.465,-0.743,-3.005,CAPT
2.834,-3.987,-9.947,4.488,-0.319,-3.437,CAPT
3.748,-1.501,-11.019,6.144,-0.200,-3.334,CAPT
7.109,4.033,-10.189,7.788,0.215,-3.633,CAPT
11.265,11.797,-6.934,8.731,0.160,-2.914,CAPT
14.702,14.921,-1.147,8.731,0.217,-1.709,CAPT
14.155,21.851,9.676,7.363,3.978,-1.842,CAPT
5.386,14.576,11.261,6.119,3.036,-0.201,CAPT
2.491,16.008,14.739,5.828,0.477,0.662,CAPT
3.404,16.066,17.147,3.934,0.198,0.396,CAPT
1.410,13.389,16.441,2.129,0.098,0.716,CAPT
0.970,10.467,13.139,1.328,-1.145,0.918,CAPT
2.176,9.190,11.215,0.945,-1.407,0.639,CAPT
1.683,8.880,10.786,0.445,-0.798,0.254,CAPT
0.551,8.618,10.492,0.144,-1.100,-0.058,CAPT
1.426,9.002,11.458,-0.134,-0.887,-0.543,CAPT
0.306,10.291,13.064,-0.638,-0.379,-1.076,CAPT
-0.514,9.708,15.058,-1.293,-0.540,-1.167,CAPT
0.047,10.211,17.573,-2.063,0.611,-2.334,CAPT
-1.508,11.814,20.198,-3.190,1.229,-3.124,CAPT
-2.376,11.561,21.382,-4.182,0.839,-3.915,CAPT
2.024,16.509,22.478,-5.521,0.665,-4.613,CAPT
1.027,15.380,20.093,-7.485,2.190,-4.379,CAPT
-2.238,16.344,15.751,-7.133,1.165,-6.243,CAPT
0.235,21.604,5.283,-6.022,-1.434,-7.791,CAPT
12.478,20.740,-4.221,-3.986,-0.423,-7.571,CAPT
7.979,18.416,-1.421,-2.196,0.199,-5.541,CAPT
18.805,6.166,-1.822,-1.551,0.378,-3.451,CAPT
11.402,6.330,-0.236,-1.170,1.289,-0.780,CAPT
7.448,2.936,0.242,-1.003,0.550,0.836,CAPT
2.875,1.221,0.097,-0.864,1.066,1.178,CAPT
1.268,-1.306,0.844,-0.113,0.622,1.115,CAPT
1.174,-1.474,0.919,0.459,0.141,0.748,CAPT
1.006,-0.751,0.980,1.634,-0.489,0.557,CAPT
0.262,1.439,1.755,2.477,-1.177,0.407,CAPT
0.976,1.695,1.113,2.462,-1.924,0.703,CAPT
1.485,2.149,0.658,2.812,-1.265,0.661,CAPT
0.234,3.087,0.208,3.418,-0.574,0.195,CAPT
-0.513,3.410,-0.136,4.393,-0.224,-0.194,CAPT
-1.148,5.794,0.598,4.558,-0.727,-0.382,CAPT
-0.703,7.337,1.646,4.775,-1.024,-0.722,CAPT
-1.765,8.609,2.345,5.165,-1.181,-1.891,CAPT
-2.351,11.182,0.477,5.280,-2.404,-2.774,CAPT
1.261,13.017,0.281,5.794,-3.280,-3.605,CAPT
1.593,19.262,0.853,5.865,-2.619,-4.114,CAPT
1.723,21.454,1.038,4.897,-3.271,-3.687,CAPT
2.274,22.116,0.804,3.470,-3.326,-3.382,CAPT
0.405,22.837,-1.681,2.446,-3.514,-3.257,CAPT
2.261,20.292,-2.985,2.193,-3.830,-3.040,CAPT
2.670,20.938,-2.939,1.898,-2.768,-3.131,CAPT
