acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.292,7.232,1.221,0.569,-1.375,0.431,HULK
-0.542,6.432,-0.352,1.086,-1.748,0.643,HULK
1.130,5.056,-2.085,2.067,-1.676,1.044,HULK
0.774,3.238,-3.951,2.771,-1.627,1.199,HULK
1.958,1.866,-6.252,3.163,-1.224,0.882,HULK
1.452,-1.357,-8.933,2.938,-0.128,-0.188,HULK
4.084,-5.259,-18.334,3.139,-0.858,0.131,HULK
1.812,-14.266,-31.421,5.188,0.041,1.490,HULK
-7.032,-14.267,-32.750,7.738,0.320,-0.038,HULK
-16.638,-11.662,-32.750,7.971,2.401,-2.795,HULK
-21.726,-1.932,-32.750,8.731,2.981,-4.867,HULK
-21.456,9.926,-32.750,8.731,3.487,-5.947,HULK
-18.270,20.275,-32.750,8.731,3.049,-4.281,HULK
-15.565,32.294,-22.362,8.045,2.764,-3.922,HULK
-12.867,32.750,-9.604,4.452,2.364,-3.130,HULK
-8.500,32.750,-4.421,1.271,1.082,-0.959,HULK
-5.683,32.750,-1.752,-1.054,-0.444,1.180,HULK
-6.457,25.631,-4.868,-3.922,-1.646,2.940,HULK
-8.567,17.345,-14.282,-6.307,-2.478,3.972,HULK
-9.886,8.864,-23.760,-6.939,-2.909,4.104,HULK
-9.654,4.203,-28.290,-6.888,-2.786,3.631,HULK
-9.457,-3.191,-30.110,-6.476,-2.601,3.412,HULK
-7.545,-12.400,-29.876,-5.115,-1.991,2.957,HULK
-6.133,-18.767,-22.056,-3.343,-1.748,1.965,HULK
-3.539,-20.989,-21.381,-3.776,-0.464,-0.284,HULK
-2.632,-26.001,-24.600,-2.495,0.417,-1.908,HULK
-1.294,-25.921,-28.927,0.351,1.111,-2.733,HULK
-2.145,-18.919,-32.546,3.352,1.798,-2.817,HULK
-9.052,-11.856,-32.750,5.815,2.458,-2.877,HULK
-12.531,0.207,-32.750,7.505,3.107,-3.791,HULK
-14.322,15.578,-32.750,8.587,3.700,-3.465,HULK
-18.552,26.554,-22.123,7.992,4.762,-4.555,HULK
-14.319,32.750,-6.005,3.999,3.780,-3.780,HULK
-11.030,27.885,0.354,0.600,2.351,-1.818,HULK
-8.681,21.462,1.101,-1.152,0.481,0.071,HULK
-6.439,17.798,-0.033,-2.813,-0.947,0.518,HULK
-4.485,14.299,-4.462,-4.892,-1.715,0.389,HULK
-3.863,10.546,-10.324,-6.400,-2.264,0.276,HULK
-2.798,8.287,-16.941,-7.665,-2.843,0.270,HULK
-1.735,7.648,-22.427,-8.121,-3.059,0.280,HULK
0.324,7.640,-24.466,-7.934,-2.452,-0.062,HULK
-1.003,7.093,-19.519,-6.500,-1.594,-0.107,HULK
-1.559,8.067,-14.630,-5.459,-1.548,-0.274,HULK
-0.772,7.853,-11.868,-4.997,-1.557,-0.315,HULK
-0.099,6.398,-10.604,-4.520,-1.504,-0.148,HULK
-0.897,5.380,-8.958,-3.559,-1.466,0.061,HULK
-1.515,4.485,-8.330,-2.703,-1.823,-0.091,HULK
-1.156,4.086,-7.375,-1.307,-1.785,-0.500,HULK
-0.295,5.216,-5.914,-0.174,-1.715,-0.767,HULK
0.800,6.476,-4.625,0.226,-1.303,-0.819,HULK
1.223,6.766,-3.714,0.431,-0.345,-0.763,HULK
-0.015,7.689,-2.875,0.598,0.557,-0.661,HULK
-1.790,8.638,-2.222,0.442,0.571,-0.413,HULK
-2.551,9.633,-1.821,0.286,0.298,-0.269,HULK
-1.653,9.049,-1.871,0.281,0.604,-0.385,HULK
-1.031,9.663,-1.419,0.441,0.962,-0.436,HULK
2.472,19.871,15.518,-1.531,-0.315,0.517,HULK
0.172,10.518,6.432,-1.851,0.938,0.639,HULK
-2.467,6.924,1.446,0.300,1.391,-0.137,HULK
-4.209,8.998,0.912,0.716,0.857,-0.232,HULK
-3.501,8.313,0.521,0.698,0.700,-0.289,HULK
-3.527,9.228,0.942,0.784,1.169,-0.685,HULK
-4.911,10.622,0.572,0.415,0.961,-0.722,HULK
-4.559,10.090,-1.748,0.362,-0.131,-0.235,HULK
-3.763,9.683,-2.101,0.253,-0.206,-0.301,HULK
-3.245,9.131,-1.820,0.128,-0.159,-0.383,HULK
-2.888,8.698,-1.636,0.263,0.137,-0.387,HULK
-3.666,9.281,-1.164,0.318,0.422,-0.367,HULK
-3.805,10.079,-0.933,0.140,0.258,-0.227,HULK
-3.349,10.117,-1.243,-0.096,0.282,-0.109,HULK
-3.875,9.247,-1.494,-0.152,0.650,-0.106,HULK
-4.333,9.101,-1.603,-0.059,0.699,-0.017,HULK
-5.285,9.006,-1.475,0.061,0.370,0.022,HULK
-5.555,8.709,-1.369,0.313,-0.270,0.090,HULK
-4.577,9.303,-1.676,0.349,-0.909,0.244,HULK
-3.078,9.441,-1.970,0.076,-0.807,0.348,HULK
-3.205,8.875,-2.294,-0.073,-0.450,0.350,HULK
-3.585,8.759,-2.225,-0.135,-0.109,0.215,HULK
-3.985,8.831,-1.876,-0.160,0.069,0.135,HULK
-4.211,8.653,-1.964,0.033,-0.177,0.172,HULK
