acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-4.452,8.650,-2.184,-0.027,0.022,0.045,IRONMAN
-4.479,8.728,-2.126,0.004,0.133,0.094,IRONMAN
-4.201,8.899,-1.936,-0.066,0.236,0.052,IRONMAN
-3.706,9.214,-1.783,-0.155,0.352,0.098,IRONMAN
-3.163,9.690,-1.421,-0.332,0.617,0.167,IRONMAN
-2.533,11.074,-0.343,-0.982,0.868,0.276,IRONMAN
-1.719,11.752,0.558,-2.309,1.039,0.433,IRONMAN
-1.025,12.838,1.478,-3.943,1.378,0.655,IRONMAN
-0.744,14.900,4.081,-6.145,1.536,1.122,IRONMAN
-2.229,16.938,9.211,-8.251,0.546,2.332,IRONMAN
-8.014,17.390,9.532,-8.731,-2.533,3.259,IRONMAN
-6.162,16.005,7.738,-8.731,-3.670,3.781,IRONMAN
-8.125,7.518,0.297,-8.731,-5.817,2.996,IRONMAN
6.437,-1.388,-1.791,-4.399,-5.187,1.723,IRONMAN
6.188,2.684,6.359,-2.503,-1.760,1.927,IRONMAN
1.626,3.250,7.175,-1.763,-0.926,1.962,IRONMAN
2.488,4.744,8.341,-1.122,-0.362,2.095,IRONMAN
1.514,3.595,8.109,-0.887,-0.521,1.876,IRONMAN
1.373,3.511,8.393,-0.673,-0.913,1.432,IRONMAN
1.796,2.836,7.716,-0.351,-0.789,0.729,IRONMAN
3.189,2.848,8.447,-0.229,-0.847,0.568,IRONMAN
4.568,2.654,8.227,-0.127,-0.610,0.851,IRONMAN
4.541,2.073,8.657,0.155,-0.502,0.900,IRONMAN
5.427,2.292,10.249,0.316,-0.621,1.016,IRONMAN
6.980,2.549,10.652,0.387,-1.021,1.338,IRONMAN
7.345,2.109,10.443,0.615,-1.017,1.467,IRONMAN
7.078,1.677,11.704,0.855,-1.032,1.519,IRONMAN
7.714,2.054,11.959,0.667,-1.586,1.493,IRONMAN
9.396,0.348,10.721,1.026,-1.823,1.384,IRONMAN
8.814,0.947,11.485,1.152,-1.757,1.404,IRONMAN
8.502,-0.332,9.409,1.314,-2.218,1.412,IRONMAN
8.055,-0.504,7.806,1.544,-2.417,1.658,IRONMAN
6.685,-1.573,6.172,1.840,-2.070,1.765,IRONMAN
5.771,-1.173,6.693,1.959,-2.130,1.605,IRONMAN
4.636,-2.077,6.337,1.546,-2.154,2.112,IRONMAN
3.939,-3.408,4.907,1.097,-1.723,2.545,IRONMAN
1.903,-4.947,4.258,0.992,-1.303,2.052,IRONMAN
2.340,-4.586,4.205,0.802,-1.562,1.597,IRONMAN
4.904,-4.592,2.991,0.565,-1.396,1.338,IRONMAN
6.555,-5.441,2.617,0.242,-0.429,1.630,IRONMAN
6.916,-6.258,2.902,-0.035,0.065,1.504,IRONMAN
8.883,-6.425,2.887,-0.443,0.283,1.852,IRONMAN
8.625,-7.306,3.799,-0.976,1.082,2.201,IRONMAN
7.153,-8.027,2.528,-1.937,0.736,2.758,IRONMAN
6.305,-10.269,-0.012,-2.610,0.846,3.728,IRONMAN
4.770,-13.413,-1.449,-2.251,1.047,3.376,IRONMAN
6.912,-14.418,0.163,-1.382,0.435,2.373,IRONMAN
7.674,-12.007,3.526,-1.974,1.509,3.013,IRONMAN
3.053,-11.466,2.465,-2.735,1.259,3.007,IRONMAN
6.647,-10.589,1.676,-1.796,0.815,2.005,IRONMAN
3.303,-7.301,3.999,-1.508,2.042,1.622,IRONMAN
1.725,-6.244,3.118,-0.643,1.753,0.005,IRONMAN
2.516,-2.842,6.822,0.719,2.877,-1.369,IRONMAN
1.169,-0.696,7.170,1.202,2.454,-2.378,IRONMAN
4.830,-0.242,8.540,2.164,2.205,-2.382,IRONMAN
3.612,1.497,10.599,1.461,1.596,-1.418,IRONMAN
5.803,-3.936,8.077,0.989,1.159,-0.940,IRONMAN
4.929,-3.171,9.373,0.249,0.106,-0.319,IRONMAN
3.731,-4.473,6.274,-0.622,-0.833,0.474,IRONMAN
2.509,-5.640,3.214,-0.478,-0.940,0.886,IRONMAN
1.480,-5.300,3.565,-0.304,-0.416,1.089,IRONMAN
0.557,-6.222,3.773,-0.235,-0.208,1.124,IRONMAN
0.343,-6.999,3.604,0.285,0.000,0.911,IRONMAN
0.298,-4.388,6.350,0.273,-0.068,0.390,IRONMAN
0.471,-4.774,5.151,-0.064,-0.661,0.399,IRONMAN
0.995,-5.816,2.730,0.754,-0.826,0.416,IRONMAN
1.004,-2.731,4.601,1.940,-0.641,-0.077,IRONMAN
0.928,0.382,6.045,0.891,-1.101,-0.013,IRONMAN
1.164,-3.375,2.775,1.281,-1.019,0.525,IRONMAN
0.541,-4.855,0.434,3.284,-1.242,0.136,IRONMAN
2.408,-0.907,2.772,3.760,-0.806,-0.277,IRONMAN
0.823,-1.115,3.066,4.328,0.128,-0.577,IRONMAN
0.038,-1.499,3.443,5.154,-0.311,-1.505,IRONMAN
-0.147,1.574,6.228,4.724,-0.876,-3.056,IRONMAN
1.159,3.537,6.100,4.709,-2.317,-3.930,IRONMAN
6.141,1.508,4.821,5.208,-3.102,-4.107,IRONMAN
8.306,5.359,7.058,4.972,-1.850,-4.906,IRONMAN
7.966,10.560,8.761,4.282,0.995,-5.681,IRONMAN
6.837,11.187,9.470,4.074,0.943,-4.861,IRONMAN
5.359,12.504,8.644,4.106,-1.262,-4.148,IRONMAN
