acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-3.394,9.253,-2.035,-0.044,0.133,-0.038,LOGOUT
-3.275,9.444,-2.300,-0.109,0.154,-0.030,LOGOUT
-2.822,9.718,-2.551,-0.285,0.225,0.083,LOGOUT
-1.229,10.674,-2.319,-0.516,0.374,0.460,LOGOUT
0.648,12.563,-1.967,-1.054,0.638,1.221,LOGOUT
2.559,14.549,-2.317,-1.745,1.252,2.513,LOGOUT
2.055,15.074,-4.305,-1.470,0.553,4.116,LOGOUT
5.816,15.890,-4.086,-0.491,-0.120,4.644,LOGOUT
9.843,18.910,-4.613,0.465,0.038,5.724,LOGOUT
10.386,18.584,-5.605,0.518,0.097,6.062,LOGOUT
13.888,18.806,-6.049,1.337,0.215,6.020,LOGOUT
15.405,19.912,-5.605,1.798,-0.219,7.431,LOGOUT
16.442,17.150,-5.222,2.205,0.993,7.366,LOGOUT
16.238,18.123,-3.749,2.381,1.304,8.211,LOGOUT
12.761,15.551,-3.295,2.403,2.273,8.414,LOGOUT
10.335,12.917,-0.369,1.987,3.114,8.038,LOGOUT
8.208,10.999,0.188,0.771,3.304,7.765,LOGOUT
7.985,3.896,-1.031,-0.053,3.690,7.494,LOGOUT
5.207,0.420,0.064,-0.398,3.977,6.354,LOGOUT
1.173,-1.591,-0.412,-1.058,3.565,4.875,LOGOUT
0.432,-3.513,-0.705,-0.997,2.571,3.320,LOGOUT
-1.069,-1.614,-0.720,-0.401,2.111,2.131,LOGOUT
-2.491,1.627,-1.151,0.415,1.544,0.939,LOGOUT
-3.046,5.517,-1.441,1.217,-0.005,-0.089,LOGOUT
-0.952,6.431,-2.578,1.236,-1.911,0.173,LOGOUT
1.806,5.867,-3.507,1.450,-2.871,0.690,LOGOUT
3.476,6.058,-3.640,1.259,-2.237,1.417,LOGOUT
2.631,4.653,-3.426,1.001,-0.535,1.270,LOGOUT
-1.043,3.507,-2.193,0.819,0.589,1.440,LOGOUT
-4.341,0.685,-1.109,0.675,-0.132,1.057,LOGOUT
-3.430,-1.923,0.664,0.768,-1.547,0.406,LOGOUT
2.546,-6.404,3.232,0.135,-1.182,-0.180,LOGOUT
1.513,-13.106,8.377,-0.139,1.177,-1.425,LOGOUT
3.964,-17.562,15.529,-0.458,0.753,-1.952,LOGOUT
8.273,-24.979,14.156,-1.198,-1.342,-1.571,LOGOUT
18.492,-27.924,13.957,-0.521,-1.290,-0.948,LOGOUT
21.376,-22.685,11.925,-0.402,0.065,0.285,LOGOUT
16.816,-18.174,7.970,-1.018,1.530,1.673,LOGOUT
10.278,-18.472,5.211,-0.833,2.177,2.179,LOGOUT
5.322,-12.690,5.174,-0.535,1.662,1.809,LOGOUT
3.831,-6.131,3.022,-1.622,1.193,2.174,LOGOUT
0.706,-7.638,-1.048,-1.059,1.422,1.157,LOGOUT
-0.587,2.101,0.565,-0.058,1.032,-0.577,LOGOUT
1.422,6.826,-0.276,-0.700,0.188,-0.496,LOGOUT
0.622,2.821,-2.286,-0.451,-0.544,-0.446,LOGOUT
1.938,4.493,-2.502,0.667,-1.589,-0.128,LOGOUT
2.554,4.268,-2.221,0.649,-1.781,1.037,LOGOUT
1.776,2.136,-2.300,1.215,-1.247,1.323,LOGOUT
-0.677,1.897,-1.196,1.924,-0.910,1.261,LOGOUT
-2.032,0.012,0.199,2.060,-1.023,1.122,LOGOUT
-2.833,-3.156,1.031,2.154,-0.981,0.292,LOGOUT
-4.697,-3.464,4.059,2.373,-1.746,-0.607,LOGOUT
-0.237,-7.585,5.547,1.434,-2.767,-0.785,LOGOUT
1.807,-12.006,10.401,1.066,-2.198,-2.025,LOGOUT
5.598,-10.536,11.345,0.084,-2.782,-2.413,LOGOUT
7.284,-7.592,9.698,-0.877,-2.597,-2.230,LOGOUT
8.748,-6.969,8.308,-1.619,-1.524,-2.217,LOGOUT
6.816,-7.413,5.019,-1.932,-1.384,-2.114,LOGOUT
7.298,-6.621,2.600,-1.844,-1.282,-2.562,LOGOUT
6.369,-3.972,2.304,-1.787,0.247,-3.351,LOGOUT
2.989,-3.475,1.015,-1.696,0.378,-3.900,LOGOUT
2.467,-2.377,0.324,-1.327,-0.020,-4.657,LOGOUT
0.841,0.959,0.697,-0.995,0.252,-6.164,LOGOUT
2.510,4.513,-0.915,-0.265,-1.097,-7.170,LOGOUT
6.062,7.029,-1.163,0.249,-0.988,-6.796,LOGOUT
4.170,9.832,-1.699,0.228,0.436,-7.613,LOGOUT
6.375,12.835,-2.906,1.111,-0.473,-7.883,LOGOUT
9.021,17.165,-0.303,0.157,-0.083,-4.795,LOGOUT
7.134,13.419,-4.620,-0.365,0.423,-6.226,LOGOUT
6.224,14.950,-3.483,2.082,0.278,-7.211,LOGOUT
4.124,19.637,-1.916,2.027,-0.533,-7.019,LOGOUT
4.074,20.327,-3.224,1.857,-0.314,-6.702,LOGOUT
0.922,20.373,-2.978,2.736,-0.479,-6.688,LOGOUT
0.464,20.834,-4.158,3.172,-3.012,-5.048,LOGOUT
3.560,17.675,-5.463,2.317,-4.920,-1.775,LOGOUT
2.640,12.471,-7.428,1.669,-5.046,0.172,LOGOUT
2.094,10.580,-7.507,2.260,-4.148,0.426,LOGOUT
0.799,11.919,-3.233,1.985,-2.479,-0.012,LOGOUT
0.226,11.584,-2.166,1.102,-0.874,-0.215,LOGOUT
1.193,13.613,1.029,0.069,-0.865,0.296,LOGOUT
