acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-18.763,1.768,6.030,0.450,1.113,3.165,NULL
-19.043,1.116,5.287,-0.833,-0.362,0.871,NULL
-14.701,2.448,3.100,-1.241,-1.365,-0.572,NULL
-11.080,5.299,1.245,-1.673,-1.703,-1.607,NULL
-9.925,7.671,-1.211,-2.358,-1.724,-2.667,NULL
-9.980,10.870,-3.856,-2.327,-2.148,-3.967,NULL
-12.743,18.007,-5.671,-1.829,-3.325,-5.134,NULL
-11.450,31.527,-12.032,-1.631,-3.513,-7.862,NULL
-4.125,32.750,-13.881,-0.824,-1.860,-8.431,NULL
2.905,31.150,-12.036,-0.095,-1.198,-7.635,NULL
11.522,17.789,-7.864,0.518,-1.882,-4.179,NULL
11.787,12.274,-3.608,1.281,-1.499,-1.963,NULL
9.524,13.254,-0.970,1.335,-1.072,-0.977,NULL
12.315,13.178,-0.470,0.291,-0.295,-1.191,NULL
16.395,13.012,-3.975,-0.418,0.445,-0.418,NULL
14.688,10.801,-5.463,0.020,0.586,2.061,NULL
8.441,13.330,-6.584,0.320,0.574,4.100,NULL
2.199,16.150,-10.461,0.014,1.387,5.225,NULL
-4.872,20.047,-15.044,0.688,1.696,6.212,NULL
-9.415,24.319,-16.429,1.896,2.018,6.387,NULL
-13.269,27.708,-16.018,2.453,2.363,5.847,NULL
-12.070,24.670,-12.848,2.571,2.478,5.167,NULL
-10.327,17.584,-8.500,2.690,2.482,4.731,NULL
-10.854,12.137,-1.407,2.437,2.852,3.663,NULL
-14.022,7.226,4.439,1.181,3.377,2.032,NULL
-16.947,2.282,6.421,-0.320,2.615,0.404,NULL
-16.644,0.461,7.030,-0.713,0.561,-0.759,NULL
-14.056,2.418,7.072,-0.774,-1.043,-1.985,NULL
-9.666,6.942,3.817,-1.309,-1.537,-3.705,NULL
-7.138,11.635,-0.543,-1.271,-2.871,-3.946,NULL
-3.369,16.455,-5.086,-1.364,-3.920,-3.800,NULL
1.509,21.025,-11.180,-1.784,-2.884,-4.371,NULL
1.939,20.983,-12.922,-1.124,-2.078,-3.921,NULL
1.286,21.318,-13.265,-0.457,-1.615,-3.439,NULL
1.072,18.005,-12.639,-0.435,-1.653,-2.566,NULL
3.890,12.529,-10.412,-0.008,-1.303,-2.503,NULL
7.547,10.113,-6.868,1.018,-1.138,-2.481,NULL
11.763,11.833,-3.650,0.874,-1.365,-1.356,NULL
15.672,11.345,-3.064,-0.164,0.339,-0.939,NULL
15.916,9.899,-4.294,-0.929,1.342,0.305,NULL
14.092,8.314,-6.316,-1.033,2.559,1.644,NULL
8.711,10.317,-7.062,-0.680,3.393,2.725,NULL
1.272,14.650,-9.067,-0.611,3.285,3.907,NULL
-4.228,20.376,-12.389,0.188,2.208,4.717,NULL
-7.932,23.532,-13.797,1.059,1.655,4.904,NULL
-10.459,25.219,-15.001,1.877,0.863,4.880,NULL
-10.350,21.695,-13.291,2.636,0.953,4.252,NULL
-12.308,14.711,-5.867,3.019,1.355,3.458,NULL
-17.967,6.901,2.234,2.634,0.324,2.012,NULL
-14.711,6.028,7.368,0.871,0.241,-0.538,NULL
-13.332,5.299,8.461,-1.294,-0.265,-1.712,NULL
-10.636,5.113,3.822,-2.824,-0.885,-2.307,NULL
-7.748,4.495,0.057,-3.225,-1.318,-2.839,NULL
-6.633,4.566,-1.670,-2.771,-1.821,-3.029,NULL
-7.314,7.457,-4.843,-1.787,-2.745,-3.659,NULL
-8.451,13.393,-10.497,-0.831,-3.303,-5.022,NULL
-6.493,17.541,-17.337,1.068,-4.058,-5.701,NULL
2.738,27.208,-14.306,2.272,-3.482,-5.443,NULL
2.230,27.673,-14.792,-0.024,-2.241,-3.687,NULL
5.218,20.160,-16.810,-0.305,-1.683,-2.599,NULL
8.416,14.223,-12.693,1.621,-2.372,-0.360,NULL
12.581,14.057,-6.441,1.979,-2.619,1.154,NULL
14.229,12.229,-4.533,0.291,-0.556,1.297,NULL
12.808,9.075,-6.018,-0.741,0.563,2.180,NULL
9.155,6.771,-6.224,-0.271,1.116,3.193,NULL
5.758,6.950,-6.186,0.208,1.945,3.411,NULL
3.513,8.521,-6.947,0.494,3.006,3.313,NULL
-0.396,12.191,-8.318,0.714,3.797,3.293,NULL
-3.503,17.995,-10.989,0.848,3.789,3.315,NULL
-7.223,21.545,-13.781,1.131,2.864,3.826,NULL
-9.028,22.339,-14.548,1.583,1.978,3.887,NULL
-8.828,21.529,-13.834,2.059,1.785,3.258,NULL
-8.609,17.250,-9.035,2.075,2.023,2.611,NULL
-10.930,11.339,-3.681,1.640,1.600,1.910,NULL
-13.512,6.827,1.406,1.234,1.242,0.111,NULL
-13.081,3.880,5.064,0.451,0.896,-2.007,NULL
-11.435,5.382,5.691,-0.626,-0.624,-2.035,NULL
-9.358,6.913,3.468,-1.643,-1.895,-2.042,NULL
-7.812,6.999,1.646,-2.193,-2.397,-2.299,NULL
-6.857,7.095,-0.593,-2.703,-2.715,-2.810,NULL
