acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-3.381,9.113,-1.831,0.069,-0.270,0.094,RELOAD
-3.025,9.128,-1.871,0.160,-0.442,0.147,RELOAD
-2.707,9.309,-2.252,0.201,-0.491,0.116,RELOAD
-1.513,9.457,-2.396,0.139,-0.332,-0.004,RELOAD
0.252,10.295,-2.360,-0.031,0.490,-0.336,RELOAD
0.084,12.247,-3.549,-0.093,0.470,-0.544,RELOAD
3.919,14.132,-5.245,0.079,0.024,0.073,RELOAD
5.877,15.035,-7.636,0.187,-0.384,1.931,RELOAD
4.400,13.853,-12.353,1.669,-1.490,3.269,RELOAD
3.889,14.514,-21.142,5.367,-3.209,3.996,RELOAD
2.839,18.894,-24.773,8.731,-4.246,4.283,RELOAD
-1.276,20.243,-23.533,8.731,-1.793,3.110,RELOAD
-6.576,18.669,-20.216,8.731,0.991,1.589,RELOAD
-9.594,15.956,-15.887,8.731,1.620,0.517,RELOAD
-6.827,15.654,-7.200,7.970,2.206,-0.552,RELOAD
-4.845,13.278,-1.318,6.267,3.108,-0.657,RELOAD
-5.925,11.705,2.380,4.925,2.999,-0.452,RELOAD
-4.502,11.681,5.474,3.554,2.591,-0.183,RELOAD
-5.616,10.435,9.141,2.087,1.507,0.046,RELOAD
-4.599,8.020,10.653,0.666,-0.338,0.315,RELOAD
-1.290,8.660,10.689,-0.646,-1.786,0.519,RELOAD
-1.228,9.038,7.664,-3.140,-2.295,1.074,RELOAD
-2.261,8.608,2.220,-5.222,-2.559,1.234,RELOAD
-2.902,8.497,-3.333,-6.576,-2.482,0.641,RELOAD
-6.915,8.193,-13.598,-7.023,-4.061,0.802,RELOAD
-6.074,8.729,-21.705,-7.452,-4.693,0.765,RELOAD
-4.527,7.143,-32.750,-6.281,-4.635,1.858,RELOAD
-2.662,3.440,-32.750,-4.470,-1.045,1.365,RELOAD
-7.742,-0.617,-32.750,-0.776,0.607,0.103,RELOAD
-4.607,2.893,-32.750,2.747,0.785,-0.773,RELOAD
-3.039,7.072,-29.317,4.072,1.839,-1.202,RELOAD
-5.639,7.615,-26.121,5.303,2.460,-1.260,RELOAD
-6.180,10.191,-19.936,5.943,2.997,-1.396,RELOAD
-4.693,10.073,-11.466,5.621,4.071,-1.477,RELOAD
-3.791,10.525,-4.612,5.376,4.665,-0.911,RELOAD
-4.431,9.986,1.728,4.791,4.760,-0.507,RELOAD
-4.667,10.574,8.642,3.421,4.135,-0.337,RELOAD
-5.710,9.349,11.830,1.668,3.932,0.094,RELOAD
-5.005,4.689,11.819,-0.042,1.531,0.284,RELOAD
-4.122,4.500,10.412,-1.212,-0.444,0.082,RELOAD
-2.638,5.097,7.085,-2.608,-1.855,-0.226,RELOAD
-0.775,6.537,2.738,-4.350,-1.955,-0.466,RELOAD
-1.291,7.676,-1.399,-5.589,-1.429,-1.085,RELOAD
-0.858,9.774,-6.666,-6.337,-2.065,-1.439,RELOAD
-3.263,11.844,-13.300,-7.137,-1.985,-1.872,RELOAD
-0.373,11.485,-18.882,-6.659,-2.029,-2.659,RELOAD
-0.353,15.029,-19.164,-6.164,-1.033,-3.362,RELOAD
1.284,16.490,-22.517,-5.783,-0.837,-3.098,RELOAD
5.959,14.503,-19.894,-4.863,1.176,-3.283,RELOAD
5.341,12.870,-14.628,-3.885,2.615,-2.904,RELOAD
3.452,12.408,-9.685,-3.686,3.421,-2.404,RELOAD
1.015,10.482,-7.698,-3.767,3.679,-2.162,RELOAD
-2.154,8.085,-6.897,-2.326,1.996,-1.728,RELOAD
-1.960,9.244,-5.368,-0.885,-0.020,-1.411,RELOAD
-0.094,10.124,-4.031,-0.612,-0.597,-1.357,RELOAD
0.117,9.726,-4.419,-0.631,-0.241,-1.424,RELOAD
-0.221,10.338,-4.466,-0.106,-0.055,-1.324,RELOAD
-1.367,10.788,-4.284,0.220,-0.313,-1.123,RELOAD
-2.487,10.326,-4.865,1.561,-3.082,-0.606,RELOAD
5.176,15.458,1.953,2.439,-4.575,0.605,RELOAD
0.621,13.014,-0.412,-0.124,-1.094,0.769,RELOAD
-0.733,8.414,-4.310,-0.147,0.092,0.135,RELOAD
-1.887,9.227,-3.268,0.003,0.942,-0.040,RELOAD
-3.706,8.585,-3.149,-0.308,1.254,-0.331,RELOAD
-3.846,8.568,-2.138,-0.244,0.845,-0.237,RELOAD
-4.260,9.307,-1.707,-0.152,0.330,-0.135,RELOAD
-3.790,9.664,-2.125,-0.010,-0.159,-0.002,RELOAD
-3.155,9.536,-2.251,-0.053,-0.219,0.019,RELOAD
-2.940,9.291,-2.245,-0.037,-0.150,0.024,RELOAD
-2.965,9.250,-1.789,-0.005,-0.151,0.068,RELOAD
-2.857,9.042,-2.064,0.090,-0.221,0.043,RELOAD
-2.512,9.385,-2.348,0.112,-0.158,-0.009,RELOAD
-2.488,9.455,-2.604,0.026,-0.004,-0.035,RELOAD
-2.718,9.353,-2.465,-0.036,0.067,-0.017,RELOAD
-3.050,9.364,-2.144,-0.048,0.063,-0.001,RELOAD
-3.207,9.417,-2.186,-0.006,-0.045,0.012,RELOAD
-2.902,9.522,-2.415,-0.024,-0.043,-0.007,RELOAD
-2.814,9.414,-2.484,-0.077,0.117,-0.044,RELOAD
-3.142,9.335,-2.239,-0.092,0.186,-0.054,RELOAD
-3.281,9.237,-2.203,-0.083,0.154,-0.054,RELOAD
