acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.445,11.854,-5.612,-0.229,1.218,0.755,SHANGCHI
1.552,12.556,-5.220,-0.332,2.059,1.059,SHANGCHI
1.035,13.445,-6.235,-0.602,2.810,1.350,SHANGCHI
1.271,12.501,-8.469,-0.689,3.210,1.814,SHANGCHI
1.849,11.761,-9.442,0.092,3.472,2.175,SHANGCHI
0.663,12.658,-9.252,1.520,2.300,2.665,SHANGCHI
0.920,11.510,-12.566,3.478,-0.105,3.359,SHANGCHI
2.592,11.961,-11.818,4.877,-0.290,3.106,SHANGCHI
1.717,10.787,-12.441,5.804,0.036,2.638,SHANGCHI
1.277,10.251,-12.155,6.358,0.164,2.363,SHANGCHI
0.538,9.468,-12.068,6.143,0.600,1.974,SHANGCHI
-0.136,8.194,-10.483,5.836,0.991,1.308,SHANGCHI
-0.487,7.121,-8.721,5.327,1.367,0.699,SHANGCHI
-0.063,6.584,-6.590,4.658,1.688,0.324,SHANGCHI
0.785,6.625,-3.547,3.586,2.508,-0.416,SHANGCHI
0.259,4.793,-2.512,2.936,2.492,-0.465,SHANGCHI
1.173,4.438,-1.347,2.372,1.862,-0.453,SHANGCHI
1.874,4.137,-0.775,1.373,1.497,-0.407,SHANGCHI
2.590,3.476,-1.865,0.397,1.094,-0.351,SHANGCHI
5.420,3.499,-1.162,-0.374,1.033,-0.271,SHANGCHI
7.564,4.592,-3.058,-1.389,1.004,0.140,SHANGCHI
6.974,3.043,-3.800,-1.784,0.804,0.833,SHANGCHI
7.949,4.132,-4.619,-2.427,0.404,1.161,SHANGCHI
9.880,6.580,-4.378,-3.768,1.484,1.385,SHANGCHI
11.468,7.467,-5.477,-5.722,3.236,1.306,SHANGCHI
13.002,8.839,-5.336,-7.252,4.381,1.467,SHANGCHI
12.688,8.856,-4.393,-8.045,4.603,1.576,SHANGCHI
14.016,8.517,-2.198,-8.217,4.616,0.968,SHANGCHI
13.692,9.027,-0.714,-8.219,3.412,1.196,SHANGCHI
15.749,8.188,-0.580,-7.865,2.586,1.059,SHANGCHI
17.220,8.484,-1.389,-7.838,3.330,1.053,SHANGCHI
15.644,6.717,-4.583,-7.878,3.621,1.474,SHANGCHI
15.676,4.398,-5.490,-6.963,3.249,1.621,SHANGCHI
17.020,3.807,-6.380,-6.385,3.670,1.830,SHANGCHI
15.194,1.574,-6.667,-5.750,3.832,2.540,SHANGCHI
12.036,-0.381,-6.133,-4.839,3.428,3.067,SHANGCHI
8.729,-2.072,-5.541,-3.928,2.842,3.238,SHANGCHI
6.333,-3.162,-3.885,-3.210,2.205,3.315,SHANGCHI
3.965,-5.215,-3.539,-2.385,1.937,3.032,SHANGCHI
1.794,-5.621,-1.991,-1.686,1.472,2.405,SHANGCHI
0.554,-6.369,-1.778,-1.069,0.914,1.750,SHANGCHI
-0.356,-7.172,-1.643,-0.326,0.511,1.081,SHANGCHI
-1.324,-7.131,-1.541,0.412,-0.275,0.308,SHANGCHI
0.993,-5.481,-0.245,0.972,-0.633,-0.122,SHANGCHI
0.033,-6.112,-0.369,1.101,-0.300,-0.470,SHANGCHI
-0.863,-5.962,-0.519,1.660,-0.960,-1.057,SHANGCHI
1.240,-5.404,0.237,2.251,-1.332,-1.617,SHANGCHI
1.207,-4.075,0.734,2.462,-0.993,-2.186,SHANGCHI
1.351,-3.514,0.851,2.747,-1.270,-2.563,SHANGCHI
1.620,-2.404,3.166,3.219,-1.319,-2.994,SHANGCHI
1.329,-1.130,2.477,3.363,-1.625,-3.709,SHANGCHI
1.879,1.676,1.139,3.483,-3.140,-3.664,SHANGCHI
5.379,4.653,1.696,3.141,-3.775,-3.756,SHANGCHI
8.155,5.091,0.641,2.391,-2.118,-4.670,SHANGCHI
5.968,3.426,-3.002,3.196,-1.925,-4.361,SHANGCHI
9.396,8.800,0.231,2.802,-2.620,-4.882,SHANGCHI
10.684,8.722,-0.466,2.082,0.447,-5.431,SHANGCHI
5.904,10.083,-0.248,3.241,-0.533,-5.211,SHANGCHI
11.268,14.546,1.472,2.781,-1.798,-5.104,SHANGCHI
9.124,13.052,0.881,1.728,2.089,-5.601,SHANGCHI
6.112,13.787,0.985,2.362,1.261,-5.359,SHANGCHI
3.690,15.586,3.054,2.303,0.178,-5.168,SHANGCHI
3.664,16.904,2.011,1.645,-0.227,-4.792,SHANGCHI
2.553,15.061,-0.315,1.321,-0.708,-4.208,SHANGCHI
-0.271,14.912,-1.427,1.762,-1.440,-4.015,SHANGCHI
-0.622,16.004,-3.715,2.196,-2.435,-3.789,SHANGCHI
-0.386,15.863,-6.181,3.371,-4.261,-3.236,SHANGCHI
17.547,25.671,6.565,2.103,-3.142,0.287,SHANGCHI
3.730,10.223,-4.839,-0.504,-0.738,0.670,SHANGCHI
-3.634,7.081,-5.956,-0.332,1.835,-0.517,SHANGCHI
-2.391,9.522,-2.311,-0.054,1.152,-0.599,SHANGCHI
-4.040,8.053,-4.047,-0.532,1.357,-0.607,SHANGCHI
-3.032,9.634,-2.847,-0.549,0.519,-0.240,SHANGCHI
-2.885,9.706,-1.798,-0.376,0.351,-0.025,SHANGCHI
-3.547,9.406,-1.752,-0.114,0.410,-0.127,SHANGCHI
-3.477,9.030,-2.717,0.013,0.181,-0.142,SHANGCHI
-2.876,9.128,-3.012,0.115,-0.072,-0.101,SHANGCHI
-2.632,8.985,-3.325,0.109,-0.097,-0.052,SHANGCHI
-2.803,9.021,-3.337,0.034,-0.106,0.016,SHANGCHI
-3.039,8.982,-3.116,0.055,-0.232,0.035,SHANGCHI
