acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.271,10.059,-2.019,-0.122,0.536,-0.158,SHIELD
-0.342,10.404,-2.152,-0.237,0.631,-0.104,SHIELD
1.838,11.997,-2.997,-0.693,0.927,0.026,SHIELD
2.922,13.219,-4.037,-1.138,1.414,0.661,SHIELD
3.362,13.127,-4.211,-1.375,2.111,1.407,SHIELD
2.002,12.761,-5.140,-1.162,2.352,1.863,SHIELD
1.939,12.255,-6.648,-0.089,1.733,2.227,SHIELD
2.133,12.504,-7.114,1.321,1.097,2.539,SHIELD
2.191,12.893,-8.211,2.632,0.762,2.529,SHIELD
1.611,12.822,-9.531,4.109,0.386,2.334,SHIELD
1.879,13.723,-10.136,5.503,-0.015,1.785,SHIELD
2.647,14.697,-10.775,6.137,-0.214,1.426,SHIELD
4.054,14.267,-10.402,6.222,0.421,1.102,SHIELD
4.523,14.013,-10.865,5.702,1.380,0.892,SHIELD
4.721,12.864,-10.775,4.874,2.150,1.054,SHIELD
5.776,11.502,-10.124,3.860,3.388,0.921,SHIELD
5.591,8.945,-10.562,2.941,4.005,1.286,SHIELD
6.059,7.277,-9.636,2.368,4.248,1.553,SHIELD
6.758,5.874,-9.486,1.402,4.614,1.616,SHIELD
6.878,3.595,-9.728,0.647,4.749,2.021,SHIELD
7.010,1.752,-9.335,0.474,4.662,2.272,SHIELD
7.220,0.904,-6.806,0.447,4.679,2.202,SHIELD
6.831,0.616,-4.600,0.032,4.418,2.446,SHIELD
6.578,0.038,-3.189,-0.629,4.590,2.709,SHIELD
3.671,-0.601,-2.093,-0.874,4.120,3.151,SHIELD
1.018,-0.640,-1.382,-0.912,3.078,3.282,SHIELD
-0.311,0.303,-0.904,-0.705,2.475,2.867,SHIELD
-1.704,-0.413,-0.773,-0.647,2.040,2.418,SHIELD
-2.765,-1.215,-0.286,-0.261,1.716,1.640,SHIELD
-3.114,-1.470,0.122,0.122,1.437,0.849,SHIELD
-3.236,-2.288,1.046,0.586,0.855,0.121,SHIELD
-2.711,-2.100,2.161,0.901,0.541,-0.677,SHIELD
-1.423,-2.433,3.775,1.027,0.742,-1.471,SHIELD
-1.563,-1.993,4.035,0.850,0.971,-2.334,SHIELD
-1.394,-0.561,1.946,0.936,0.897,-3.107,SHIELD
-0.567,-0.738,1.848,0.680,1.006,-3.839,SHIELD
-0.974,0.383,0.720,0.575,0.416,-3.993,SHIELD
-1.578,-0.616,-0.765,1.633,-1.158,-3.817,SHIELD
1.574,1.568,-2.050,2.684,-3.135,-3.636,SHIELD
4.626,5.381,-2.334,2.277,-3.649,-3.978,SHIELD
6.646,3.978,-4.701,2.251,-4.574,-3.442,SHIELD
8.214,7.157,-8.762,2.448,-5.286,-2.653,SHIELD
10.919,9.322,-8.093,1.896,-4.474,-3.168,SHIELD
8.372,7.295,-10.029,1.435,-4.604,-2.831,SHIELD
13.060,15.469,-10.366,0.559,-4.259,-3.527,SHIELD
13.415,14.211,-11.009,-0.660,-2.319,-4.127,SHIELD
10.245,13.719,-8.870,0.246,-2.665,-3.231,SHIELD
9.348,17.415,-5.117,-0.344,-3.152,-2.567,SHIELD
7.516,15.088,-3.532,-2.337,-1.915,-2.418,SHIELD
3.290,13.106,-2.852,-2.989,-2.131,-2.058,SHIELD
1.397,14.086,-2.650,-3.005,-2.792,-1.728,SHIELD
1.921,15.587,-3.887,-3.414,-2.533,-2.134,SHIELD
0.594,12.865,-5.229,-3.064,-1.940,-2.277,SHIELD
-1.276,11.467,-6.126,-1.660,-2.777,-2.068,SHIELD
-1.273,13.078,-5.870,-0.384,-3.794,-1.898,SHIELD
-1.109,13.927,-4.748,0.249,-3.840,-2.295,SHIELD
0.861,14.291,-4.760,0.204,-2.874,-2.540,SHIELD
1.942,12.865,-5.002,-0.012,-2.149,-1.860,SHIELD
1.487,11.518,-5.009,-0.063,-1.666,-0.945,SHIELD
0.600,10.421,-4.909,0.351,-1.602,-0.034,SHIELD
-0.345,10.088,-4.347,0.814,-1.796,0.630,SHIELD
-0.818,9.651,-3.968,1.046,-1.898,1.017,SHIELD
-1.345,9.184,-3.874,1.224,-1.962,1.206,SHIELD
-1.762,9.518,-3.330,1.183,-1.976,1.228,SHIELD
-1.971,9.580,-3.157,0.937,-1.781,1.072,SHIELD
-1.887,9.383,-2.958,0.695,-1.288,0.673,SHIELD
-1.843,9.417,-3.138,0.446,-0.719,0.229,SHIELD
-2.815,8.942,-1.621,0.571,-0.571,-0.150,SHIELD
-0.762,12.619,5.138,1.054,-2.866,0.417,SHIELD
-0.041,12.605,1.664,-0.070,-2.160,0.561,SHIELD
-0.841,8.868,-3.611,-0.125,-1.016,0.127,SHIELD
0.173,9.932,-3.889,0.133,-0.068,-0.312,SHIELD
0.055,10.677,-3.403,-0.057,1.710,-0.544,SHIELD
-1.697,10.214,-2.173,-0.402,2.149,-0.384,SHIELD
-2.834,9.398,-2.031,-0.501,1.669,-0.079,SHIELD
-3.551,8.641,-2.064,-0.338,1.019,0.026,SHIELD
-3.363,8.667,-2.435,-0.102,0.367,-0.046,SHIELD
-2.984,9.015,-2.653,0.053,0.080,-0.063,SHIELD
-2.882,9.361,-2.155,0.036,0.099,-0.031,SHIELD
-3.132,9.421,-1.815,-0.038,-0.061,0.022,SHIELD
