acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.168,9.583,3.490,0.144,0.191,-0.118,BOMB
0.460,10.285,4.485,-0.385,0.043,0.186,BOMB
0.762,9.924,3.228,-0.647,0.014,0.236,BOMB
1.438,9.368,2.494,-0.478,-0.053,0.048,BOMB
1.727,9.291,2.298,0.244,-0.480,-0.158,BOMB
4.199,10.550,2.354,0.800,-1.002,-0.069,BOMB
6.686,12.212,2.943,1.147,-1.292,0.837,BOMB
7.443,14.211,3.485,1.195,-1.695,1.712,BOMB
10.075,19.071,2.570,1.720,-1.453,4.482,BOMB
10.718,21.111,2.252,1.451,-1.607,5.302,BOMB
10.992,22.026,0.659,1.439,-1.887,6.137,BOMB
10.404,21.476,-0.172,2.217,-2.143,6.890,BOMB
9.954,20.423,0.630,2.536,-1.988,7.620,BOMB
9.139,19.606,0.793,2.138,-0.996,8.134,BOMB
6.407,16.915,-0.037,1.853,-0.471,8.481,BOMB
3.611,14.272,0.359,2.023,-0.863,8.510,BOMB
3.569,12.329,0.005,1.731,-0.956,8.018,BOMB
2.668,9.489,-1.000,1.803,-0.576,8.077,BOMB
-1.038,7.898,-0.414,1.789,0.087,7.815,BOMB
-4.063,5.400,-1.076,1.388,0.467,7.255,BOMB
-8.405,1.118,-0.475,1.233,0.771,6.639,BOMB
-14.323,-2.865,0.582,0.685,0.891,5.270,BOMB
-19.692,-7.002,1.826,0.051,1.045,3.527,BOMB
-20.281,-9.513,0.915,-0.446,0.971,1.098,BOMB
-9.845,-9.707,-2.931,-0.504,0.595,-0.812,BOMB
-2.234,-10.648,-4.478,-0.050,1.257,-1.096,BOMB
-0.741,-11.376,-4.060,0.117,2.772,-0.705,BOMB
-2.430,-12.678,-4.104,-0.119,3.914,-0.043,BOMB
-4.357,-13.652,-4.318,-0.010,4.097,0.460,BOMB
-6.050,-13.294,-4.659,-0.493,3.961,0.555,BOMB
-6.365,-14.684,-6.202,-0.984,3.628,0.327,BOMB
-5.571,-14.596,-8.577,-0.027,3.093,-0.293,BOMB
-2.450,-11.895,-6.351,0.621,2.978,-0.904,BOMB
-1.338,-11.801,-3.548,0.409,3.299,-0.830,BOMB
-1.744,-10.451,-3.934,1.529,3.697,-1.333,BOMB
-0.997,-5.546,-3.945,3.886,3.520,-1.879,BOMB
1.345,0.643,22.463,2.677,3.581,-1.538,BOMB
1.991,1.461,9.090,1.996,4.245,-1.166,BOMB
0.706,1.221,10.769,2.106,4.106,-1.493,BOMB
-0.300,0.716,14.189,2.752,3.209,-2.240,BOMB
1.997,-1.774,12.867,2.295,0.172,-3.820,BOMB
10.527,-1.411,8.980,0.988,-3.149,-4.268,BOMB
2.247,-5.146,4.767,0.944,-0.064,0.707,BOMB
2.215,-3.485,5.086,0.610,-0.171,0.558,BOMB
1.506,-4.084,3.621,0.523,-0.066,0.572,BOMB
1.941,-2.933,3.846,0.617,-0.844,0.272,BOMB
2.311,-2.264,4.143,0.877,-1.592,0.006,BOMB
3.792,-2.484,3.463,0.867,-1.648,-0.041,BOMB
2.508,-2.435,2.807,1.435,-1.495,-0.122,BOMB
2.180,-2.514,2.895,1.561,-1.868,-0.690,BOMB
3.564,-3.184,1.131,1.706,-1.982,-1.433,BOMB
4.168,-4.005,2.481,2.832,-1.501,-1.888,BOMB
4.597,-2.186,2.950,2.469,-1.447,-2.442,BOMB
5.675,-1.451,2.821,2.320,-1.306,-3.022,BOMB
6.188,-2.170,4.031,2.439,-0.929,-3.465,BOMB
6.750,0.217,2.917,1.993,-0.991,-4.168,BOMB
8.441,1.853,3.657,2.277,-0.810,-4.675,BOMB
8.588,4.443,5.368,2.279,-0.687,-4.995,BOMB
11.542,7.230,4.526,1.365,-0.790,-5.089,BOMB
13.710,7.503,4.116,1.128,0.125,-4.590,BOMB
9.874,7.993,5.149,1.323,0.872,-4.280,BOMB
7.663,10.263,5.422,1.299,0.118,-4.631,BOMB
8.901,12.478,4.846,0.769,-0.766,-4.826,BOMB
9.320,12.090,3.876,0.501,-0.448,-4.326,BOMB
7.833,13.240,4.776,0.797,-0.530,-4.380,BOMB
8.254,14.540,5.116,0.607,-0.708,-4.011,BOMB
6.459,14.033,3.956,-0.008,-0.945,-3.394,BOMB
5.806,13.133,2.681,-0.327,-1.157,-2.934,BOMB
5.865,12.327,1.896,-0.363,-0.858,-2.429,BOMB
5.639,11.804,1.814,-0.236,-0.186,-1.739,BOMB
5.029,11.338,2.118,-0.200,0.525,-1.186,BOMB
4.084,11.000,2.421,-0.185,0.990,-0.720,BOMB
3.085,10.543,2.574,-0.157,1.062,-0.380,BOMB
2.344,10.134,2.655,-0.052,0.836,-0.114,BOMB
1.832,9.866,2.656,0.053,0.502,0.114,BOMB
1.354,9.738,2.679,0.115,0.210,0.294,BOMB
1.049,9.654,2.651,0.116,0.100,0.412,BOMB
0.786,9.510,2.617,0.079,0.148,0.498,BOMB
0.418,9.329,2.541,0.009,0.211,0.525,BOMB
0.105,9.232,2.404,-0.066,0.212,0.511,BOMB
