acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.841,9.186,2.899,0.151,-0.031,-0.203,CAPT
0.891,9.611,3.294,0.276,-0.189,-0.113,CAPT
1.911,10.037,3.227,0.242,-0.680,-0.019,CAPT
4.551,10.927,3.611,0.264,-0.954,0.342,CAPT
6.648,12.216,4.161,0.077,-0.519,0.933,CAPT
6.426,12.643,4.188,0.219,-0.765,1.608,CAPT
7.258,13.377,4.771,0.440,-1.466,2.126,CAPT
9.143,14.471,5.382,0.492,-1.645,2.631,CAPT
9.344,16.177,5.321,0.207,-1.771,3.435,CAPT
9.170,16.018,3.896,0.051,-2.021,4.144,CAPT
9.394,16.235,3.197,0.286,-1.921,4.659,CAPT
9.304,16.948,3.250,0.488,-1.825,5.132,CAPT
8.997,16.167,3.228,0.686,-1.737,5.682,CAPT
8.518,15.820,2.992,0.684,-2.022,5.994,CAPT
8.565,14.378,2.163,0.732,-2.054,6.498,CAPT
7.688,13.401,2.888,0.542,-1.700,7.132,CAPT
6.316,11.599,2.688,0.050,-1.305,7.331,CAPT
-0.680,3.912,0.585,1.066,-2.097,6.438,CAPT
-4.702,0.749,0.403,0.579,-1.626,5.841,CAPT
-9.110,-3.270,-1.119,0.418,-1.213,4.987,CAPT
-13.932,-7.877,-0.352,0.441,-1.284,3.833,CAPT
-18.380,-11.760,0.605,0.146,-1.025,2.142,CAPT
-15.685,-11.832,-4.527,-0.049,-1.052,-0.464,CAPT
-8.026,-10.248,-8.761,0.850,-1.555,-1.999,CAPT
-3.020,-9.500,-9.742,1.642,-1.276,-2.460,CAPT
-3.789,-10.278,-12.160,2.362,-1.036,-2.711,CAPT
-1.276,-9.317,-11.916,3.645,-0.936,-3.270,CAPT
1.749,-7.161,-9.772,4.453,-0.060,-3.250,CAPT
2.658,-5.222,-8.655,4.835,0.867,-3.067,CAPT
5.651,-2.159,-9.132,5.335,1.715,-2.849,CAPT
8.802,2.172,-6.621,6.222,2.761,-2.313,CAPT
11.418,6.235,-2.341,6.558,4.219,-1.461,CAPT
11.560,8.581,0.100,6.508,5.473,-0.095,CAPT
6.278,10.055,7.102,6.621,5.167,1.227,CAPT
2.721,10.005,10.006,6.042,3.376,1.933,CAPT
3.230,11.326,12.854,5.276,1.949,2.582,CAPT
-0.285,11.715,17.566,4.225,1.797,2.833,CAPT
-6.044,12.028,23.794,2.647,1.300,2.587,CAPT
-14.202,10.378,26.354,0.433,-0.050,2.082,CAPT
-16.958,7.883,22.225,-1.155,-1.919,0.605,CAPT
-14.311,6.757,14.614,-2.352,-3.021,-0.663,CAPT
-11.096,7.582,11.152,-3.433,-2.667,-1.541,CAPT
-9.798,6.106,9.014,-4.072,-0.736,-2.385,CAPT
-9.277,4.049,9.036,-3.427,1.697,-3.740,CAPT
-7.941,5.213,11.695,-2.364,3.193,-5.293,CAPT
-6.200,7.170,14.456,-2.218,3.611,-6.044,CAPT
-1.943,6.833,14.459,-1.773,4.009,-6.634,CAPT
1.263,9.829,17.776,-1.849,4.359,-5.977,CAPT
-0.426,6.651,14.259,-2.631,3.698,-5.245,CAPT
1.517,6.080,15.815,-0.081,3.485,-6.371,CAPT
-0.123,9.157,15.580,-1.342,2.335,-6.486,CAPT
1.025,9.844,10.206,-0.994,-0.417,-6.873,CAPT
7.527,9.201,5.780,-0.533,-1.440,-6.789,CAPT
17.204,7.651,6.078,-0.071,-0.645,-5.453,CAPT
18.742,3.605,2.653,-0.099,-1.926,-2.839,CAPT
13.710,2.639,9.659,0.691,-0.770,0.289,CAPT
2.791,-1.939,5.087,-0.509,0.145,0.994,CAPT
1.836,-3.892,3.199,0.436,-1.022,0.178,CAPT
3.904,-2.537,5.668,0.846,-0.996,-0.074,CAPT
2.780,0.480,3.838,1.483,-1.823,0.042,CAPT
2.593,1.262,3.628,1.823,-2.111,0.040,CAPT
2.544,0.762,4.115,2.183,-2.029,0.023,CAPT
1.577,1.656,4.788,2.324,-1.952,-0.316,CAPT
1.060,0.401,3.603,2.285,-2.570,-0.788,CAPT
3.331,0.494,1.562,3.086,-3.045,-1.443,CAPT
4.830,2.575,5.024,3.403,-2.396,-2.215,CAPT
5.336,2.697,5.597,2.756,-1.946,-2.702,CAPT
5.489,3.453,2.517,2.325,-2.149,-3.017,CAPT
6.674,6.483,4.879,2.615,-2.082,-3.687,CAPT
7.442,7.286,4.139,2.134,-2.424,-4.110,CAPT
10.300,10.577,3.744,1.828,-2.614,-4.483,CAPT
10.931,12.351,5.073,1.059,-1.842,-4.378,CAPT
8.930,12.607,4.025,-0.065,-1.783,-4.158,CAPT
10.176,12.140,2.881,-0.273,-1.782,-4.225,CAPT
10.082,13.440,3.860,-0.167,-1.016,-3.923,CAPT
8.107,14.496,4.232,-0.620,-0.645,-3.331,CAPT
6.844,14.228,2.580,-1.324,-0.708,-3.064,CAPT
7.451,13.705,1.820,-1.196,-0.873,-2.870,CAPT
7.340,13.087,1.734,-0.778,-0.760,-2.248,CAPT
6.466,12.552,1.942,-0.555,-0.437,-1.479,CAPT
