acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.090,6.669,-5.290,-0.971,1.031,-0.549,HULK
0.142,6.938,-1.519,0.002,1.623,-0.850,HULK
-3.232,3.956,-3.076,-1.698,0.727,-0.858,HULK
1.836,4.068,-5.476,-0.208,1.353,-1.364,HULK
1.341,2.106,-18.410,0.916,0.423,0.791,HULK
-0.798,5.460,-25.618,2.447,0.966,0.734,HULK
-3.322,11.477,-22.894,3.159,2.550,0.648,HULK
-10.892,17.601,-31.643,3.886,1.792,0.847,HULK
-10.638,28.396,-28.583,7.041,2.246,0.046,HULK
-12.414,32.402,-25.442,6.632,4.566,-0.582,HULK
-13.507,32.750,-18.406,7.836,4.826,-0.413,HULK
-10.968,32.750,-11.239,7.437,4.729,-0.154,HULK
-9.299,32.750,-2.928,8.425,4.049,0.580,HULK
-9.876,32.750,19.884,6.589,1.520,1.462,HULK
-7.723,28.595,8.168,2.134,-0.479,1.855,HULK
-8.496,28.558,18.557,1.119,-1.004,1.752,HULK
-8.536,24.899,16.080,-0.788,-2.016,1.447,HULK
-6.913,24.270,13.336,-3.703,-2.271,0.898,HULK
-4.794,26.246,4.621,-6.183,-2.393,0.366,HULK
-3.605,29.067,-3.670,-8.640,-2.402,-0.037,HULK
-1.314,30.140,-15.938,-8.731,-1.993,-0.111,HULK
-0.506,26.933,-18.264,-6.758,-1.503,0.167,HULK
-1.709,23.734,-17.376,-7.152,-1.827,0.397,HULK
0.078,18.502,-22.373,-5.542,-1.713,0.565,HULK
-0.986,12.936,-19.599,-4.927,-1.150,0.703,HULK
-2.381,4.066,-29.512,-3.878,-0.929,0.406,HULK
-0.433,1.237,-23.457,-1.280,0.682,-0.022,HULK
-0.172,-1.424,-22.946,-0.422,0.978,-0.027,HULK
-0.295,-1.503,-19.661,1.489,0.158,0.208,HULK
-1.029,0.010,-16.922,2.288,0.232,0.204,HULK
-2.650,2.464,-18.051,2.708,0.279,0.041,HULK
-1.719,6.627,-21.951,3.423,0.337,-0.281,HULK
-2.249,12.504,-23.343,4.469,1.581,-0.537,HULK
-3.796,19.748,-22.942,5.911,2.127,-0.719,HULK
-4.982,26.213,-20.205,6.651,2.998,-1.023,HULK
-5.394,30.780,-13.994,7.380,4.568,-1.086,HULK
-6.990,32.473,-7.887,6.784,4.349,-0.555,HULK
-6.395,32.327,-4.280,7.378,3.715,0.028,HULK
-7.587,30.787,7.904,7.699,2.410,0.524,HULK
-6.378,26.123,16.310,2.506,0.675,0.735,HULK
-6.153,22.108,15.183,0.743,-0.681,1.051,HULK
-4.759,20.301,11.136,-1.779,-1.671,0.965,HULK
-3.435,19.319,7.057,-3.675,-2.195,0.737,HULK
-1.904,20.747,1.690,-5.495,-2.542,0.535,HULK
-0.775,22.733,-3.356,-7.373,-2.776,0.362,HULK
-2.535,23.499,-11.541,-8.582,-3.172,0.633,HULK
-4.094,23.030,-13.844,-7.244,-2.644,0.838,HULK
-5.189,24.019,-12.726,-8.219,-2.162,0.572,HULK
-4.722,22.954,-18.567,-7.721,-1.892,0.197,HULK
-5.613,19.615,-16.435,-5.203,-2.850,0.061,HULK
-3.629,17.452,-11.797,-4.711,-3.320,0.271,HULK
-2.706,13.818,-10.671,-4.028,-2.259,0.209,HULK
-3.006,11.488,-9.314,-2.076,-1.163,0.044,HULK
-1.780,10.797,-5.182,-0.433,-0.407,-0.186,HULK
-1.081,9.981,-1.752,0.061,0.257,-0.058,HULK
-2.309,8.896,0.013,0.139,0.198,-0.034,HULK
-1.688,8.331,2.195,-0.366,-0.338,-0.296,HULK
-1.433,7.488,2.054,-1.462,-0.883,-0.624,HULK
-0.570,6.164,-0.372,-1.340,-1.229,-0.732,HULK
0.999,5.592,-0.678,-0.123,-1.091,-0.593,HULK
1.182,5.226,1.267,0.620,-0.747,-0.285,HULK
1.142,5.313,1.705,0.726,-0.561,0.007,HULK
1.241,5.214,1.392,1.021,-0.298,0.170,HULK
1.478,5.496,2.014,1.445,0.072,0.116,HULK
1.431,6.388,2.918,1.647,0.315,-0.009,HULK
1.686,7.185,3.692,1.561,0.512,0.011,HULK
1.766,7.550,4.092,1.173,0.688,0.159,HULK
1.579,7.288,3.605,0.994,0.835,0.212,HULK
1.700,7.425,3.927,1.385,1.093,0.086,HULK
1.054,8.089,4.693,1.543,1.203,-0.103,HULK
0.712,8.599,4.769,1.085,0.973,-0.329,HULK
1.674,8.646,3.945,0.772,0.736,-0.382,HULK
1.809,8.713,4.044,0.674,0.653,-0.258,HULK
1.497,8.797,3.636,0.541,0.509,-0.063,HULK
1.263,9.056,3.659,0.395,0.398,0.051,HULK
1.475,9.094,3.287,0.203,0.458,0.060,HULK
1.746,9.305,3.032,0.090,0.614,0.074,HULK
1.423,9.277,3.001,-0.058,0.527,0.182,HULK
1.048,9.346,3.569,-0.106,0.010,0.329,HULK
1.007,9.808,4.721,-0.517,-0.270,0.405,HULK
