acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.652,9.429,2.529,0.174,-0.168,0.110,IRONMAN
0.555,9.904,2.907,0.070,-0.214,0.134,IRONMAN
0.575,10.352,3.132,-0.034,-0.159,0.158,IRONMAN
0.284,11.113,4.002,-0.189,0.077,0.062,IRONMAN
0.531,12.412,5.983,-0.986,0.115,0.211,IRONMAN
0.245,13.202,6.959,-1.948,-0.083,0.778,IRONMAN
-0.920,13.373,8.292,-2.918,-0.147,0.826,IRONMAN
-0.726,13.646,9.207,-4.032,-0.512,0.735,IRONMAN
-0.192,13.281,12.306,-6.063,-1.264,0.748,IRONMAN
0.697,8.466,7.529,-6.722,-1.956,1.132,IRONMAN
1.079,6.193,7.322,-7.160,-1.937,1.220,IRONMAN
0.434,0.545,0.160,-7.080,-1.989,1.284,IRONMAN
1.729,-2.242,-7.765,-3.219,-0.701,0.841,IRONMAN
0.818,0.199,3.374,-0.830,0.216,0.244,IRONMAN
1.957,0.082,4.563,-0.837,0.313,0.175,IRONMAN
2.579,1.974,6.800,-0.017,0.658,0.051,IRONMAN
3.225,3.917,12.140,-0.100,0.330,-0.333,IRONMAN
3.629,2.894,9.539,-0.295,-0.054,-0.418,IRONMAN
4.054,1.832,7.545,0.083,-0.012,-0.149,IRONMAN
4.174,1.474,7.554,0.456,0.110,0.309,IRONMAN
3.750,1.743,9.137,0.589,0.065,0.667,IRONMAN
3.322,1.589,8.645,0.531,-0.383,0.778,IRONMAN
3.527,1.280,7.290,0.877,-1.025,0.524,IRONMAN
5.945,3.149,10.897,1.074,-1.967,0.442,IRONMAN
8.652,3.104,12.233,0.989,-2.521,1.463,IRONMAN
8.585,4.075,14.847,0.948,-2.794,2.638,IRONMAN
7.487,3.503,13.881,0.597,-2.942,3.269,IRONMAN
7.695,2.336,13.609,0.431,-3.142,2.898,IRONMAN
10.221,0.274,10.968,0.132,-3.111,2.824,IRONMAN
10.379,-1.072,8.500,-0.321,-2.480,3.248,IRONMAN
9.541,-3.436,4.794,-0.373,-2.271,3.052,IRONMAN
10.250,-4.562,3.206,-0.137,-2.133,3.244,IRONMAN
9.131,-4.484,3.136,-0.155,-1.862,3.822,IRONMAN
4.912,-5.884,1.990,-0.493,-2.132,3.354,IRONMAN
4.360,-6.530,0.276,-0.623,-2.801,2.335,IRONMAN
6.051,-6.044,-0.744,-0.468,-2.961,2.204,IRONMAN
4.407,-5.937,-1.257,-0.721,-2.550,2.289,IRONMAN
3.272,-6.620,-3.148,-0.632,-2.471,1.862,IRONMAN
3.237,-6.321,-2.599,-0.472,-2.390,1.536,IRONMAN
5.539,-7.890,-2.430,-0.633,-2.099,1.587,IRONMAN
5.577,-8.494,-2.669,-0.535,-1.553,1.951,IRONMAN
4.573,-9.367,-3.678,-0.568,-1.127,2.186,IRONMAN
4.328,-10.216,-2.466,-0.155,-0.487,2.353,IRONMAN
2.668,-9.961,-2.294,-0.197,-0.241,1.964,IRONMAN
3.877,-10.677,-2.778,0.082,0.407,1.603,IRONMAN
4.423,-9.597,0.648,0.424,0.755,1.244,IRONMAN
5.063,-9.678,-1.168,0.225,0.829,1.129,IRONMAN
4.431,-8.662,-1.111,0.866,1.776,1.654,IRONMAN
1.793,-6.956,2.611,1.473,2.537,1.477,IRONMAN
1.947,-5.594,5.860,1.775,2.768,0.791,IRONMAN
3.181,-4.400,8.830,1.781,2.810,0.308,IRONMAN
3.397,-3.808,10.474,1.324,2.455,-0.429,IRONMAN
4.706,-5.097,8.426,0.593,1.445,-1.205,IRONMAN
7.141,-5.048,7.724,0.125,0.477,-1.143,IRONMAN
6.558,-5.730,4.607,-0.406,-0.202,-0.071,IRONMAN
4.214,-4.974,5.222,-0.143,-0.602,0.594,IRONMAN
3.109,-4.785,7.098,-0.279,-1.189,0.709,IRONMAN
2.189,-5.442,6.733,-0.722,-1.490,0.779,IRONMAN
0.981,-5.570,6.152,-0.786,-1.662,0.220,IRONMAN
1.526,-4.871,6.920,-0.751,-2.011,-0.668,IRONMAN
2.952,-4.845,4.852,-1.221,-2.310,-1.002,IRONMAN
3.336,-6.475,0.558,-0.689,-1.892,-0.901,IRONMAN
1.912,-6.361,0.667,0.170,-1.377,-1.295,IRONMAN
0.820,-5.394,0.715,0.489,-1.152,-1.963,IRONMAN
2.348,-6.771,-3.390,0.251,-0.904,-2.308,IRONMAN
3.858,-8.284,-4.703,1.576,0.341,-2.063,IRONMAN
1.632,-7.305,-1.173,2.491,1.000,-2.616,IRONMAN
1.436,-6.896,1.244,2.301,1.179,-3.579,IRONMAN
2.344,-7.619,-0.907,2.101,1.030,-4.707,IRONMAN
6.120,-6.738,-0.826,2.959,0.988,-5.992,IRONMAN
9.223,-1.846,1.212,4.212,1.256,-6.245,IRONMAN
8.695,1.287,8.902,2.514,0.577,-5.880,IRONMAN
13.084,-0.610,1.911,1.154,0.267,-5.707,IRONMAN
9.577,4.771,5.510,1.731,3.090,-2.437,IRONMAN
5.957,6.097,5.664,2.714,2.073,-3.613,IRONMAN
3.653,9.732,6.406,3.267,-0.449,-4.032,IRONMAN
4.490,11.211,6.376,2.059,-2.040,-3.718,IRONMAN
4.499,10.628,4.419,1.039,-2.231,-3.477,IRONMAN
3.954,12.390,3.965,-1.139,1.805,-1.645,IRONMAN
2.475,11.150,3.381,-1.134,2.086,-1.166,IRONMAN
