acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1.387,9.062,2.761,0.077,0.413,-0.250,LOGOUT
1.645,9.198,2.755,0.008,0.527,-0.094,LOGOUT
1.868,9.414,2.747,0.014,0.625,-0.065,LOGOUT
3.434,10.008,2.755,0.080,0.733,0.100,LOGOUT
4.549,10.927,3.743,0.035,0.757,0.699,LOGOUT
4.363,11.515,3.278,-0.264,0.297,1.025,LOGOUT
6.640,12.313,1.825,0.029,-0.252,1.273,LOGOUT
8.763,14.428,2.074,0.855,-0.523,1.992,LOGOUT
8.494,16.214,2.541,1.054,-1.065,3.006,LOGOUT
9.349,17.620,1.886,1.566,-1.659,3.681,LOGOUT
10.121,19.336,2.682,1.947,-1.409,4.441,LOGOUT
8.956,20.326,2.313,1.889,-1.404,5.158,LOGOUT
8.299,19.772,1.010,2.244,-1.922,5.747,LOGOUT
9.349,19.599,1.111,2.594,-1.806,6.002,LOGOUT
9.286,19.214,0.836,2.635,-1.051,6.198,LOGOUT
7.997,17.915,0.378,2.774,-0.751,6.653,LOGOUT
5.908,15.265,1.410,2.590,-0.650,6.910,LOGOUT
5.136,12.680,0.608,2.358,-0.718,6.726,LOGOUT
-2.055,1.523,0.265,1.600,-0.713,5.163,LOGOUT
-2.058,-0.985,-0.414,1.553,-0.815,4.164,LOGOUT
-2.369,-3.726,-0.307,1.577,-0.609,3.676,LOGOUT
-4.459,-6.702,0.982,1.278,-0.368,3.036,LOGOUT
-4.714,-10.217,0.986,0.787,-0.166,2.188,LOGOUT
-4.940,-13.417,1.262,0.817,0.151,1.507,LOGOUT
-3.836,-15.088,2.419,0.568,0.166,0.937,LOGOUT
0.065,-17.225,0.742,0.088,0.272,0.581,LOGOUT
1.335,-18.694,-1.411,0.286,0.414,0.546,LOGOUT
2.128,-19.871,-2.130,0.469,0.117,0.824,LOGOUT
2.826,-20.741,-4.083,0.588,0.108,1.045,LOGOUT
3.320,-20.251,-2.042,1.556,0.847,1.035,LOGOUT
-0.269,-17.972,1.621,0.488,0.844,0.949,LOGOUT
-2.032,-16.856,-1.868,-0.342,-0.144,0.373,LOGOUT
-1.385,-12.208,1.123,0.275,-0.073,-0.597,LOGOUT
-0.833,-4.399,3.222,-1.094,-0.481,-0.972,LOGOUT
0.066,1.152,2.473,-1.924,-0.092,-1.400,LOGOUT
1.426,5.952,1.837,-1.856,0.412,-2.423,LOGOUT
5.004,11.483,3.527,-1.141,0.179,-2.224,LOGOUT
5.869,9.912,2.896,-3.266,-0.460,-0.934,LOGOUT
3.606,5.034,-4.045,-3.424,-1.687,-0.132,LOGOUT
3.039,1.936,-11.463,0.232,-2.474,0.127,LOGOUT
5.549,4.628,-3.788,4.465,-1.319,0.755,LOGOUT
2.604,4.284,10.128,3.907,0.367,1.750,LOGOUT
1.274,0.744,3.342,0.644,1.224,1.810,LOGOUT
0.063,-2.270,2.350,1.559,1.491,1.887,LOGOUT
-3.456,-5.244,4.599,0.684,0.432,1.164,LOGOUT
-3.365,-8.169,1.626,-0.518,-0.922,0.110,LOGOUT
-1.360,-10.701,-1.761,-1.498,-1.581,-0.887,LOGOUT
1.670,-13.094,-5.281,-1.775,-1.305,-1.404,LOGOUT
1.860,-14.061,-5.861,-1.789,-0.681,-1.382,LOGOUT
3.592,-15.839,-5.735,-2.335,-0.154,-1.396,LOGOUT
0.167,-16.382,-7.432,-2.966,-0.367,-1.365,LOGOUT
0.678,-18.805,-11.321,-3.083,-1.256,-1.996,LOGOUT
8.997,-22.861,-13.741,-1.630,-0.301,-2.006,LOGOUT
11.247,-24.165,-10.448,0.000,1.598,-0.702,LOGOUT
8.446,-22.206,-9.183,0.442,1.717,0.597,LOGOUT
5.452,-19.845,-9.716,1.373,0.708,1.135,LOGOUT
5.183,-19.661,-9.676,2.386,-0.096,1.287,LOGOUT
5.731,-20.585,-9.418,3.234,0.667,1.668,LOGOUT
2.314,-19.011,-5.625,3.400,1.079,1.963,LOGOUT
1.566,-17.887,-2.388,2.197,1.222,2.002,LOGOUT
-0.203,-15.981,-2.002,1.128,1.617,1.308,LOGOUT
-2.283,-11.730,-1.383,0.758,1.181,0.458,LOGOUT
-1.622,-6.026,1.083,0.357,0.076,-0.371,LOGOUT
-1.181,-0.817,4.490,-0.651,0.060,-1.125,LOGOUT
0.624,4.075,2.283,-2.061,0.283,-2.174,LOGOUT
3.574,8.007,1.193,-1.777,0.943,-2.066,LOGOUT
6.467,8.520,2.852,-2.207,1.267,-1.450,LOGOUT
5.764,4.894,-0.682,-2.641,0.786,-0.560,LOGOUT
2.572,1.660,-3.359,-2.043,-0.890,-0.064,LOGOUT
3.125,0.203,-7.064,0.073,-2.694,0.041,LOGOUT
6.363,1.100,-4.874,2.781,-2.433,0.428,LOGOUT
5.875,2.248,1.293,4.226,-0.785,1.438,LOGOUT
1.516,0.479,6.032,2.247,-0.007,1.831,LOGOUT
0.759,-3.129,1.098,1.383,0.058,1.578,LOGOUT
-1.167,-5.550,2.204,2.068,-0.111,1.289,LOGOUT
-2.947,-7.227,2.680,1.068,-0.966,0.642,LOGOUT
0.094,-14.140,2.236,-1.427,0.178,-0.574,LOGOUT
-0.607,-15.620,-3.505,-2.655,-0.622,-0.868,LOGOUT
3.883,-15.689,-5.798,-1.270,-0.055,-1.107,LOGOUT
2.398,-14.589,-0.550,-0.890,0.207,-0.939,LOGOUT
