acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
3.928,23.122,14.762,-8.731,-0.295,3.637,NULL
-1.951,28.528,10.430,-8.731,-1.020,6.150,NULL
-7.883,4.805,-9.354,-8.731,-2.504,4.644,NULL
-0.650,-5.562,-17.409,-2.895,-2.006,0.425,NULL
5.829,-0.142,-2.122,2.985,0.046,-1.464,NULL
5.290,3.429,7.177,4.284,1.791,-1.272,NULL
2.279,4.088,4.323,4.709,2.995,-1.149,NULL
-2.641,7.085,2.020,6.144,2.834,-1.930,NULL
-4.030,11.707,2.628,7.484,1.938,-2.905,NULL
-4.427,14.802,3.799,7.555,0.596,-3.418,NULL
-2.633,15.007,4.418,6.303,-0.982,-3.197,NULL
1.236,13.583,4.746,4.425,-1.624,-2.123,NULL
2.170,12.214,4.819,1.588,-1.477,-0.422,NULL
1.248,11.657,3.573,-0.788,-1.234,0.952,NULL
0.154,11.452,2.444,-2.598,-0.666,1.811,NULL
-0.916,9.965,0.999,-2.931,-0.152,1.883,NULL
-1.142,7.793,0.341,-2.097,0.296,1.293,NULL
-1.355,6.520,0.151,-0.491,0.508,0.439,NULL
-1.355,7.260,1.072,1.055,0.439,-0.400,NULL
-0.675,9.016,2.525,1.886,0.417,-0.927,NULL
0.042,10.370,3.622,2.019,0.674,-1.153,NULL
0.583,10.428,3.915,1.466,0.902,-0.945,NULL
0.634,9.965,3.873,0.621,0.883,-0.483,NULL
0.303,9.448,3.532,-0.087,0.607,0.061,NULL
-0.378,9.205,3.165,-0.443,0.237,0.414,NULL
-0.960,9.028,2.734,-0.489,-0.134,0.477,NULL
-1.038,8.994,2.480,-0.361,-0.381,0.350,NULL
-0.922,9.016,2.319,-0.178,-0.471,0.121,NULL
-0.667,9.068,2.303,-0.007,-0.428,-0.113,NULL
-0.432,9.265,2.364,0.104,-0.305,-0.262,NULL
-0.279,9.394,2.465,0.075,-0.162,-0.322,NULL
-0.209,9.563,2.506,-0.054,0.002,-0.348,NULL
-0.018,9.541,2.443,-0.162,0.207,-0.373,NULL
0.065,9.223,2.288,-0.203,0.393,-0.412,NULL
0.047,9.126,2.210,-0.187,0.395,-0.419,NULL
0.016,9.351,2.215,-0.161,0.274,-0.374,NULL
0.083,9.710,2.243,-0.147,0.165,-0.275,NULL
0.117,9.860,2.175,-0.141,0.112,-0.174,NULL
0.148,9.805,2.066,-0.087,0.058,-0.059,NULL
0.161,9.625,1.996,0.034,-0.018,0.084,NULL
0.044,9.637,2.135,0.160,-0.093,0.240,NULL
-0.057,9.631,2.413,0.217,-0.120,0.342,NULL
-0.182,9.436,2.510,0.221,-0.138,0.406,NULL
-0.250,9.131,2.489,0.202,-0.173,0.439,NULL
-0.407,9.048,2.516,0.174,-0.209,0.460,NULL
-0.570,9.174,2.580,0.127,-0.214,0.444,NULL
-0.761,9.234,2.567,0.059,-0.204,0.369,NULL
-0.841,9.244,2.420,0.006,-0.192,0.269,NULL
-0.804,9.186,2.288,-0.004,-0.182,0.182,NULL
-0.701,9.074,2.239,0.029,-0.172,0.109,NULL
-0.653,9.004,2.303,0.044,-0.188,0.063,NULL
-0.924,9.170,2.134,-0.063,-0.252,-0.117,NULL
-0.378,9.265,2.482,-0.022,-0.105,-0.448,NULL
0.412,9.581,2.544,-0.122,-0.100,-0.288,NULL
0.407,9.645,2.455,-0.137,-0.113,-0.169,NULL
0.172,9.515,2.173,-0.013,-0.369,0.098,NULL
0.059,9.597,2.085,0.063,-0.543,0.261,NULL
-0.052,9.558,2.055,0.115,-0.567,0.381,NULL
-0.158,9.414,1.975,0.150,-0.504,0.451,NULL
-0.233,9.247,1.899,0.194,-0.422,0.500,NULL
-0.279,9.259,2.017,0.219,-0.327,0.543,NULL
-0.377,9.208,2.051,0.197,-0.240,0.583,NULL
-0.600,9.226,2.064,0.168,-0.181,0.616,NULL
-0.844,9.250,2.105,0.158,-0.160,0.613,NULL
-1.063,9.352,2.197,0.155,-0.165,0.558,NULL
-1.251,9.607,2.318,0.149,-0.199,0.477,NULL
-1.205,9.682,2.354,0.129,-0.225,0.387,NULL
-1.026,9.554,2.345,0.108,-0.207,0.312,NULL
-0.279,9.265,1.445,-0.428,0.430,-0.908,NULL
-0.106,9.630,1.501,-0.360,0.479,-0.883,NULL
0.039,10.070,1.601,-0.286,0.500,-0.807,NULL
0.194,10.315,1.633,-0.219,0.479,-0.666,NULL
0.412,10.237,1.581,-0.156,0.406,-0.442,NULL
0.470,10.024,1.411,-0.063,0.278,-0.164,NULL
0.331,9.722,1.335,0.123,0.090,0.138,NULL
0.152,9.668,1.473,0.345,-0.105,0.399,NULL
0.103,9.706,1.620,0.542,-0.208,0.649,NULL
-0.073,9.692,1.853,0.632,-0.198,0.771,NULL
-0.285,9.662,1.967,0.610,-0.158,0.782,NULL
-0.349,9.630,2.025,0.497,-0.093,0.752,NULL
