acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.689,8.403,1.763,0.377,-0.898,-0.127,RELOAD
-1.306,8.864,1.949,0.546,-1.594,-0.401,RELOAD
-0.950,9.337,1.625,0.641,-2.316,-0.920,RELOAD
1.121,10.312,1.065,0.757,-2.780,-1.122,RELOAD
2.457,11.115,-0.223,0.850,-3.092,-1.020,RELOAD
2.786,12.081,-1.314,0.811,-3.466,-0.852,RELOAD
3.565,12.692,-4.722,1.132,-4.121,-0.556,RELOAD
4.863,13.644,-6.475,1.882,-3.811,0.025,RELOAD
2.969,14.194,-7.590,2.746,-2.685,0.236,RELOAD
-0.377,16.098,-8.797,3.819,-2.094,-0.049,RELOAD
-1.725,17.448,-8.464,4.752,-1.559,-0.439,RELOAD
-2.611,17.892,-7.719,5.461,-0.675,-0.676,RELOAD
-3.549,18.209,-6.529,5.543,-0.015,-0.634,RELOAD
-4.635,16.720,-6.229,5.338,0.365,-0.549,RELOAD
-4.738,15.576,-5.744,5.272,0.666,-0.559,RELOAD
-4.184,13.711,-5.051,5.401,0.732,-0.601,RELOAD
-0.815,9.934,-2.555,5.626,1.528,-0.507,RELOAD
-0.177,7.513,1.090,5.600,2.378,-0.470,RELOAD
0.367,4.645,6.624,4.588,2.202,-0.353,RELOAD
2.523,1.622,9.695,2.846,1.469,-0.137,RELOAD
3.436,1.340,11.337,0.915,1.001,0.326,RELOAD
0.605,1.053,9.816,-1.569,0.552,0.393,RELOAD
-0.139,1.797,6.011,-3.234,-0.542,0.073,RELOAD
0.856,4.068,2.907,-4.223,-0.640,-0.174,RELOAD
-0.339,6.861,0.145,-5.148,-0.392,-0.411,RELOAD
-2.922,10.595,-2.481,-5.816,-1.118,-0.659,RELOAD
-4.713,14.653,-7.994,-6.110,-2.288,-1.093,RELOAD
-3.326,16.213,-13.873,-5.111,-3.046,-1.360,RELOAD
1.851,16.358,-11.592,-4.100,-1.135,-0.468,RELOAD
-1.081,17.174,-12.307,-4.140,0.272,0.119,RELOAD
-4.188,18.478,-15.927,-4.536,0.069,0.297,RELOAD
-2.972,15.250,-22.585,-2.243,-1.078,-0.061,RELOAD
-3.019,14.767,-19.803,1.194,-1.172,-0.518,RELOAD
-1.516,15.456,-14.195,2.402,-0.336,-0.676,RELOAD
-2.353,15.283,-13.192,2.819,0.288,-0.438,RELOAD
-3.546,15.577,-12.479,3.596,0.405,-0.463,RELOAD
-3.672,16.544,-11.359,4.306,0.524,-0.600,RELOAD
-2.842,14.862,-8.734,4.792,1.167,-0.465,RELOAD
-2.928,12.157,-7.080,5.327,1.576,-0.423,RELOAD
-1.968,10.538,-3.817,5.610,1.704,-0.446,RELOAD
0.946,6.552,-0.557,5.304,2.315,-0.304,RELOAD
0.937,4.788,2.221,4.720,2.622,0.065,RELOAD
0.307,3.248,5.883,3.385,1.879,0.504,RELOAD
0.105,1.399,4.947,1.526,0.900,0.509,RELOAD
1.078,0.586,4.011,0.670,0.568,0.325,RELOAD
0.410,0.814,3.829,-0.486,0.633,0.052,RELOAD
0.048,1.651,2.688,-1.570,0.301,-0.249,RELOAD
0.808,3.669,1.040,-2.762,0.138,-0.217,RELOAD
0.964,5.417,-0.947,-4.145,0.569,0.154,RELOAD
-0.207,7.799,-3.363,-5.347,0.619,0.202,RELOAD
-0.074,9.259,-7.686,-5.478,0.662,-0.085,RELOAD
1.259,9.475,-7.066,-4.910,1.097,-0.541,RELOAD
-1.447,14.363,-6.901,-5.179,0.720,-1.214,RELOAD
0.056,14.142,-9.579,-4.842,-0.584,-1.486,RELOAD
3.434,12.595,-8.148,-3.538,-0.426,-1.362,RELOAD
2.512,15.360,-3.972,-3.239,0.526,-1.120,RELOAD
1.554,16.021,-4.464,-4.337,0.559,-0.866,RELOAD
1.998,14.069,-5.347,-3.908,0.427,-0.805,RELOAD
2.988,13.529,-3.192,-3.335,1.017,-0.684,RELOAD
1.691,12.620,-1.731,-3.124,1.637,-0.502,RELOAD
0.278,11.731,-1.466,-2.746,1.474,-0.545,RELOAD
0.980,11.628,-0.775,-2.254,1.246,-0.712,RELOAD
2.557,11.478,-0.513,-1.853,1.559,-0.619,RELOAD
2.902,11.181,-0.075,-1.601,2.332,-0.149,RELOAD
2.198,10.704,0.145,-1.285,2.874,0.362,RELOAD
1.152,9.961,0.642,-0.814,2.926,0.677,RELOAD
-0.127,9.383,1.350,-0.222,2.426,0.798,RELOAD
-1.051,9.062,2.061,0.286,1.554,0.718,RELOAD
-1.402,8.949,2.535,0.678,0.484,0.490,RELOAD
-1.273,9.005,2.779,0.880,-0.443,0.288,RELOAD
-0.650,9.174,2.823,0.908,-1.045,0.168,RELOAD
-0.098,9.337,2.835,0.757,-1.168,0.126,RELOAD
0.097,9.283,2.790,0.540,-0.970,0.145,RELOAD
0.045,9.310,2.789,0.360,-0.661,0.168,RELOAD
-0.158,9.194,2.741,0.210,-0.389,0.145,RELOAD
-0.353,9.016,2.711,0.161,-0.264,0.102,RELOAD
-0.464,8.991,2.734,0.141,-0.247,0.051,RELOAD
-0.325,9.076,2.755,0.123,-0.233,-0.017,RELOAD
-0.133,9.159,2.689,0.090,-0.167,-0.045,RELOAD
-0.244,9.193,2.647,0.092,-0.163,-0.046,RELOAD
