acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.619,9.159,1.298,0.353,-1.066,-0.358,SHANGCHI
-0.767,8.993,0.940,0.589,-1.627,-0.397,SHANGCHI
0.551,9.626,0.366,0.749,-2.218,-0.382,SHANGCHI
2.063,10.113,-0.484,0.624,-1.951,-0.303,SHANGCHI
2.200,10.230,-2.220,0.692,-1.429,-0.181,SHANGCHI
2.565,10.714,-3.499,1.078,-0.630,-0.055,SHANGCHI
2.510,11.448,-5.412,1.469,-0.013,-0.025,SHANGCHI
1.608,11.947,-6.810,2.089,0.058,0.164,SHANGCHI
0.801,12.822,-7.070,3.031,-0.262,0.262,SHANGCHI
0.179,13.286,-7.418,3.397,-0.240,0.188,SHANGCHI
-1.446,13.499,-8.638,3.922,-0.321,0.138,SHANGCHI
-2.623,14.105,-9.028,4.399,-0.277,-0.124,SHANGCHI
-3.256,14.024,-9.031,4.790,0.198,-0.428,SHANGCHI
-4.503,14.324,-8.626,4.922,0.821,-0.669,SHANGCHI
-5.218,13.678,-8.631,4.817,1.135,-0.900,SHANGCHI
-4.771,13.055,-8.188,4.745,1.300,-1.115,SHANGCHI
-4.586,12.065,-8.694,4.576,1.406,-1.209,SHANGCHI
-3.986,10.680,-7.617,4.709,1.545,-1.453,SHANGCHI
-2.742,9.783,-7.666,4.463,1.566,-1.555,SHANGCHI
-1.739,7.887,-6.860,4.469,1.681,-1.570,SHANGCHI
-1.781,7.002,-5.221,4.269,1.636,-1.633,SHANGCHI
0.096,5.220,-4.552,4.036,1.334,-1.592,SHANGCHI
1.888,3.661,-2.215,3.882,1.453,-1.637,SHANGCHI
2.911,2.926,-0.856,2.958,1.414,-1.475,SHANGCHI
3.741,1.317,-0.943,2.034,0.850,-0.994,SHANGCHI
4.587,0.115,-1.978,1.338,0.162,-0.691,SHANGCHI
7.862,-0.094,-2.865,0.528,0.460,-0.390,SHANGCHI
8.931,-0.626,-4.306,-0.450,1.401,0.269,SHANGCHI
10.840,-0.288,-5.347,-1.309,2.470,0.988,SHANGCHI
12.610,0.294,-6.757,-2.361,4.209,1.931,SHANGCHI
11.023,0.988,-8.310,-3.287,5.159,2.651,SHANGCHI
11.968,1.669,-8.473,-3.858,5.416,2.993,SHANGCHI
16.349,3.082,-8.242,-4.290,7.118,3.693,SHANGCHI
11.405,3.587,-9.048,-4.821,7.872,4.636,SHANGCHI
11.033,1.318,-6.963,-3.953,6.101,3.917,SHANGCHI
16.195,2.933,-2.729,-4.249,7.396,3.932,SHANGCHI
11.839,2.526,-3.463,-5.967,8.191,4.539,SHANGCHI
7.912,-1.851,-3.891,-4.499,6.364,4.153,SHANGCHI
10.772,-2.328,-0.295,-3.951,6.064,3.384,SHANGCHI
8.627,-2.875,-0.216,-4.445,6.467,3.078,SHANGCHI
6.693,-4.242,0.417,-3.898,5.221,2.430,SHANGCHI
7.834,-4.924,0.876,-3.467,4.136,1.943,SHANGCHI
6.990,-5.283,1.066,-3.154,4.023,1.648,SHANGCHI
5.814,-6.018,1.151,-2.993,3.476,1.385,SHANGCHI
5.849,-7.363,0.552,-2.818,2.951,1.006,SHANGCHI
6.103,-7.290,-0.062,-2.324,2.604,0.734,SHANGCHI
7.001,-7.606,0.329,-2.320,2.459,0.939,SHANGCHI
6.138,-8.081,-0.891,-2.247,2.652,1.026,SHANGCHI
5.021,-7.934,-2.174,-1.936,2.301,0.699,SHANGCHI
5.653,-7.077,-2.381,-1.954,2.053,0.511,SHANGCHI
5.459,-6.584,-5.396,-2.206,1.724,0.391,SHANGCHI
4.785,-6.541,-8.531,-1.738,1.062,0.171,SHANGCHI
5.808,-6.044,-8.668,-0.995,1.071,0.441,SHANGCHI
1.942,-6.571,-5.336,1.423,0.012,-0.502,SHANGCHI
-0.172,-6.556,-3.584,1.525,-0.108,-0.848,SHANGCHI
-0.699,-5.976,-3.498,1.627,-0.671,-1.880,SHANGCHI
0.585,-5.931,-4.148,2.196,-1.095,-2.967,SHANGCHI
1.413,-4.552,-2.504,3.070,-0.874,-3.551,SHANGCHI
0.908,-2.583,-1.125,2.992,-0.533,-4.182,SHANGCHI
2.076,-3.141,-1.500,3.425,-0.411,-4.939,SHANGCHI
4.445,-0.670,0.610,4.370,-0.093,-5.347,SHANGCHI
3.508,2.521,2.731,3.764,-0.284,-5.139,SHANGCHI
5.198,2.918,0.970,3.127,-0.924,-5.560,SHANGCHI
10.228,5.203,2.479,2.797,-0.483,-5.525,SHANGCHI
9.091,5.722,2.769,2.333,-0.209,-4.447,SHANGCHI
7.841,5.259,2.623,2.211,-0.427,-4.338,SHANGCHI
10.364,7.926,3.848,1.868,0.440,-4.922,SHANGCHI
10.157,8.719,3.570,1.563,1.026,-4.533,SHANGCHI
7.983,9.413,4.168,1.405,0.432,-3.903,SHANGCHI
10.005,10.831,4.879,1.076,0.710,-4.081,SHANGCHI
10.554,12.090,4.990,0.765,1.961,-4.051,SHANGCHI
7.094,11.746,4.496,0.447,1.636,-3.045,SHANGCHI
5.089,11.604,4.394,0.394,0.547,-2.899,SHANGCHI
6.491,11.952,4.109,0.288,0.243,-3.085,SHANGCHI
7.885,12.200,4.659,0.246,0.770,-2.580,SHANGCHI
6.191,12.114,4.773,-0.135,1.550,-1.839,SHANGCHI
4.229,11.135,3.819,-0.395,1.394,-1.531,SHANGCHI
3.609,10.346,2.887,-0.155,0.727,-1.483,SHANGCHI
4.245,10.353,3.514,0.389,0.335,-1.367,SHANGCHI
3.744,10.552,3.883,0.462,0.002,-1.055,SHANGCHI
