acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
3.929,9.517,1.455,-0.198,1.030,0.977,SHIELD
2.769,10.246,1.825,-0.081,1.506,1.171,SHIELD
1.803,9.532,1.365,-0.242,0.787,0.892,SHIELD
2.731,9.286,-0.773,0.403,-0.339,0.835,SHIELD
4.679,10.292,-2.570,1.039,-1.156,0.775,SHIELD
8.587,11.685,-4.568,1.381,-0.804,1.694,SHIELD
8.924,12.350,-5.026,1.511,0.488,3.183,SHIELD
4.187,12.627,-7.736,1.651,0.781,3.315,SHIELD
4.921,13.293,-11.546,3.357,0.812,2.653,SHIELD
5.472,16.215,-7.701,4.909,1.287,2.636,SHIELD
3.248,16.359,-6.702,4.581,1.542,2.645,SHIELD
3.028,16.189,-7.538,5.269,2.161,2.187,SHIELD
0.964,15.395,-4.092,6.109,3.011,2.135,SHIELD
-1.518,13.077,-1.144,6.730,3.009,1.600,SHIELD
-1.786,12.577,9.966,5.626,2.800,1.251,SHIELD
-2.144,8.593,6.709,1.021,1.098,0.733,SHIELD
1.481,6.933,0.080,0.863,0.074,0.419,SHIELD
3.164,6.827,1.122,1.090,0.090,0.191,SHIELD
3.902,5.901,1.159,0.200,-0.265,-0.269,SHIELD
6.447,6.262,-0.950,-0.560,-0.712,-0.393,SHIELD
8.165,5.651,-2.497,-1.140,-1.253,-0.390,SHIELD
11.089,5.982,-5.824,-1.177,-1.613,-0.498,SHIELD
13.536,5.590,-8.809,0.074,-1.393,-0.383,SHIELD
14.272,6.521,-6.614,1.038,-0.974,-0.093,SHIELD
15.651,6.662,-7.100,0.977,-0.544,0.227,SHIELD
14.472,6.715,-7.357,0.901,-0.030,0.511,SHIELD
13.176,6.596,-8.522,0.862,0.010,0.721,SHIELD
12.587,6.565,-8.965,1.206,0.368,0.840,SHIELD
11.525,6.390,-8.963,1.051,0.790,1.091,SHIELD
10.296,5.849,-9.295,0.758,1.321,1.363,SHIELD
7.585,4.950,-9.044,0.680,1.604,1.621,SHIELD
7.139,4.328,-9.575,0.819,1.804,1.510,SHIELD
6.150,3.634,-7.648,0.810,1.948,1.507,SHIELD
5.476,2.599,-6.604,0.833,1.915,1.551,SHIELD
5.420,1.962,-4.986,0.718,1.896,1.314,SHIELD
5.469,1.591,-4.265,0.551,1.969,1.240,SHIELD
5.174,1.057,-3.840,0.391,2.018,1.271,SHIELD
4.730,0.521,-3.203,0.355,2.023,1.229,SHIELD
3.636,-0.220,-2.655,0.494,1.710,1.219,SHIELD
3.318,-0.895,-1.983,0.909,1.428,1.120,SHIELD
3.322,-0.926,-0.289,1.320,1.920,0.965,SHIELD
2.362,-1.378,2.637,1.062,1.958,0.651,SHIELD
1.710,-2.088,3.543,0.031,1.260,0.354,SHIELD
4.651,-1.755,1.193,-0.026,0.604,0.076,SHIELD
5.083,-1.835,2.564,0.316,0.970,0.128,SHIELD
2.870,-2.198,3.607,0.212,0.543,-0.162,SHIELD
4.803,-1.623,3.372,0.433,0.053,-0.197,SHIELD
4.305,-1.556,4.491,0.205,-0.236,-0.003,SHIELD
3.635,-1.553,3.567,-0.250,-0.533,-0.031,SHIELD
4.219,-0.929,1.995,-0.351,-0.617,-0.180,SHIELD
4.485,-0.540,1.709,-0.488,-0.244,-0.070,SHIELD
0.859,-1.266,1.626,-1.138,-0.418,-0.049,SHIELD
2.603,-0.932,-1.897,-1.008,-1.567,-0.872,SHIELD
5.341,0.076,-3.028,-0.243,-0.984,-0.707,SHIELD
2.392,-0.485,-0.543,-0.482,-0.710,-1.037,SHIELD
5.939,0.527,-3.101,-0.794,-1.157,-1.846,SHIELD
5.605,0.626,-4.000,-0.332,-1.318,-1.736,SHIELD
5.192,1.434,-3.507,-0.625,-1.961,-2.078,SHIELD
9.887,4.013,-5.934,-0.947,-1.562,-2.563,SHIELD
10.607,4.637,-5.910,-0.895,-1.132,-2.213,SHIELD
10.199,5.094,-6.119,-1.251,-1.152,-2.326,SHIELD
13.007,6.721,-6.380,-0.536,-0.652,-2.584,SHIELD
12.521,7.761,-2.244,-0.586,-0.086,-2.195,SHIELD
12.368,8.823,-3.135,-1.835,-0.343,-2.481,SHIELD
15.724,9.790,-6.788,-1.002,0.309,-2.552,SHIELD
14.184,9.700,-2.151,0.156,1.435,-2.195,SHIELD
10.449,10.000,-0.076,-0.541,-0.049,-2.120,SHIELD
15.044,10.607,-3.468,-0.058,-0.769,-1.707,SHIELD
14.345,10.329,-0.007,0.804,0.012,-1.066,SHIELD
9.088,9.052,3.266,-0.308,0.044,-0.581,SHIELD
7.024,7.912,0.311,-0.935,-0.583,-0.517,SHIELD
5.302,7.272,0.530,-0.566,-0.959,-0.550,SHIELD
4.158,7.392,1.434,-0.920,-0.905,-0.703,SHIELD
3.544,7.919,0.460,-1.478,-0.429,-1.001,SHIELD
2.921,8.494,-0.174,-1.753,-0.070,-1.299,SHIELD
2.354,9.094,-0.194,-1.949,-0.056,-1.787,SHIELD
2.115,9.888,0.069,-1.999,-0.184,-2.140,SHIELD
2.690,10.826,0.497,-2.186,-0.306,-2.532,SHIELD
2.638,10.538,-0.022,-2.284,-0.604,-2.096,SHIELD
1.454,10.633,-1.373,-1.800,-1.420,-2.101,SHIELD
