acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.225,10.497,0.199,-0.312,-0.085,-0.213,BOMB
2.067,10.004,-0.428,-0.591,-0.080,-0.189,BOMB
2.952,11.178,2.017,-0.670,0.605,-0.530,BOMB
2.587,12.758,2.368,-1.002,-0.524,-0.795,BOMB
7.528,12.366,1.248,-0.544,-1.839,0.292,BOMB
11.484,15.112,1.079,0.439,-1.874,1.762,BOMB
13.839,19.795,0.651,0.846,-2.277,3.711,BOMB
16.032,26.298,-3.492,1.075,-2.530,5.865,BOMB
17.124,32.221,-9.397,1.629,-2.891,8.171,BOMB
22.011,32.750,-13.945,4.357,-3.025,8.731,BOMB
22.148,32.750,-11.424,4.011,1.083,8.731,BOMB
8.763,32.750,-8.517,3.043,2.167,8.731,BOMB
1.117,32.083,-4.482,4.101,3.279,8.731,BOMB
-6.265,32.217,0.137,3.669,3.023,8.731,BOMB
-11.388,22.706,2.024,2.525,0.496,8.731,BOMB
-10.005,14.224,2.476,1.948,-1.155,8.731,BOMB
-11.356,8.339,2.159,1.693,-0.562,7.544,BOMB
-14.214,2.111,3.022,1.574,-0.189,5.579,BOMB
-13.379,-1.583,5.300,1.236,0.252,3.393,BOMB
-11.282,-4.139,5.161,0.719,0.341,1.875,BOMB
-8.099,-7.024,3.780,0.480,0.059,0.927,BOMB
-3.566,-8.263,2.388,0.426,0.134,0.697,BOMB
-1.967,-9.893,1.724,0.529,0.661,0.961,BOMB
-2.885,-8.957,1.784,0.581,0.617,1.563,BOMB
-3.056,-7.445,2.248,0.527,0.980,2.229,BOMB
-5.655,-5.469,2.200,0.278,2.582,3.087,BOMB
-11.620,-4.762,2.040,-0.103,3.221,3.421,BOMB
-16.341,-2.719,2.567,-0.779,3.350,3.255,BOMB
-23.511,-0.711,0.311,-1.693,3.007,3.004,BOMB
-26.925,-2.978,-3.945,-1.904,2.574,1.638,BOMB
-32.750,-0.757,-7.102,-1.220,3.570,-1.433,BOMB
-32.750,-1.521,-11.231,1.119,4.203,-5.157,BOMB
-22.894,-1.384,-10.503,5.177,5.130,-8.731,BOMB
-10.319,7.398,-2.007,7.208,6.766,-8.731,BOMB
2.167,25.205,15.889,8.678,7.046,-8.731,BOMB
6.878,24.425,14.095,6.462,4.094,-7.825,BOMB
11.636,15.453,13.353,3.369,3.461,-4.154,BOMB
7.709,6.415,12.845,1.684,4.392,-3.041,BOMB
8.515,1.262,9.203,0.727,1.783,-2.130,BOMB
9.279,-2.960,7.727,0.125,1.373,-0.696,BOMB
4.247,-4.980,5.607,-0.213,0.280,0.097,BOMB
5.699,-6.169,5.699,0.203,-0.092,-0.221,BOMB
5.873,-4.934,5.979,0.453,0.551,-0.278,BOMB
3.778,-4.484,5.212,0.018,-0.260,0.305,BOMB
3.963,-5.751,4.884,0.069,0.075,0.105,BOMB
3.936,-5.043,4.398,0.560,0.367,-0.326,BOMB
2.632,-3.897,2.893,1.073,-0.432,-0.287,BOMB
0.981,-3.313,0.244,1.577,-2.022,-0.122,BOMB
0.673,-2.755,-2.157,2.167,-3.424,-0.296,BOMB
3.957,-0.559,-3.215,3.029,-3.007,-0.502,BOMB
2.259,2.387,-2.819,2.853,-1.183,-0.231,BOMB
0.047,3.423,-3.228,2.853,-0.082,0.269,BOMB
-0.624,3.382,-2.604,3.247,0.783,-0.026,BOMB
-2.102,6.465,-1.455,3.832,1.604,-0.962,BOMB
-3.103,5.737,-0.731,4.559,1.639,-1.792,BOMB
-4.111,8.655,-0.617,5.351,0.510,-2.987,BOMB
-2.290,14.584,2.311,6.727,-0.248,-4.694,BOMB
0.723,18.503,3.938,6.573,-0.736,-5.485,BOMB
2.324,24.072,4.715,5.611,-1.908,-5.290,BOMB
5.683,28.156,5.463,4.473,-2.172,-5.029,BOMB
7.189,27.112,2.937,2.724,-2.105,-4.624,BOMB
8.186,25.609,2.928,2.601,-1.546,-4.049,BOMB
6.502,23.247,3.325,2.696,-1.427,-3.211,BOMB
6.746,21.910,1.964,2.251,-2.473,-2.577,BOMB
9.101,19.673,3.622,2.334,-2.097,-2.044,BOMB
7.592,17.607,3.904,1.713,-1.723,-1.077,BOMB
5.592,15.269,2.860,0.892,-2.143,-0.102,BOMB
4.510,13.234,1.329,0.267,-2.534,0.467,BOMB
4.602,12.178,0.446,-0.160,-2.697,1.063,BOMB
3.801,10.495,-1.520,-0.414,-2.046,1.168,BOMB
2.859,9.826,-1.533,-0.105,-1.114,0.888,BOMB
1.851,9.390,-1.275,0.056,-0.369,0.626,BOMB
0.944,9.595,-1.246,0.022,-0.133,0.378,BOMB
0.750,9.476,-1.291,-0.055,-0.058,0.206,BOMB
0.636,9.231,-1.462,-0.135,0.009,0.187,BOMB
0.337,9.451,-1.302,-0.157,0.161,0.138,BOMB
-0.379,9.490,-1.114,-0.139,-0.028,0.102,BOMB
-0.225,9.402,-1.295,-0.149,-0.509,0.119,BOMB
0.190,9.520,-1.339,-0.185,-0.568,0.061,BOMB
0.618,9.591,-1.304,-0.185,-0.323,-0.031,BOMB
