acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.492,9.690,-0.463,0.037,0.095,-0.051,CAPT
0.611,9.629,-0.502,0.027,0.079,-0.045,CAPT
0.710,9.766,-0.468,0.043,0.073,-0.050,CAPT
1.148,10.131,-0.482,0.022,0.003,0.002,CAPT
2.040,10.370,-0.645,-0.112,0.140,0.157,CAPT
5.114,11.654,-0.378,-0.128,0.289,0.013,CAPT
7.881,15.818,-2.049,0.083,-1.568,1.293,CAPT
18.217,17.465,-5.918,0.781,-2.586,4.233,CAPT
21.324,22.670,-7.514,1.421,-1.235,5.454,CAPT
21.247,31.405,-9.222,1.476,-2.685,7.858,CAPT
23.845,30.410,-12.380,3.425,-4.642,8.731,CAPT
25.696,32.750,-11.233,5.780,-3.229,8.731,CAPT
14.634,31.124,-6.944,7.803,-0.711,8.731,CAPT
2.634,32.750,-2.105,8.731,1.419,8.731,CAPT
-4.824,31.372,1.985,6.754,2.760,8.731,CAPT
-12.738,20.238,3.420,4.439,2.117,7.961,CAPT
-18.077,8.922,4.515,3.331,0.203,5.788,CAPT
-19.499,0.067,4.899,2.535,-1.322,3.067,CAPT
-17.290,-6.321,4.147,1.923,-1.287,0.333,CAPT
-12.899,-11.636,0.563,1.593,-1.494,-1.520,CAPT
-5.305,-13.593,-6.181,2.074,-1.797,-3.132,CAPT
6.110,-13.712,-12.803,4.182,-1.527,-4.414,CAPT
11.798,-7.560,-8.625,6.871,2.215,-2.894,CAPT
9.480,2.065,0.278,7.197,3.851,-1.452,CAPT
9.550,7.478,7.043,6.486,3.140,-0.406,CAPT
5.350,10.124,14.835,5.356,1.722,1.277,CAPT
0.972,5.834,14.608,3.488,-0.505,1.330,CAPT
2.193,3.230,12.242,2.577,-0.514,0.133,CAPT
-0.892,3.185,14.737,1.955,0.876,-0.503,CAPT
-8.527,0.814,15.265,0.845,0.093,-0.660,CAPT
-12.885,-0.455,17.649,0.309,-0.760,-1.962,CAPT
-13.346,1.924,20.586,-1.065,0.105,-4.504,CAPT
-15.778,2.396,18.870,-2.373,1.763,-7.478,CAPT
-15.629,3.330,15.447,-1.650,2.387,-8.731,CAPT
-1.597,19.290,24.414,-1.474,1.980,-8.731,CAPT
2.584,21.494,14.514,-2.006,1.612,-8.731,CAPT
-1.363,27.434,14.881,-0.620,-0.374,-8.682,CAPT
3.957,28.371,3.765,-1.763,-2.990,-8.062,CAPT
13.022,18.728,-2.637,-1.373,-2.455,-5.728,CAPT
18.573,8.771,-6.363,-0.656,-2.086,-2.541,CAPT
13.196,5.087,1.478,0.246,-0.151,-0.052,CAPT
0.307,1.713,5.756,-0.651,1.201,0.346,CAPT
-0.176,-0.246,3.867,-0.760,0.674,-0.161,CAPT
0.355,-0.709,1.547,-0.294,-0.174,-0.366,CAPT
1.534,0.388,1.381,0.070,-1.023,-0.305,CAPT
2.269,1.455,-0.302,-0.117,-1.382,-0.058,CAPT
0.011,2.891,-1.714,0.037,-1.996,0.375,CAPT
-1.426,4.182,-5.573,0.497,-3.154,0.770,CAPT
-0.735,5.717,-5.632,2.063,-2.770,0.705,CAPT
-1.214,6.645,-3.578,3.560,-2.003,-0.061,CAPT
-2.025,7.512,-0.987,4.707,-0.861,-1.420,CAPT
-2.769,10.258,2.002,5.542,-0.294,-3.102,CAPT
-1.447,13.966,3.927,5.664,-0.189,-4.715,CAPT
-0.262,18.228,5.145,4.608,-1.056,-5.362,CAPT
2.216,22.824,6.313,4.407,-2.091,-5.556,CAPT
4.759,26.040,4.049,3.113,-3.375,-5.154,CAPT
7.164,26.123,2.866,2.330,-3.392,-4.718,CAPT
7.783,24.392,1.805,1.870,-3.380,-4.268,CAPT
11.017,22.178,0.666,1.861,-3.031,-3.778,CAPT
11.846,20.750,1.410,2.124,-1.310,-2.862,CAPT
10.225,17.623,1.392,1.605,-0.170,-1.384,CAPT
2.779,14.267,2.005,0.935,-0.836,0.149,CAPT
5.050,13.375,1.997,1.198,-4.328,1.287,CAPT
4.036,12.232,0.683,0.358,-3.525,2.060,CAPT
0.977,9.044,-1.164,0.057,-1.884,1.750,CAPT
0.255,8.340,-0.808,0.039,-1.340,0.863,CAPT
0.474,9.293,-0.577,-0.051,-0.919,0.256,CAPT
0.125,9.164,-0.542,-0.148,-0.883,0.197,CAPT
0.218,9.099,-0.932,-0.047,-1.043,0.204,CAPT
0.251,9.495,-0.885,0.149,-0.928,0.073,CAPT
-0.064,9.841,-0.657,0.196,-0.944,0.035,CAPT
0.357,9.748,-1.036,0.085,-0.824,0.031,CAPT
0.946,9.926,-1.042,0.073,-0.491,0.041,CAPT
0.964,10.095,-0.720,0.110,-0.229,0.084,CAPT
0.683,9.853,-0.832,0.050,-0.068,0.134,CAPT
0.474,9.532,-1.071,0.017,0.037,0.147,CAPT
0.225,9.548,-0.998,0.083,0.103,0.129,CAPT
-0.068,9.650,-0.954,0.098,0.065,0.133,CAPT
-0.127,9.713,-1.066,0.040,0.016,0.144,CAPT
0.109,9.760,-1.126,-0.019,0.051,0.119,CAPT
