acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.823,4.985,-3.623,-0.330,1.765,-0.268,HULK
-1.505,3.780,-3.806,-0.637,1.544,-0.615,HULK
-1.616,1.537,-5.165,-0.926,1.434,-0.663,HULK
-1.873,-0.879,-6.179,-0.444,0.929,-0.507,HULK
-2.011,-1.728,-7.205,-0.177,0.978,-0.908,HULK
-1.786,-3.120,-8.336,0.185,1.135,-1.176,HULK
-3.878,-4.449,-9.276,0.889,1.109,-1.081,HULK
-5.630,-4.419,-11.616,1.564,1.111,-1.400,HULK
-6.537,-3.182,-14.386,1.861,1.415,-1.944,HULK
-7.973,-2.713,-17.774,2.456,1.763,-2.177,HULK
-11.057,0.034,-21.376,3.730,1.513,-2.301,HULK
-11.980,4.132,-21.623,4.458,1.622,-3.074,HULK
-11.717,10.467,-19.460,4.805,1.818,-3.739,HULK
-9.901,21.429,-16.083,4.373,1.979,-3.886,HULK
-5.563,28.898,-10.345,4.181,1.905,-2.963,HULK
-3.679,31.201,-1.630,3.535,0.787,-0.935,HULK
-4.308,31.405,-1.774,1.631,-0.177,0.735,HULK
-4.241,28.825,-0.281,0.042,-0.492,1.480,HULK
-4.649,22.273,-3.389,-2.122,-1.012,2.331,HULK
-6.948,13.470,-10.735,-2.904,-1.594,3.043,HULK
-6.932,9.830,-12.404,-3.097,-1.447,2.676,HULK
-6.386,5.797,-14.022,-3.930,-1.106,2.067,HULK
-6.009,0.027,-15.463,-3.632,-1.120,1.650,HULK
-2.959,-4.722,-18.181,-3.120,-0.956,1.385,HULK
-1.404,-11.862,-18.791,-2.107,-0.273,0.816,HULK
-1.683,-20.114,-23.387,-0.657,-0.353,1.000,HULK
-5.212,-20.021,-25.533,1.709,0.535,-0.342,HULK
-7.044,-18.254,-28.564,2.352,2.084,-2.179,HULK
-12.782,-8.242,-28.226,5.410,1.956,-3.195,HULK
-13.702,9.080,-13.433,4.880,2.376,-4.587,HULK
-7.538,22.421,-8.498,2.833,2.767,-4.946,HULK
-1.799,27.646,-6.361,1.980,2.067,-2.814,HULK
-2.917,30.510,-5.808,1.458,1.032,-0.065,HULK
-5.328,28.854,-1.775,0.864,-0.002,2.056,HULK
-7.052,24.133,0.209,-1.303,-0.569,3.008,HULK
-9.016,18.922,-4.015,-3.606,-1.099,3.463,HULK
-9.146,16.021,-8.850,-5.095,-1.311,3.306,HULK
-8.162,15.323,-10.489,-6.293,-1.212,3.014,HULK
-7.677,14.967,-11.343,-7.332,-1.139,2.747,HULK
-7.781,11.845,-12.606,-7.120,-1.346,2.243,HULK
-7.355,9.658,-11.396,-5.457,-2.256,1.714,HULK
-5.273,8.496,-9.314,-4.459,-2.546,1.478,HULK
-4.786,6.080,-8.651,-4.179,-2.714,1.673,HULK
-4.860,3.744,-9.236,-3.746,-2.918,2.100,HULK
-4.044,3.576,-9.347,-3.137,-2.991,1.967,HULK
-1.484,3.740,-8.451,-2.487,-2.142,1.299,HULK
-0.646,3.412,-7.557,-1.632,-1.142,0.781,HULK
0.164,4.038,-6.221,-0.648,-0.327,0.192,HULK
-0.250,4.787,-5.181,0.136,0.228,-0.563,HULK
1.253,6.019,-4.219,0.960,0.390,-1.310,HULK
4.448,7.686,-2.669,1.519,1.148,-1.519,HULK
3.170,8.606,-0.876,1.524,1.830,-1.164,HULK
2.069,8.935,0.290,1.624,0.751,-1.000,HULK
3.429,10.004,0.661,1.453,0.264,-1.094,HULK
2.672,10.485,1.207,1.256,0.303,-1.051,HULK
2.944,11.384,1.383,1.337,-0.252,-0.874,HULK
3.413,11.843,1.674,0.948,-0.091,-0.766,HULK
2.973,11.545,1.395,0.574,0.162,-0.692,HULK
2.484,10.767,1.018,0.509,0.552,-0.692,HULK
2.108,10.861,1.220,0.510,0.699,-0.799,HULK
1.717,10.576,1.395,0.363,0.604,-0.680,HULK
1.448,11.038,0.991,0.161,0.139,-0.492,HULK
1.686,11.091,0.199,0.034,-0.107,-0.335,HULK
1.639,10.514,-0.335,0.105,-0.019,-0.135,HULK
1.388,10.015,-0.413,0.244,0.186,-0.066,HULK
1.901,10.255,0.317,0.051,0.578,0.060,HULK
0.890,9.647,0.624,-0.077,0.771,0.235,HULK
-0.377,8.947,0.167,0.051,0.375,0.170,HULK
-0.725,8.844,-0.452,0.211,0.006,-0.061,HULK
0.053,9.777,-0.724,0.064,-0.047,-0.132,HULK
-0.085,9.859,-1.140,-0.054,-0.091,-0.010,HULK
-0.533,9.757,-1.534,-0.080,-0.309,0.096,HULK
-0.418,10.033,-1.971,-0.063,-0.498,0.123,HULK
-0.002,9.674,-2.193,0.064,-0.383,0.173,HULK
-0.286,9.318,-1.883,0.249,-0.148,0.197,HULK
-0.584,9.423,-1.418,0.302,-0.006,0.102,HULK
-0.610,9.699,-1.111,0.263,0.086,0.006,HULK
-0.546,9.487,-1.037,0.163,0.153,-0.071,HULK
-0.594,9.381,-1.127,0.103,0.087,-0.091,HULK
-0.451,9.629,-1.219,0.057,-0.019,-0.092,HULK
