acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
3.551,9.344,-0.131,-0.168,-0.133,0.191,IRONMAN
2.925,9.076,-0.004,-0.148,0.269,0.255,IRONMAN
2.520,9.270,0.297,-0.111,0.274,0.240,IRONMAN
2.420,9.393,0.490,-0.197,0.176,0.191,IRONMAN
2.822,9.235,0.512,-0.281,0.115,0.164,IRONMAN
4.239,10.269,1.964,-0.561,0.309,0.314,IRONMAN
5.885,12.363,5.213,-2.253,1.075,0.832,IRONMAN
5.949,10.793,15.321,-3.971,2.332,2.091,IRONMAN
-0.607,12.525,28.494,-7.876,0.517,2.733,IRONMAN
-14.109,-0.515,8.595,-8.731,-3.350,-1.225,IRONMAN
8.592,0.432,0.980,-5.416,-4.550,-4.436,IRONMAN
15.431,9.111,11.555,-2.887,0.092,-0.665,IRONMAN
9.299,10.516,5.524,-2.283,2.867,1.701,IRONMAN
2.065,12.172,-1.550,-1.251,2.548,1.262,IRONMAN
2.389,10.877,-0.939,-0.737,0.748,0.011,IRONMAN
4.919,9.574,-0.051,-0.694,0.002,0.124,IRONMAN
3.866,6.732,1.323,-0.134,0.072,0.495,IRONMAN
2.130,4.849,4.079,0.159,0.073,0.524,IRONMAN
1.361,3.768,5.398,0.233,0.095,0.216,IRONMAN
3.150,3.276,6.464,0.425,0.171,0.069,IRONMAN
5.043,3.682,7.391,0.530,0.406,0.466,IRONMAN
5.744,3.713,6.787,0.596,0.498,0.845,IRONMAN
7.742,4.077,6.390,0.755,0.220,1.263,IRONMAN
9.261,4.728,5.383,1.071,-0.020,2.113,IRONMAN
9.474,4.404,5.249,1.521,-0.103,2.944,IRONMAN
10.509,5.502,5.034,2.481,-0.483,3.336,IRONMAN
12.486,9.186,6.703,1.886,0.062,4.286,IRONMAN
12.437,4.166,8.870,2.075,0.086,5.297,IRONMAN
12.999,5.162,10.842,1.753,-0.301,5.491,IRONMAN
14.859,2.194,12.613,0.137,-0.553,5.762,IRONMAN
15.341,-2.483,13.796,-0.737,-0.769,5.960,IRONMAN
14.490,-4.645,14.409,-1.429,-1.393,5.769,IRONMAN
13.870,-7.577,13.466,-1.814,-1.713,5.785,IRONMAN
12.399,-7.826,12.516,-2.092,-1.204,5.677,IRONMAN
10.991,-7.966,10.221,-2.074,-0.951,5.375,IRONMAN
8.211,-5.988,8.739,-2.030,-0.111,5.188,IRONMAN
2.826,-4.232,4.418,-1.901,0.753,4.438,IRONMAN
-0.762,-1.882,2.720,-0.728,1.782,2.451,IRONMAN
-2.824,4.557,5.663,-0.072,2.438,0.345,IRONMAN
-1.573,6.584,4.842,0.595,2.677,-2.136,IRONMAN
1.996,9.263,7.972,1.934,3.168,-3.308,IRONMAN
2.908,9.330,8.883,1.451,3.920,-2.878,IRONMAN
3.765,3.385,6.722,0.252,2.378,-2.521,IRONMAN
6.155,-0.461,5.872,-0.467,-1.368,-1.317,IRONMAN
4.800,-2.609,4.013,-0.608,-0.478,0.783,IRONMAN
0.788,-4.947,4.105,0.008,1.504,1.212,IRONMAN
-0.152,-4.330,5.617,0.513,1.036,0.440,IRONMAN
1.162,-4.225,6.920,0.370,-0.040,0.003,IRONMAN
2.725,-4.287,6.835,0.074,-1.040,-0.131,IRONMAN
4.456,-4.328,4.766,0.103,-1.618,-0.200,IRONMAN
5.213,-3.345,3.813,0.761,-1.739,-0.104,IRONMAN
5.300,-0.270,3.959,1.065,-2.137,0.089,IRONMAN
5.250,0.691,3.252,1.557,-1.806,0.377,IRONMAN
3.011,1.763,1.885,2.841,-1.501,0.360,IRONMAN
2.591,3.441,1.442,4.155,-1.529,0.044,IRONMAN
3.660,5.641,3.712,4.244,-1.074,0.121,IRONMAN
3.222,3.763,4.663,4.010,-0.062,0.246,IRONMAN
1.757,4.075,5.953,4.328,0.294,0.358,IRONMAN
1.150,5.253,7.885,2.650,0.002,0.460,IRONMAN
1.260,0.321,8.537,2.130,0.136,-0.192,IRONMAN
-0.519,1.154,7.994,2.873,-0.740,-1.549,IRONMAN
1.123,4.127,8.790,2.899,-2.872,-2.903,IRONMAN
7.689,5.366,11.445,2.171,-2.477,-3.511,IRONMAN
7.807,6.071,9.897,1.639,-1.616,-4.100,IRONMAN
9.258,7.230,9.701,1.879,-1.712,-4.181,IRONMAN
8.878,8.585,11.958,2.219,-1.045,-3.906,IRONMAN
5.590,12.316,10.012,1.736,-2.909,-4.971,IRONMAN
8.536,14.357,5.129,0.849,-6.006,-5.750,IRONMAN
13.969,12.387,5.214,0.849,-5.769,-4.682,IRONMAN
10.034,12.754,4.405,0.065,-4.802,-3.213,IRONMAN
5.436,11.859,-0.196,-1.235,-5.585,-3.034,IRONMAN
6.176,10.438,-3.615,-1.202,-6.880,-3.221,IRONMAN
8.560,10.914,-3.919,-0.496,-6.508,-3.272,IRONMAN
10.534,11.998,-2.673,0.083,-4.638,-2.705,IRONMAN
9.521,12.618,-2.332,-0.223,-2.357,-1.403,IRONMAN
7.153,11.508,-2.438,-0.816,-0.642,-0.443,IRONMAN
4.959,9.871,-2.587,-0.885,0.385,-0.217,IRONMAN
3.172,8.622,-2.263,-0.188,0.246,-0.151,IRONMAN
3.678,9.258,-0.974,0.560,-0.046,0.031,IRONMAN
3.796,10.016,0.408,0.617,0.205,0.228,IRONMAN
