acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.303,9.692,-1.473,0.006,0.049,0.042,LOGOUT
1.220,10.278,-1.041,-0.083,0.100,0.278,LOGOUT
2.113,10.808,-1.083,-0.544,0.112,0.701,LOGOUT
4.627,10.066,-1.931,-0.930,0.615,0.928,LOGOUT
7.507,10.921,-1.933,-1.079,1.656,1.481,LOGOUT
7.807,13.094,-1.842,-1.048,1.192,2.029,LOGOUT
10.445,13.136,-2.423,-0.413,-0.701,2.942,LOGOUT
15.432,14.673,-3.618,1.007,-2.526,4.285,LOGOUT
18.961,20.696,-5.699,2.024,-2.553,5.967,LOGOUT
19.199,24.072,-9.263,2.720,-2.681,7.519,LOGOUT
19.818,24.488,-13.716,4.567,-2.444,8.579,LOGOUT
19.465,26.672,-14.037,6.634,-1.357,8.731,LOGOUT
13.476,25.285,-11.099,7.117,0.403,8.731,LOGOUT
3.278,22.508,-5.167,6.985,2.075,8.335,LOGOUT
-3.482,19.833,-1.111,5.509,2.385,7.275,LOGOUT
-5.038,13.623,-0.014,4.499,1.920,6.240,LOGOUT
-5.577,7.820,2.808,3.851,1.652,5.058,LOGOUT
-7.173,0.723,6.172,2.992,1.742,4.085,LOGOUT
-7.057,-6.788,9.525,2.004,2.390,2.866,LOGOUT
-7.470,-14.289,10.479,1.349,2.266,1.662,LOGOUT
-0.044,-19.964,10.050,1.760,0.652,0.960,LOGOUT
9.513,-19.429,9.908,1.648,0.612,1.666,LOGOUT
6.672,-18.767,7.468,0.707,1.975,2.750,LOGOUT
-0.717,-15.570,5.310,0.209,2.376,2.332,LOGOUT
-5.189,-11.618,3.601,-0.071,0.633,0.575,LOGOUT
-0.601,-4.995,0.982,-0.182,-2.043,0.302,LOGOUT
2.472,0.062,-0.289,-1.033,-1.047,0.240,LOGOUT
0.552,1.064,-2.733,-1.404,1.046,-0.905,LOGOUT
1.323,3.686,-4.689,-0.936,1.666,-2.227,LOGOUT
4.743,6.425,-4.516,-0.196,1.544,-0.933,LOGOUT
2.311,5.322,-4.061,-0.034,0.808,0.068,LOGOUT
2.527,4.273,-4.391,0.856,0.266,0.034,LOGOUT
1.609,4.771,-2.304,1.559,-0.356,0.470,LOGOUT
-0.703,3.650,-0.914,1.214,-0.422,0.763,LOGOUT
-1.906,0.522,0.220,0.865,-1.267,0.661,LOGOUT
-2.463,-6.138,2.597,0.149,-1.847,-0.074,LOGOUT
0.594,-14.607,3.716,-0.460,-1.909,-1.000,LOGOUT
5.708,-18.553,7.785,-1.090,-1.643,-1.414,LOGOUT
8.839,-27.051,8.121,-1.321,-0.806,-1.395,LOGOUT
12.837,-32.520,10.946,-0.458,0.092,-1.042,LOGOUT
14.059,-30.679,11.257,0.640,1.454,-0.154,LOGOUT
8.799,-22.836,11.047,1.125,1.615,1.443,LOGOUT
4.000,-18.715,8.970,0.965,0.798,2.580,LOGOUT
2.253,-15.435,7.596,0.660,0.475,2.726,LOGOUT
-1.039,-10.430,5.862,-0.216,1.391,1.820,LOGOUT
-5.394,-6.698,2.350,-0.496,0.818,0.415,LOGOUT
-4.991,-2.258,-0.255,-0.430,-0.764,-0.893,LOGOUT
-0.361,2.286,-1.892,-0.462,-1.580,-1.173,LOGOUT
2.012,3.890,-2.395,-0.904,-0.505,-0.767,LOGOUT
1.678,3.379,-3.762,-0.721,0.537,-0.906,LOGOUT
0.926,3.462,-4.714,0.211,0.496,-1.061,LOGOUT
2.332,4.349,-3.711,0.912,0.189,-0.406,LOGOUT
1.067,4.654,-2.725,0.974,-0.102,0.307,LOGOUT
-0.821,2.794,-3.128,1.088,-1.046,0.520,LOGOUT
-0.121,-0.642,-0.240,1.685,-1.497,0.114,LOGOUT
-0.888,-2.799,4.274,1.115,-0.718,-0.705,LOGOUT
-1.597,-9.003,5.537,-0.184,-0.802,-1.299,LOGOUT
-1.433,-12.781,7.941,-0.556,-1.142,-2.785,LOGOUT
1.695,-11.205,10.616,-1.133,-0.800,-4.603,LOGOUT
5.132,-8.913,10.169,-2.108,-0.862,-4.581,LOGOUT
1.826,-7.685,7.700,-3.049,-2.163,-3.715,LOGOUT
4.748,-5.014,3.901,-3.629,-3.214,-3.770,LOGOUT
6.705,-0.731,1.362,-4.234,-0.455,-5.002,LOGOUT
3.935,1.002,-0.883,-3.671,1.361,-6.891,LOGOUT
3.156,5.572,-1.762,-2.542,0.709,-7.902,LOGOUT
3.966,11.335,-2.030,-1.913,-0.578,-7.827,LOGOUT
9.571,15.226,-4.036,-1.725,-0.542,-7.876,LOGOUT
4.988,17.778,-2.724,-1.114,-0.161,-7.689,LOGOUT
2.464,19.844,-1.789,-0.679,-1.295,-7.692,LOGOUT
3.095,27.575,-4.181,-1.116,-1.417,-8.675,LOGOUT
6.055,31.081,-4.134,-1.688,-0.146,-8.731,LOGOUT
10.243,29.504,-3.820,-1.747,1.181,-8.288,LOGOUT
12.296,21.999,-3.221,-1.434,2.427,-6.732,LOGOUT
9.624,15.725,-2.877,-0.612,1.652,-4.257,LOGOUT
7.348,13.923,-1.004,0.913,0.170,-1.279,LOGOUT
4.314,13.948,-0.094,1.567,-0.599,0.438,LOGOUT
3.006,12.480,0.417,1.547,-0.719,0.838,LOGOUT
1.261,10.980,1.094,1.574,-0.937,0.608,LOGOUT
0.925,10.273,1.185,1.281,-1.711,0.378,LOGOUT
1.479,10.143,0.531,0.647,-2.339,0.217,LOGOUT
