acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.118,21.578,2.370,6.461,5.639,-6.489,NULL
1.367,24.542,5.933,6.427,5.916,-5.645,NULL
-0.670,24.118,9.537,4.586,5.878,-4.117,NULL
-0.278,20.645,9.373,2.122,3.078,-3.029,NULL
2.763,18.078,6.773,-0.363,1.030,-1.733,NULL
5.231,15.932,2.735,-2.951,0.419,-0.286,NULL
3.859,16.671,-1.581,-5.358,-0.164,1.016,NULL
3.137,17.311,-5.934,-6.667,-1.111,2.677,NULL
0.168,18.380,-7.168,-6.173,-1.716,4.823,NULL
-4.466,15.609,-6.465,-4.116,-2.887,6.507,NULL
-5.295,12.835,-5.302,-0.738,-4.110,7.037,NULL
-4.193,9.611,-3.450,2.976,-3.956,6.614,NULL
-3.549,9.777,-2.074,4.928,-2.772,5.223,NULL
-5.813,10.263,1.524,5.343,-1.462,3.708,NULL
-6.659,10.782,5.694,4.118,-0.132,2.164,NULL
-9.420,9.523,7.083,0.984,1.347,0.093,NULL
-11.309,9.688,4.933,-1.389,1.556,-1.987,NULL
-9.033,10.425,2.206,-2.223,0.993,-3.836,NULL
-7.296,12.483,0.561,-2.328,-0.022,-5.686,NULL
-4.621,16.062,-0.947,-1.859,-1.147,-7.234,NULL
-1.444,20.304,-0.906,-1.327,-0.566,-8.415,NULL
-0.750,23.241,-1.429,-0.978,0.600,-8.731,NULL
4.094,24.525,-1.198,-0.325,2.500,-8.731,NULL
5.727,22.053,-0.575,0.155,4.958,-8.282,NULL
3.509,17.505,-0.211,0.205,5.301,-5.853,NULL
4.078,16.078,0.944,-0.533,3.166,-3.700,NULL
4.609,14.865,1.145,-1.433,1.189,-2.259,NULL
4.992,14.027,0.574,-2.027,0.366,-0.584,NULL
3.393,12.906,-0.250,-2.237,-0.367,1.632,NULL
0.545,12.927,-1.023,-2.316,-1.648,3.826,NULL
-1.499,14.517,-1.611,-2.315,-3.006,5.407,NULL
-2.712,16.206,-2.354,-2.059,-3.870,6.444,NULL
-3.430,16.404,-2.676,-1.346,-4.038,6.864,NULL
-3.868,16.771,-2.444,-0.164,-3.792,6.674,NULL
-4.119,16.025,-2.150,1.027,-3.295,6.032,NULL
-4.208,13.419,-1.443,2.246,-2.786,5.268,NULL
-4.162,12.228,-0.719,3.057,-2.393,4.451,NULL
-3.510,10.218,0.160,3.193,-1.710,3.430,NULL
-3.501,7.233,1.562,3.203,-0.670,2.548,NULL
-3.868,7.484,2.613,2.728,0.253,1.433,NULL
-4.172,7.485,3.003,1.363,0.807,-0.160,NULL
-3.684,7.111,2.535,0.035,0.803,-1.659,NULL
-2.542,7.460,1.736,-0.730,0.391,-2.736,NULL
-1.082,8.390,0.671,-1.046,0.145,-3.400,NULL
0.423,9.779,0.203,-1.053,0.185,-3.727,NULL
0.959,11.141,0.202,-1.047,0.425,-3.662,NULL
0.761,12.397,0.037,-1.218,0.360,-3.573,NULL
0.512,13.477,-0.391,-1.535,0.033,-3.561,NULL
1.126,14.224,-0.894,-1.865,-0.103,-3.644,NULL
1.910,14.885,-1.556,-2.129,0.252,-3.665,NULL
3.353,14.456,-1.670,-1.942,1.294,-3.647,NULL
3.168,13.403,-1.695,-1.507,2.268,-3.412,NULL
2.257,11.995,-1.673,-0.930,2.059,-2.844,NULL
2.518,11.182,-1.446,-0.219,1.034,-1.858,NULL
2.772,11.050,-1.205,0.274,0.161,-0.515,NULL
2.304,11.347,-0.875,0.407,-0.330,0.978,NULL
0.734,11.142,-0.590,0.297,-0.557,2.200,NULL
-1.161,10.401,-0.312,0.298,-1.016,3.149,NULL
-2.560,10.611,-0.216,0.468,-1.668,3.511,NULL
-3.705,10.304,0.013,0.612,-2.188,3.315,NULL
-3.902,9.532,-0.030,0.727,-2.672,2.813,NULL
-2.808,9.180,-0.217,0.644,-2.749,1.969,NULL
-2.230,8.873,-0.210,0.587,-2.149,1.275,NULL
-1.836,8.988,0.209,0.656,-1.068,0.741,NULL
-1.476,9.507,0.494,0.395,0.158,0.095,NULL
-1.195,9.548,0.576,-0.023,1.244,-0.530,NULL
-0.868,9.632,0.441,-0.327,2.116,-0.973,NULL
-1.408,9.518,0.294,-0.445,2.545,-1.313,NULL
-1.690,9.644,0.280,-0.196,2.020,-1.607,NULL
-1.077,10.127,0.412,-0.057,1.300,-1.598,NULL
-0.380,10.319,0.337,-0.125,0.784,-1.226,NULL
-0.070,10.197,0.202,-0.300,0.506,-0.710,NULL
-0.109,10.082,-0.117,-0.443,0.203,-0.255,NULL
-0.432,9.781,-0.395,-0.464,-0.098,0.057,NULL
-0.546,9.664,-0.583,-0.377,-0.318,0.267,NULL
-0.537,9.585,-0.780,-0.314,-0.314,0.313,NULL
-0.510,9.349,-0.869,-0.227,-0.156,0.243,NULL
-0.687,9.316,-0.745,-0.107,0.029,0.161,NULL
-0.814,9.510,-0.634,-0.038,0.140,0.019,NULL
-0.948,9.296,-0.455,-0.002,0.197,-0.057,NULL
