acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.179,9.317,-2.129,-0.037,-0.720,-0.173,RELOAD
-0.019,8.385,-3.077,-0.045,-1.104,-0.636,RELOAD
1.044,9.052,-3.453,-0.156,-1.167,-1.118,RELOAD
3.057,10.302,-6.144,-0.332,-1.773,-1.366,RELOAD
7.519,10.806,-10.418,-0.005,-1.592,-0.738,RELOAD
5.009,10.126,-16.207,1.276,-2.175,0.632,RELOAD
1.825,11.189,-18.044,3.591,-2.291,0.880,RELOAD
2.186,16.034,-25.776,6.286,-4.493,-0.313,RELOAD
-2.666,20.319,-29.817,8.455,-2.859,-0.783,RELOAD
-7.994,25.874,-28.049,8.731,0.103,-1.877,RELOAD
-10.677,26.212,-20.305,8.731,2.950,-2.586,RELOAD
-11.491,22.076,-11.343,8.137,3.850,-2.196,RELOAD
-9.829,19.684,-4.298,7.694,2.789,-1.636,RELOAD
-5.377,17.093,2.732,6.428,2.529,-1.569,RELOAD
-2.797,13.539,9.726,4.674,2.768,-1.355,RELOAD
-2.116,9.689,12.539,2.924,1.532,-0.467,RELOAD
0.853,8.703,15.278,1.307,0.901,0.001,RELOAD
0.229,8.371,14.487,-1.259,0.709,0.510,RELOAD
-3.385,7.278,9.705,-2.797,-0.592,1.075,RELOAD
-2.730,7.664,5.379,-3.688,-1.767,1.174,RELOAD
-3.771,8.547,2.124,-4.811,-1.826,0.937,RELOAD
-6.063,9.380,-0.840,-5.725,-2.720,0.891,RELOAD
-7.214,13.953,-9.114,-6.889,-4.190,1.387,RELOAD
-11.596,13.488,-24.490,-6.824,-5.277,2.039,RELOAD
-8.541,11.603,-26.988,-4.740,-4.381,1.469,RELOAD
-7.352,9.786,-32.443,-4.469,-2.439,1.469,RELOAD
-7.424,3.815,-32.750,-2.643,-0.558,1.078,RELOAD
-8.172,2.350,-32.750,-0.294,0.215,-0.002,RELOAD
-6.560,2.206,-32.750,2.466,0.135,-0.458,RELOAD
-8.943,5.504,-32.750,4.140,1.012,-0.979,RELOAD
-13.199,8.356,-32.674,5.448,2.683,-1.678,RELOAD
-14.501,12.500,-25.707,6.709,3.997,-2.405,RELOAD
-14.182,14.953,-15.297,7.460,4.090,-2.557,RELOAD
-11.096,16.197,-4.373,7.559,3.515,-2.674,RELOAD
-4.562,15.673,7.345,6.563,3.540,-2.868,RELOAD
-0.946,13.841,14.296,4.164,3.499,-1.820,RELOAD
0.213,10.267,15.186,2.020,2.696,-0.670,RELOAD
0.064,8.745,14.899,0.160,1.854,0.037,RELOAD
-1.505,8.066,11.541,-1.399,0.127,0.656,RELOAD
-0.579,8.494,7.133,-3.012,-1.477,1.067,RELOAD
0.357,8.681,2.763,-4.660,-1.200,1.098,RELOAD
-0.403,8.722,-0.901,-6.436,-0.158,0.906,RELOAD
-3.093,11.436,-7.811,-8.279,-0.268,0.572,RELOAD
-0.152,13.223,-16.967,-8.731,0.212,-0.085,RELOAD
1.910,16.650,-23.393,-8.731,1.446,-1.355,RELOAD
6.355,11.610,-19.138,-6.454,2.745,-1.849,RELOAD
6.883,13.547,-11.550,-4.561,3.626,-1.741,RELOAD
1.717,14.570,-8.928,-4.482,2.988,-2.393,RELOAD
3.087,14.341,-7.968,-3.574,0.057,-2.811,RELOAD
5.321,14.512,-6.682,-2.699,-1.326,-2.369,RELOAD
5.199,14.430,-5.613,-2.479,-1.264,-1.679,RELOAD
4.090,13.782,-5.977,-2.830,-0.845,-1.151,RELOAD
2.788,12.361,-6.442,-2.855,-0.532,-0.770,RELOAD
2.598,11.030,-6.640,-2.229,-0.399,-0.657,RELOAD
2.337,9.881,-6.354,-1.160,-0.269,-0.631,RELOAD
2.100,9.879,-5.416,-0.227,-0.320,-0.591,RELOAD
2.235,10.139,-4.355,0.358,-0.258,-0.402,RELOAD
2.240,10.179,-3.481,0.724,-0.023,-0.117,RELOAD
1.554,10.199,-2.584,0.863,0.292,0.082,RELOAD
0.688,9.936,-1.893,0.799,0.206,0.136,RELOAD
0.828,9.790,-1.625,0.612,0.058,0.086,RELOAD
0.895,9.209,-1.453,0.533,-0.044,0.109,RELOAD
0.503,9.053,-1.330,0.525,-0.148,0.125,RELOAD
0.160,9.251,-1.175,0.451,-0.390,0.006,RELOAD
0.759,9.572,-1.260,0.333,-0.516,-0.145,RELOAD
1.086,9.675,-1.383,0.244,-0.369,-0.137,RELOAD
1.011,9.726,-1.524,0.193,-0.199,-0.059,RELOAD
0.950,9.818,-1.500,0.179,-0.051,-0.070,RELOAD
1.056,9.838,-1.435,0.210,0.099,-0.059,RELOAD
0.725,9.780,-1.308,0.258,0.127,-0.012,RELOAD
0.635,9.881,-1.072,0.284,0.048,0.011,RELOAD
0.666,9.921,-0.968,0.245,0.023,0.043,RELOAD
0.534,9.763,-0.990,0.155,0.042,0.086,RELOAD
0.379,9.700,-1.112,0.101,0.023,0.092,RELOAD
0.340,9.665,-1.288,0.066,0.063,0.071,RELOAD
0.229,9.598,-1.357,0.051,0.096,0.056,RELOAD
0.176,9.578,-1.400,0.037,0.096,0.036,RELOAD
0.160,9.626,-1.395,0.007,0.134,0.016,RELOAD
0.032,9.596,-1.421,-0.034,0.152,-0.009,RELOAD
0.026,9.454,-1.520,-0.055,0.094,-0.023,RELOAD
