acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.295,10.020,-0.769,0.782,-3.131,-0.055,SHANGCHI
1.717,10.031,-2.757,1.083,-3.670,0.318,SHANGCHI
2.697,10.356,-5.062,1.298,-3.262,0.334,SHANGCHI
2.805,10.294,-7.432,1.729,-2.496,0.172,SHANGCHI
2.921,10.653,-8.870,2.495,-1.911,0.456,SHANGCHI
0.925,11.102,-10.247,2.697,-0.564,0.446,SHANGCHI
0.095,10.518,-12.192,3.204,0.410,0.021,SHANGCHI
3.061,13.073,-9.156,2.985,2.922,0.246,SHANGCHI
-8.168,9.537,-13.855,3.843,1.822,-0.104,SHANGCHI
-5.370,13.729,-15.174,5.459,0.443,-1.021,SHANGCHI
-5.776,14.518,-14.253,6.090,0.876,-0.955,SHANGCHI
-11.546,15.110,-15.135,5.957,0.639,-1.633,SHANGCHI
-10.069,16.598,-19.387,5.464,1.025,-2.517,SHANGCHI
-13.594,15.106,-20.844,6.344,2.569,-3.364,SHANGCHI
-14.904,17.450,-16.808,7.950,1.912,-4.182,SHANGCHI
-8.582,18.435,-11.033,7.856,0.967,-3.993,SHANGCHI
-4.307,16.460,-2.961,7.038,1.259,-3.788,SHANGCHI
2.769,14.536,5.597,5.487,2.064,-3.541,SHANGCHI
3.660,11.570,9.301,2.631,2.037,-1.755,SHANGCHI
5.766,6.698,8.490,1.259,1.409,-1.442,SHANGCHI
8.148,5.128,6.032,-0.391,0.936,-0.698,SHANGCHI
6.592,2.791,-0.246,-2.330,1.894,-0.118,SHANGCHI
6.766,0.147,-5.837,-2.648,1.955,0.049,SHANGCHI
10.261,2.491,-6.487,-3.227,3.271,0.027,SHANGCHI
13.549,5.273,-9.683,-4.930,5.343,0.093,SHANGCHI
15.840,7.224,-10.274,-6.120,8.233,0.176,SHANGCHI
14.949,7.631,-7.569,-6.348,8.731,0.046,SHANGCHI
20.848,11.071,-1.021,-6.524,8.385,0.094,SHANGCHI
19.757,13.230,-0.903,-8.636,8.731,-0.067,SHANGCHI
18.292,9.696,1.827,-8.378,7.896,-0.213,SHANGCHI
21.370,12.377,7.105,-7.330,4.742,0.370,SHANGCHI
21.742,15.311,4.600,-8.731,5.548,0.367,SHANGCHI
18.006,14.279,1.842,-8.731,4.123,0.740,SHANGCHI
17.623,13.388,-1.242,-8.731,3.179,1.397,SHANGCHI
12.600,10.167,-6.647,-8.731,3.945,1.505,SHANGCHI
9.621,4.408,-11.209,-7.950,3.831,1.338,SHANGCHI
8.211,-0.125,-12.285,-5.851,3.322,1.000,SHANGCHI
6.533,-2.337,-13.671,-4.644,2.122,0.806,SHANGCHI
6.294,-4.930,-14.367,-3.285,1.071,0.792,SHANGCHI
5.806,-6.970,-12.762,-1.772,0.905,1.076,SHANGCHI
4.188,-7.868,-9.408,-0.552,1.382,1.052,SHANGCHI
2.434,-8.337,-5.931,0.106,1.581,0.885,SHANGCHI
0.854,-8.579,-4.107,0.448,1.185,0.692,SHANGCHI
-0.096,-8.547,-3.165,0.740,0.675,0.404,SHANGCHI
-1.540,-7.808,-2.694,0.885,0.513,0.006,SHANGCHI
-2.987,-7.251,-2.737,1.083,0.361,-0.566,SHANGCHI
-3.947,-5.468,-4.052,1.376,-0.023,-1.425,SHANGCHI
-4.062,-4.479,-4.271,2.076,-0.050,-2.151,SHANGCHI
-4.633,-2.812,-3.350,3.171,0.487,-2.999,SHANGCHI
-5.389,1.054,-3.693,3.717,0.549,-4.394,SHANGCHI
-3.813,2.765,-3.079,4.250,0.526,-5.497,SHANGCHI
-2.960,6.014,-1.166,5.661,0.858,-6.148,SHANGCHI
-3.067,11.745,-0.622,5.946,0.737,-6.854,SHANGCHI
2.026,15.394,1.237,6.118,0.958,-7.079,SHANGCHI
0.427,19.978,3.427,6.059,1.308,-5.902,SHANGCHI
4.499,26.080,4.453,5.495,0.531,-6.447,SHANGCHI
3.113,25.672,5.134,5.581,0.948,-6.208,SHANGCHI
1.203,28.790,6.775,6.056,-0.038,-6.314,SHANGCHI
5.081,30.948,6.423,4.661,-0.579,-6.676,SHANGCHI
6.393,27.258,6.040,3.089,-0.393,-5.648,SHANGCHI
7.809,22.559,4.952,2.138,-0.563,-4.205,SHANGCHI
8.096,18.317,3.890,1.542,-0.771,-2.635,SHANGCHI
6.206,15.342,4.076,1.326,-0.691,-1.024,SHANGCHI
3.593,13.581,4.301,1.203,-0.900,0.005,SHANGCHI
2.530,12.997,4.305,0.624,-0.629,0.266,SHANGCHI
0.914,11.585,3.418,0.081,-0.364,0.441,SHANGCHI
-0.224,10.331,2.048,0.068,-0.806,0.635,SHANGCHI
0.778,11.384,1.580,-0.018,-1.159,0.746,SHANGCHI
-0.093,10.891,1.192,-0.454,-0.800,1.063,SHANGCHI
-0.774,9.888,0.318,-0.739,-0.685,1.166,SHANGCHI
-1.155,9.623,-0.434,-0.711,-0.915,1.068,SHANGCHI
-1.131,9.829,-0.159,-0.677,-0.762,0.978,SHANGCHI
-1.265,9.464,-0.615,-0.864,-0.398,0.846,SHANGCHI
-1.274,9.146,-1.128,-0.840,-0.135,0.554,SHANGCHI
-1.442,9.086,-1.091,-0.440,-0.158,0.332,SHANGCHI
-1.337,9.149,-0.766,-0.094,-0.243,0.232,SHANGCHI
-0.730,9.190,-0.517,-0.079,0.000,0.061,SHANGCHI
-0.718,9.235,-0.311,0.019,0.284,-0.109,SHANGCHI
-0.993,9.086,0.013,0.151,0.192,-0.154,SHANGCHI
-0.493,9.201,0.153,0.161,-0.027,-0.169,SHANGCHI
