acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.922,9.822,-1.137,-0.024,0.113,-0.066,SHIELD
1.294,10.047,-1.980,0.017,-0.046,-0.109,SHIELD
4.202,10.901,-3.470,0.532,-0.176,0.283,SHIELD
5.204,13.829,-3.671,0.754,-0.046,1.189,SHIELD
5.404,13.088,-6.178,1.195,-0.910,2.258,SHIELD
6.339,11.555,-5.154,1.234,1.830,1.064,SHIELD
6.827,12.508,-4.891,1.721,3.286,0.700,SHIELD
9.223,14.426,-6.240,3.040,2.146,0.610,SHIELD
7.185,17.172,-14.992,5.338,-1.259,0.891,SHIELD
10.597,18.912,-16.546,5.833,-0.625,0.431,SHIELD
10.031,19.022,-19.227,5.806,1.255,0.596,SHIELD
3.926,15.424,-18.579,6.493,1.672,0.753,SHIELD
6.074,15.004,-16.429,6.395,2.366,0.884,SHIELD
2.706,12.085,-12.369,4.835,4.844,1.069,SHIELD
-1.275,7.500,-9.948,3.732,5.157,1.408,SHIELD
0.046,6.841,-7.449,2.541,5.146,1.776,SHIELD
-1.088,3.993,-7.071,0.806,5.955,2.236,SHIELD
-2.976,1.865,-5.767,0.890,4.675,2.586,SHIELD
-2.481,2.876,-4.256,0.853,4.419,2.368,SHIELD
-4.454,1.075,-2.257,0.612,3.677,2.347,SHIELD
-5.380,-0.224,-0.378,0.684,2.385,2.085,SHIELD
-4.232,-0.458,0.825,0.766,1.376,1.511,SHIELD
-3.055,-0.120,1.776,0.469,0.974,0.997,SHIELD
-2.997,-0.418,2.078,0.216,0.542,0.470,SHIELD
-2.629,-0.647,2.360,0.316,-0.018,-0.099,SHIELD
-1.800,-0.321,2.787,0.301,-0.588,-0.561,SHIELD
-1.263,-0.187,2.832,-0.118,-0.743,-0.943,SHIELD
-1.764,-0.306,2.610,-0.500,-0.895,-1.362,SHIELD
-1.976,0.050,2.295,-0.838,-1.408,-1.664,SHIELD
-0.493,1.780,1.528,-1.723,-1.152,-2.089,SHIELD
0.398,3.796,0.819,-2.666,-0.188,-2.704,SHIELD
1.654,5.020,0.898,-3.397,0.019,-3.240,SHIELD
1.602,7.215,0.690,-4.668,-0.201,-3.560,SHIELD
1.861,10.829,-3.790,-6.035,-0.747,-4.249,SHIELD
3.555,12.053,-5.305,-5.745,-0.604,-5.397,SHIELD
4.330,15.280,-6.688,-4.312,-2.133,-5.666,SHIELD
11.343,20.975,-3.669,-3.618,-2.927,-4.164,SHIELD
7.396,22.443,-3.786,-4.315,-0.681,-3.644,SHIELD
3.678,20.503,-2.604,-2.160,-3.563,-4.365,SHIELD
5.671,26.146,-1.004,-1.571,-4.535,-4.689,SHIELD
4.610,28.530,-2.980,-3.164,-3.735,-4.818,SHIELD
8.469,24.513,-7.057,-3.612,-4.431,-4.660,SHIELD
13.522,18.349,-7.657,-2.094,-3.601,-4.118,SHIELD
14.149,15.547,-6.640,-0.527,-2.190,-2.479,SHIELD
11.362,13.326,-4.443,0.299,-0.450,-0.677,SHIELD
6.710,11.539,-2.883,0.435,0.428,0.215,SHIELD
4.296,10.306,-1.692,0.505,0.132,0.595,SHIELD
3.230,9.414,-0.993,0.440,-0.314,0.719,SHIELD
2.466,8.643,-0.827,0.359,-0.585,0.613,SHIELD
1.521,8.292,-0.806,0.367,-0.816,0.429,SHIELD
1.315,8.552,-0.814,0.368,-1.165,0.164,SHIELD
1.437,9.075,-0.844,0.270,-1.353,-0.039,SHIELD
1.704,9.219,-1.326,0.251,-1.370,-0.048,SHIELD
2.150,9.589,-1.491,0.376,-0.964,-0.069,SHIELD
1.979,9.780,-1.254,0.528,-0.443,-0.076,SHIELD
1.808,9.751,-0.820,0.582,-0.012,0.005,SHIELD
1.632,9.926,-0.395,0.585,0.427,0.028,SHIELD
1.361,9.847,-0.051,0.568,0.876,0.003,SHIELD
0.674,9.771,0.229,0.558,0.981,0.056,SHIELD
0.490,10.140,0.357,0.439,0.915,0.032,SHIELD
0.509,9.994,0.295,0.341,0.934,0.010,SHIELD
0.235,9.696,0.252,0.316,0.910,0.023,SHIELD
0.269,9.732,0.374,0.262,0.854,0.001,SHIELD
0.551,9.751,0.327,0.128,0.867,-0.030,SHIELD
0.286,9.390,0.214,0.042,0.847,-0.010,SHIELD
-0.216,9.343,0.281,0.047,0.548,-0.050,SHIELD
0.355,9.544,0.169,0.020,0.296,-0.221,SHIELD
0.874,9.835,-0.036,-0.045,0.232,-0.284,SHIELD
1.008,9.800,-0.308,-0.080,0.182,-0.225,SHIELD
1.013,9.830,-0.393,-0.085,0.075,-0.149,SHIELD
1.099,9.866,-0.534,-0.100,0.037,-0.138,SHIELD
0.966,9.759,-0.602,-0.099,0.008,-0.087,SHIELD
0.952,9.705,-0.642,-0.104,-0.032,-0.064,SHIELD
0.951,9.587,-0.652,-0.053,-0.054,-0.035,SHIELD
1.044,9.571,-0.708,-0.011,-0.020,-0.013,SHIELD
0.974,9.577,-0.654,0.013,0.029,0.000,SHIELD
0.891,9.663,-0.554,-0.001,0.062,-0.030,SHIELD
0.878,9.568,-0.561,-0.021,0.085,-0.057,SHIELD
0.907,9.562,-0.567,-0.005,0.076,-0.056,SHIELD
0.911,9.682,-0.429,-0.004,0.071,-0.053,SHIELD
