acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.998,10.102,-1.371,0.261,0.113,-0.276,BOMB
-0.945,10.253,-1.491,0.110,0.125,-0.275,BOMB
-0.667,10.276,-1.855,-0.036,0.227,-0.299,BOMB
-0.156,10.696,-2.357,-0.102,0.365,-0.299,BOMB
4.411,12.676,-3.279,-0.156,0.597,-0.126,BOMB
9.328,14.791,-4.116,-0.033,1.033,0.877,BOMB
13.755,17.305,-4.045,0.980,0.474,3.105,BOMB
17.508,23.032,-3.618,1.641,-0.029,4.718,BOMB
20.495,28.363,-7.132,0.723,0.322,5.827,BOMB
20.250,31.040,-11.843,1.105,-0.374,7.917,BOMB
21.170,32.750,-15.570,2.872,-0.437,9.031,BOMB
18.314,32.750,-16.225,3.783,1.271,9.031,BOMB
7.363,32.124,-12.977,4.127,3.051,9.031,BOMB
-1.466,29.640,-8.903,3.705,3.874,9.031,BOMB
-7.970,23.619,-4.597,2.952,3.742,9.031,BOMB
-10.321,15.209,-0.765,2.517,3.286,9.012,BOMB
-8.965,7.372,3.421,1.980,2.572,6.947,BOMB
-2.230,2.787,4.084,0.552,2.204,4.956,BOMB
5.307,0.343,1.035,-1.268,2.794,3.959,BOMB
9.926,0.563,-3.781,-2.319,2.996,4.027,BOMB
15.552,1.806,-7.601,-1.507,3.609,5.206,BOMB
9.581,5.589,-9.244,-0.502,5.438,6.698,BOMB
0.893,7.672,-8.560,-0.290,5.473,7.608,BOMB
-4.255,8.882,-7.245,-0.310,5.397,7.526,BOMB
-9.840,9.382,-6.477,-0.908,4.729,6.963,BOMB
-15.321,8.852,-6.625,-1.552,3.131,6.383,BOMB
-22.955,8.429,-8.420,-2.382,1.449,6.431,BOMB
-28.923,3.330,-10.039,-2.684,0.939,5.142,BOMB
-23.915,-4.762,-10.263,-1.187,1.262,0.226,BOMB
-15.972,2.192,-8.035,1.325,0.435,-1.736,BOMB
-15.696,6.785,-6.264,0.783,0.295,-1.449,BOMB
-15.356,4.775,-7.924,-0.632,0.109,-1.805,BOMB
-15.980,3.955,-11.329,-0.368,0.336,-2.936,BOMB
-19.098,8.463,-13.596,0.294,0.231,-3.673,BOMB
-19.779,9.742,-15.891,0.467,0.931,-5.139,BOMB
-19.256,6.244,-19.122,3.202,2.095,-7.620,BOMB
-16.424,8.329,-17.127,7.859,3.470,-8.431,BOMB
-12.621,18.493,-8.470,8.731,3.992,-8.431,BOMB
6.222,29.820,-2.687,8.731,3.262,-8.431,BOMB
12.440,29.592,13.148,8.731,2.017,-6.416,BOMB
7.499,23.491,22.026,5.154,4.919,-4.379,BOMB
4.338,11.757,22.369,3.327,2.394,-3.451,BOMB
8.775,7.367,16.982,1.934,-0.409,-2.036,BOMB
10.778,4.365,11.755,0.984,-0.250,-0.777,BOMB
5.619,1.724,9.146,0.297,0.541,0.013,BOMB
4.049,0.996,7.514,0.266,0.028,0.137,BOMB
3.288,1.813,4.953,0.021,0.073,0.146,BOMB
2.650,1.305,3.360,0.081,0.171,0.227,BOMB
1.333,1.604,2.120,0.576,0.001,0.169,BOMB
0.093,1.885,1.470,1.129,-0.540,0.125,BOMB
0.387,0.958,1.004,1.534,-0.917,0.179,BOMB
-0.168,1.204,0.834,1.906,-0.694,-0.020,BOMB
-3.148,1.320,1.147,2.342,-0.879,-0.616,BOMB
-2.627,2.642,1.199,2.881,-1.539,-2.043,BOMB
0.093,5.797,1.027,3.547,-2.035,-3.519,BOMB
1.675,9.213,1.772,4.623,-2.989,-4.126,BOMB
5.449,17.168,1.879,4.715,-3.964,-4.937,BOMB
8.798,19.956,1.501,3.883,-3.372,-5.336,BOMB
8.117,21.209,1.616,3.291,-2.392,-5.287,BOMB
4.921,22.508,0.419,2.887,-2.531,-5.609,BOMB
3.029,23.159,-0.543,2.926,-3.483,-5.740,BOMB
3.074,26.809,-1.646,2.873,-4.529,-5.817,BOMB
6.256,28.559,-3.016,1.870,-4.219,-5.752,BOMB
10.025,24.675,-4.789,0.417,-3.239,-4.845,BOMB
13.615,20.120,-5.338,-0.259,-1.638,-3.877,BOMB
11.410,15.302,-4.580,0.131,-0.465,-1.989,BOMB
4.800,13.376,-3.210,1.259,-0.620,0.651,BOMB
1.660,12.993,-1.760,1.970,-1.456,1.280,BOMB
1.744,12.556,-1.111,1.631,-1.585,0.805,BOMB
2.519,11.528,-0.947,0.840,-1.055,0.358,BOMB
1.978,10.671,-1.140,0.162,-0.629,0.239,BOMB
1.727,10.285,-1.715,-0.217,-0.530,0.170,BOMB
1.993,10.249,-2.351,-0.345,-0.528,0.088,BOMB
2.548,10.567,-2.817,-0.411,-0.305,0.183,BOMB
2.598,11.026,-3.260,-0.457,0.145,0.376,BOMB
2.349,11.326,-3.412,-0.476,0.709,0.599,BOMB
1.638,11.292,-3.431,-0.442,1.231,0.821,BOMB
0.678,11.232,-3.194,-0.341,1.424,1.145,BOMB
-0.492,10.978,-2.865,-0.166,1.155,1.432,BOMB
-1.152,10.741,-2.532,0.072,0.607,1.668,BOMB
