acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.720,9.878,-1.719,-0.009,-0.124,-0.060,CAPT
-0.541,9.792,-1.900,0.013,-0.227,-0.011,CAPT
-0.005,10.065,-2.348,0.049,-0.605,0.215,CAPT
4.252,10.570,-2.512,0.189,-1.061,0.666,CAPT
9.372,11.948,-3.442,-0.020,-0.155,1.123,CAPT
12.129,13.124,-3.710,0.201,-0.008,1.946,CAPT
14.829,15.666,-4.468,0.631,-1.286,3.519,CAPT
17.949,18.317,-5.697,0.849,-1.104,5.040,CAPT
17.022,20.407,-7.129,0.956,0.124,5.716,CAPT
16.358,23.667,-8.263,1.617,-0.249,6.586,CAPT
18.332,26.599,-9.489,2.233,-0.235,7.363,CAPT
18.893,29.833,-10.765,2.676,0.364,8.072,CAPT
17.493,31.425,-11.479,2.858,1.203,8.810,CAPT
14.441,30.570,-9.948,3.162,1.677,9.031,CAPT
7.593,28.328,-6.337,3.205,2.663,9.031,CAPT
-2.369,24.448,-3.043,2.269,2.981,9.031,CAPT
-8.923,19.261,-1.468,1.637,3.055,8.986,CAPT
-16.068,12.110,0.620,1.202,2.718,7.691,CAPT
-18.781,4.305,0.880,0.414,2.091,5.818,CAPT
-19.268,-2.900,-0.267,-0.011,1.314,3.806,CAPT
-15.585,-7.440,-2.094,0.423,0.224,1.660,CAPT
-11.074,-9.686,-5.205,0.508,-1.120,0.170,CAPT
-6.126,-12.032,-9.232,1.339,-2.656,-0.643,CAPT
-0.681,-12.492,-11.193,3.034,-3.462,-1.450,CAPT
2.814,-9.481,-10.583,4.372,-3.098,-2.333,CAPT
4.762,-6.413,-12.351,5.417,-3.982,-2.476,CAPT
11.167,-0.596,-10.353,7.795,-1.743,-3.036,CAPT
7.308,8.431,-4.707,8.478,-0.695,-3.134,CAPT
8.549,13.030,-1.316,7.765,-2.037,-2.192,CAPT
10.551,11.205,0.282,7.010,0.158,-1.624,CAPT
4.715,12.092,6.828,6.692,0.089,-1.309,CAPT
10.056,12.793,13.222,5.413,-0.584,-0.828,CAPT
11.044,13.929,21.063,3.967,0.750,-0.488,CAPT
8.929,16.231,22.399,1.723,0.949,0.412,CAPT
2.140,14.585,19.957,-0.668,0.780,1.248,CAPT
-3.415,11.370,16.637,-2.243,0.189,0.997,CAPT
-4.748,8.912,14.767,-2.889,1.015,-0.333,CAPT
-10.505,7.106,15.701,-3.299,2.047,-2.305,CAPT
-8.954,8.001,15.791,-2.932,0.426,-3.605,CAPT
-5.803,8.886,14.953,-3.262,0.584,-4.935,CAPT
-3.278,9.416,11.663,-3.340,1.320,-6.334,CAPT
0.112,10.522,10.832,-3.160,1.644,-7.076,CAPT
4.289,13.355,9.844,-3.355,1.769,-6.823,CAPT
3.617,12.043,7.546,-2.620,2.820,-7.394,CAPT
3.254,18.319,9.189,-1.267,0.097,-7.900,CAPT
11.458,20.845,5.940,-2.243,-0.643,-6.241,CAPT
6.977,11.826,0.372,-2.223,0.044,-5.332,CAPT
11.389,9.957,-0.081,-0.409,-3.264,-4.165,CAPT
21.408,4.906,-1.045,-0.221,0.589,-3.235,CAPT
9.362,2.604,4.708,0.589,1.086,-1.080,CAPT
2.966,3.155,8.065,0.049,-0.366,0.107,CAPT
1.988,2.414,4.421,-0.582,-0.132,-0.012,CAPT
0.796,1.477,1.822,-0.191,-1.600,0.846,CAPT
3.488,2.771,3.042,0.444,-2.186,1.007,CAPT
3.749,4.400,1.945,0.007,-0.380,0.714,CAPT
0.141,4.056,2.890,0.722,0.011,0.721,CAPT
-0.075,5.021,2.542,1.540,-1.113,0.667,CAPT
2.999,5.959,2.623,1.409,-0.955,0.709,CAPT
1.726,6.271,2.611,0.752,-0.109,0.539,CAPT
-0.986,3.322,2.997,1.152,-1.424,0.399,CAPT
1.142,3.161,2.344,2.228,-3.146,0.063,CAPT
2.450,4.242,2.553,2.688,-3.139,-1.129,CAPT
2.794,5.378,2.173,3.045,-3.455,-2.250,CAPT
5.843,7.897,1.861,3.820,-4.936,-3.140,CAPT
9.913,11.930,2.818,3.906,-4.568,-3.660,CAPT
11.686,15.411,2.768,2.531,-2.840,-4.078,CAPT
10.141,14.728,2.973,1.944,-2.154,-4.177,CAPT
9.657,15.227,2.491,1.878,-2.444,-4.100,CAPT
10.184,16.917,1.653,1.425,-2.216,-4.018,CAPT
8.237,16.735,1.325,1.081,-1.740,-3.920,CAPT
4.680,17.710,1.551,1.320,-1.969,-3.988,CAPT
3.375,18.706,-0.587,0.739,-3.415,-3.783,CAPT
4.583,17.177,-3.409,0.371,-4.428,-2.878,CAPT
7.038,15.767,-4.478,0.479,-4.476,-2.164,CAPT
8.637,14.438,-4.609,0.295,-2.977,-1.768,CAPT
7.955,12.863,-3.951,0.092,-1.342,-1.311,CAPT
4.474,11.356,-2.747,0.464,-0.764,-0.251,CAPT
2.341,11.128,-1.570,1.024,-1.231,1.010,CAPT
1.552,11.577,-1.322,0.672,-0.897,1.047,CAPT
1.528,10.381,-1.561,-0.037,-0.070,0.610,CAPT
