acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.722,14.300,-4.148,-1.980,-3.115,1.448,HULK
-1.114,13.298,-8.602,-1.333,-2.548,1.705,HULK
-1.327,9.743,-12.335,-0.501,-2.953,2.064,HULK
1.466,5.444,-14.670,0.199,-1.612,1.759,HULK
0.411,-2.514,-17.419,0.288,-0.136,0.607,HULK
1.098,-10.097,-21.965,1.162,0.916,-0.674,HULK
-3.748,-18.035,-29.687,2.182,0.772,-0.247,HULK
-6.807,-24.114,-32.750,3.669,0.742,-0.602,HULK
-3.576,-13.658,-32.750,6.110,2.118,-2.877,HULK
-8.149,-0.154,-32.750,7.526,2.744,-2.580,HULK
-11.197,16.974,-32.750,8.731,2.243,-2.157,HULK
-12.289,32.022,-32.750,8.731,3.196,-3.428,HULK
-11.965,32.750,-21.536,8.662,2.333,-2.157,HULK
-8.076,32.750,-6.988,6.293,1.438,-0.684,HULK
-7.043,32.750,3.461,3.671,0.414,0.333,HULK
-5.262,32.750,7.181,0.237,-0.399,0.807,HULK
-3.369,32.750,-0.225,-3.755,-1.016,1.701,HULK
-3.596,31.051,-14.415,-6.042,-1.415,2.290,HULK
-3.728,20.389,-24.278,-6.598,-1.677,2.419,HULK
-3.845,10.096,-30.901,-7.019,-1.644,2.988,HULK
-4.914,-2.706,-32.098,-6.219,-1.338,2.627,HULK
-4.353,-14.543,-29.843,-5.327,-0.743,1.713,HULK
-6.764,-29.552,-31.131,-3.859,-0.541,1.908,HULK
-9.422,-32.750,-32.750,-0.454,-0.060,0.695,HULK
-9.582,-32.750,-31.719,2.580,0.871,-1.507,HULK
-10.049,-21.398,-32.750,5.258,0.397,-1.226,HULK
-11.358,-5.671,-32.750,7.063,0.314,-2.179,HULK
-9.100,12.599,-32.750,7.924,0.962,-4.220,HULK
-3.347,31.808,-28.035,7.645,1.941,-4.761,HULK
0.021,32.750,-13.525,6.856,1.316,-2.309,HULK
2.555,32.750,-1.142,3.602,0.714,-0.151,HULK
0.782,32.750,0.558,0.224,0.522,0.917,HULK
-0.733,32.750,-2.517,-2.447,-0.207,1.881,HULK
-1.478,22.161,-10.731,-4.790,-0.097,1.736,HULK
-3.084,14.211,-16.733,-6.363,-0.559,2.169,HULK
-3.531,7.841,-21.395,-7.860,-0.385,1.965,HULK
-4.821,3.602,-22.968,-7.938,0.319,0.440,HULK
-3.257,5.141,-21.900,-7.576,0.524,-0.857,HULK
-0.660,3.681,-21.446,-7.193,1.007,-1.701,HULK
1.090,2.985,-17.154,-5.399,1.091,-1.543,HULK
2.276,3.425,-12.698,-3.422,0.741,-1.177,HULK
2.912,4.329,-8.958,-2.206,0.997,-0.957,HULK
2.454,4.691,-6.935,-1.145,1.259,-0.600,HULK
1.501,5.637,-4.928,-0.398,0.928,-0.184,HULK
1.316,6.919,-3.561,-0.118,0.613,-0.001,HULK
0.624,7.514,-3.301,-0.044,0.549,0.062,HULK
0.252,7.900,-2.985,-0.082,0.214,0.054,HULK
0.567,7.997,-2.903,-0.028,-0.048,0.001,HULK
0.451,8.437,-2.721,-0.103,-0.161,-0.127,HULK
0.329,8.595,-2.790,-0.077,-0.371,-0.239,HULK
1.055,8.947,-2.439,0.006,-0.594,-0.300,HULK
1.550,9.079,-2.343,0.214,-0.357,-0.397,HULK
1.471,9.446,-2.077,0.420,-0.192,-0.436,HULK
1.850,10.118,-1.649,0.362,-0.075,-0.390,HULK
1.383,10.684,-1.482,0.320,0.153,-0.277,HULK
-0.110,12.087,-1.699,0.226,-0.012,-0.083,HULK
-0.828,12.478,-2.289,0.115,-0.503,0.202,HULK
0.571,10.458,-2.532,0.265,-0.785,0.302,HULK
1.855,9.143,-2.195,0.591,-0.610,0.284,HULK
2.372,9.750,-1.401,0.687,-0.059,0.224,HULK
1.620,10.952,-1.153,0.389,0.782,0.181,HULK
0.318,11.449,-1.594,-0.038,1.147,0.166,HULK
0.232,10.974,-1.791,-0.106,1.214,0.133,HULK
0.037,10.224,-1.622,0.041,0.971,0.209,HULK
0.360,10.066,-1.293,0.206,0.545,0.409,HULK
0.333,10.260,-1.138,0.239,0.298,0.591,HULK
0.203,10.397,-1.237,0.133,0.241,0.654,HULK
-0.198,10.129,-1.612,0.025,0.251,0.600,HULK
-0.348,9.819,-1.837,-0.046,0.206,0.501,HULK
-0.411,9.524,-2.025,-0.071,0.159,0.367,HULK
-0.305,9.349,-2.125,-0.054,0.126,0.163,HULK
-0.041,9.318,-2.205,-0.014,0.156,-0.017,HULK
0.247,9.498,-2.095,-0.020,0.207,-0.130,HULK
0.293,9.718,-2.091,-0.051,0.252,-0.178,HULK
0.177,9.988,-2.061,-0.063,0.222,-0.168,HULK
0.098,10.002,-1.988,-0.073,0.115,-0.154,HULK
0.132,9.857,-2.015,-0.064,-0.069,-0.101,HULK
0.266,9.793,-2.086,-0.060,-0.202,-0.079,HULK
0.307,9.756,-2.089,-0.075,-0.196,-0.111,HULK
0.219,9.694,-2.138,-0.106,-0.192,-0.172,HULK
