acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.702,9.780,-1.886,-0.318,-0.045,0.062,IRONMAN
-1.810,9.081,-2.140,-0.178,-0.361,0.066,IRONMAN
-1.078,9.719,-1.936,-0.047,-0.603,0.066,IRONMAN
-0.464,10.445,-1.849,-0.290,-0.526,0.102,IRONMAN
-1.136,10.412,-1.761,-0.614,-0.619,0.195,IRONMAN
-1.671,11.058,-1.399,-0.896,-1.035,0.554,IRONMAN
-0.332,13.111,1.126,-1.772,-0.867,1.117,IRONMAN
-0.351,16.145,5.223,-3.914,0.240,1.350,IRONMAN
-0.707,16.361,6.716,-5.987,0.831,1.503,IRONMAN
-1.377,15.363,9.926,-6.696,0.490,1.997,IRONMAN
-0.294,16.322,12.685,-7.962,1.089,2.289,IRONMAN
-2.931,9.307,9.820,-7.412,0.696,2.006,IRONMAN
-1.710,8.594,9.621,-5.613,-0.532,1.050,IRONMAN
0.490,3.958,6.538,-4.261,0.283,0.427,IRONMAN
-3.172,4.679,5.649,-2.896,0.041,-0.721,IRONMAN
-2.033,5.532,-1.968,-2.085,-0.446,-2.365,IRONMAN
3.561,7.384,-4.245,-0.245,-1.003,-2.108,IRONMAN
2.506,8.174,-0.726,0.280,0.339,-0.238,IRONMAN
-3.168,6.318,-2.797,0.425,0.897,-0.331,IRONMAN
-3.383,4.682,-2.182,1.285,0.686,-1.223,IRONMAN
-1.634,6.574,0.685,2.311,0.182,-1.288,IRONMAN
1.091,8.120,3.371,2.853,0.826,-0.880,IRONMAN
-1.112,7.737,3.185,3.308,1.751,-0.897,IRONMAN
-2.511,8.594,4.386,4.041,0.732,-0.442,IRONMAN
-0.812,7.601,2.876,4.972,-0.286,-0.293,IRONMAN
-0.915,8.495,2.687,6.810,-0.376,-0.743,IRONMAN
-0.750,13.634,3.127,6.945,-1.027,-1.487,IRONMAN
1.952,16.582,2.982,6.602,-2.399,-0.776,IRONMAN
4.435,15.051,-0.021,6.357,-2.763,0.244,IRONMAN
4.768,16.443,-0.151,4.537,-1.249,0.705,IRONMAN
2.697,16.728,0.000,2.437,0.494,1.120,IRONMAN
4.471,20.299,-0.285,0.523,1.229,2.143,IRONMAN
7.353,23.589,-0.937,-2.296,2.602,4.237,IRONMAN
9.963,22.041,-3.088,-4.357,4.736,5.414,IRONMAN
10.291,20.234,-2.951,-3.807,4.355,6.721,IRONMAN
11.780,14.504,-1.366,-2.820,2.075,7.738,IRONMAN
14.962,9.224,0.105,-2.016,2.041,7.985,IRONMAN
15.170,3.583,1.786,-1.763,1.693,8.152,IRONMAN
16.243,0.984,4.086,-1.630,1.039,8.101,IRONMAN
14.444,0.644,6.318,-1.798,0.837,7.735,IRONMAN
13.436,1.599,7.644,-2.438,0.391,7.444,IRONMAN
12.770,1.053,7.180,-2.945,0.677,7.351,IRONMAN
7.271,0.088,5.201,-3.415,1.083,6.679,IRONMAN
4.619,-0.486,3.087,-3.294,0.311,5.249,IRONMAN
6.268,-2.053,0.719,-2.915,0.513,4.130,IRONMAN
4.070,-1.803,0.735,-1.813,1.430,3.027,IRONMAN
2.546,0.671,1.666,-0.943,1.393,2.240,IRONMAN
0.876,-0.063,0.629,-0.461,1.859,1.468,IRONMAN
1.231,0.144,2.126,0.957,1.851,0.349,IRONMAN
1.877,2.321,4.712,1.093,1.728,0.018,IRONMAN
1.198,0.893,3.912,1.096,1.826,-0.327,IRONMAN
0.811,-0.504,3.219,1.513,1.801,-0.604,IRONMAN
-0.618,-0.179,4.279,1.776,1.646,-0.646,IRONMAN
1.176,-3.285,6.502,1.271,0.931,-0.843,IRONMAN
2.407,-3.386,5.301,0.436,0.065,-0.398,IRONMAN
-0.247,-3.997,2.855,0.625,0.398,0.059,IRONMAN
-2.122,-2.076,3.439,0.888,0.233,-0.020,IRONMAN
-1.283,-3.661,4.622,0.941,-0.222,-0.533,IRONMAN
1.860,-3.617,5.001,1.450,-0.656,-0.663,IRONMAN
3.714,1.359,6.237,1.698,-0.367,-0.188,IRONMAN
2.359,2.669,7.704,0.916,-0.275,0.108,IRONMAN
1.769,-0.016,6.213,1.130,-0.088,-0.313,IRONMAN
-0.126,1.424,4.369,2.097,-0.678,-1.394,IRONMAN
2.539,3.722,4.805,1.925,-1.810,-1.204,IRONMAN
3.932,0.207,5.448,1.682,-0.908,-0.777,IRONMAN
1.714,-1.806,4.230,2.528,-1.048,-1.821,IRONMAN
3.705,-2.017,4.263,3.122,-1.215,-2.603,IRONMAN
4.505,-0.901,6.587,3.876,-0.822,-3.504,IRONMAN
6.139,0.079,7.048,4.673,-1.608,-4.916,IRONMAN
7.854,3.620,6.615,5.152,-1.710,-5.816,IRONMAN
8.116,6.140,8.004,5.440,-1.872,-6.269,IRONMAN
10.289,8.460,6.967,5.959,-1.617,-7.026,IRONMAN
7.867,13.842,4.507,5.992,-2.029,-7.294,IRONMAN
9.993,17.254,5.126,5.588,-3.491,-6.322,IRONMAN
12.964,19.399,5.234,3.837,-1.844,-5.032,IRONMAN
8.762,16.571,2.487,2.031,-0.051,-3.993,IRONMAN
3.562,14.600,0.644,1.769,-2.012,-2.303,IRONMAN
2.720,14.124,-1.498,2.033,-4.283,-1.274,IRONMAN
3.477,14.039,-2.464,1.913,-3.544,-1.517,IRONMAN
2.243,13.370,-2.683,1.556,-2.485,-1.510,IRONMAN
