acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.557,10.054,-1.654,0.011,-0.020,-0.057,LOGOUT
-0.226,10.295,-1.721,-0.005,0.011,-0.036,LOGOUT
1.033,10.725,-2.026,-0.006,0.047,0.212,LOGOUT
3.916,12.000,-2.891,-0.019,0.201,0.813,LOGOUT
7.377,13.383,-4.829,0.066,0.393,1.788,LOGOUT
7.752,14.967,-4.851,0.788,-0.058,3.096,LOGOUT
9.197,18.181,-4.006,1.354,-0.473,4.245,LOGOUT
10.236,19.660,-3.956,1.000,-0.081,4.852,LOGOUT
10.633,18.359,-4.894,0.715,0.117,5.259,LOGOUT
11.712,17.603,-4.713,0.844,0.078,5.873,LOGOUT
12.235,15.493,-4.637,0.829,-0.061,6.408,LOGOUT
12.375,13.253,-5.071,1.118,0.471,6.292,LOGOUT
12.457,12.696,-5.408,1.389,0.817,6.459,LOGOUT
9.318,11.134,-4.479,1.594,1.422,6.846,LOGOUT
6.694,10.185,-4.303,1.461,1.644,6.683,LOGOUT
3.384,8.485,-3.279,1.607,1.640,6.693,LOGOUT
1.402,6.562,-3.089,1.521,1.200,6.252,LOGOUT
1.525,4.725,-2.775,1.308,0.959,5.889,LOGOUT
0.244,0.220,-1.734,0.882,1.283,5.426,LOGOUT
0.572,-7.286,1.040,1.004,1.315,4.723,LOGOUT
4.194,-13.267,3.856,1.352,1.807,3.989,LOGOUT
5.282,-16.627,5.755,1.556,2.227,3.640,LOGOUT
4.976,-16.882,4.329,1.208,1.655,3.753,LOGOUT
3.514,-16.320,2.472,1.111,0.895,4.213,LOGOUT
0.130,-12.590,2.326,1.199,1.461,3.740,LOGOUT
-3.602,-6.952,1.664,0.448,2.363,1.991,LOGOUT
-6.203,-2.945,-0.155,-0.016,1.676,0.159,LOGOUT
-5.570,1.813,-1.033,0.487,-0.079,-0.751,LOGOUT
-2.917,7.800,-1.582,0.678,-1.380,-1.439,LOGOUT
-2.246,13.419,-2.794,0.369,-1.295,-1.751,LOGOUT
1.173,15.899,-5.138,-0.223,-1.110,-1.334,LOGOUT
2.693,12.014,-4.728,-0.099,-0.563,-0.799,LOGOUT
1.906,8.729,-2.598,0.319,-0.201,-0.548,LOGOUT
2.276,5.351,-0.852,-0.030,0.268,-0.612,LOGOUT
0.967,-0.735,0.735,-0.518,0.444,-1.008,LOGOUT
-0.318,-6.651,2.036,-0.656,-1.183,-1.590,LOGOUT
5.768,-10.773,2.235,-1.179,-2.534,-2.471,LOGOUT
12.064,-18.715,-0.133,-2.232,-1.487,-3.323,LOGOUT
14.851,-28.051,1.871,-1.544,-1.774,-3.017,LOGOUT
23.891,-32.750,5.739,-0.135,-2.058,-2.184,LOGOUT
26.937,-32.686,5.593,0.185,0.707,-0.801,LOGOUT
21.068,-25.258,4.811,0.879,1.728,1.786,LOGOUT
14.110,-20.721,2.424,1.029,1.599,3.721,LOGOUT
8.412,-16.502,0.516,1.317,1.264,4.267,LOGOUT
2.825,-12.243,0.549,1.599,1.367,3.684,LOGOUT
-0.763,-6.690,0.996,1.398,0.885,2.474,LOGOUT
-2.220,-1.142,-0.008,0.756,0.337,1.207,LOGOUT
-1.340,3.512,-0.921,0.585,-0.137,0.455,LOGOUT
0.330,7.623,-1.612,0.365,0.041,-0.217,LOGOUT
-1.760,13.017,-3.936,-0.264,-0.387,-0.343,LOGOUT
0.148,14.062,-5.398,-0.111,-1.454,0.232,LOGOUT
2.299,10.680,-4.177,0.231,-0.481,0.007,LOGOUT
1.319,7.792,-2.050,0.181,0.682,-0.265,LOGOUT
0.162,3.351,-0.387,-0.050,0.348,-0.287,LOGOUT
1.200,-2.098,1.865,-0.133,-0.026,-0.836,LOGOUT
0.701,-9.017,3.852,-0.634,-0.396,-1.874,LOGOUT
2.829,-16.076,4.224,-1.266,-1.530,-2.511,LOGOUT
6.769,-18.700,3.731,-1.386,-1.762,-3.209,LOGOUT
4.775,-17.716,5.712,-0.801,-1.484,-3.794,LOGOUT
4.378,-12.648,6.109,-1.103,-2.080,-4.038,LOGOUT
6.805,-8.258,2.735,-1.936,-1.702,-4.511,LOGOUT
7.447,-5.634,-0.043,-1.746,-0.856,-4.889,LOGOUT
5.048,-3.729,0.008,-0.963,-0.250,-5.030,LOGOUT
3.699,-0.748,0.572,-0.435,-0.512,-5.222,LOGOUT
5.102,1.622,-0.371,-0.462,-0.589,-5.449,LOGOUT
5.577,2.752,-0.848,-0.351,-0.782,-5.286,LOGOUT
6.989,5.596,-1.354,-0.527,-1.428,-4.783,LOGOUT
10.663,6.892,-2.905,-0.913,-0.870,-5.096,LOGOUT
7.875,6.415,-2.563,-0.553,-0.013,-5.161,LOGOUT
7.049,9.078,-2.838,-0.432,-0.180,-5.239,LOGOUT
9.569,11.820,-4.324,-0.603,-0.244,-5.182,LOGOUT
7.022,11.174,-3.300,-0.166,-0.360,-4.956,LOGOUT
6.458,14.333,-2.506,-0.214,-1.220,-4.295,LOGOUT
7.516,16.674,-2.556,-0.855,-1.392,-3.650,LOGOUT
5.707,16.114,-2.723,-1.159,-0.943,-3.551,LOGOUT
3.074,15.732,-3.559,-0.956,-1.252,-3.756,LOGOUT
2.628,16.067,-4.019,-0.452,-1.553,-3.978,LOGOUT
3.505,16.268,-3.835,0.120,-1.581,-4.019,LOGOUT
5.108,15.938,-3.843,0.450,-1.558,-3.509,LOGOUT
7.249,14.402,-3.679,0.367,-1.034,-2.422,LOGOUT
