acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.906,12.510,-1.749,-1.018,0.110,-1.534,NULL
4.471,12.595,-2.372,-0.891,-0.362,-1.064,NULL
6.613,12.383,-3.130,-0.834,-0.728,-0.215,NULL
7.750,10.548,-3.601,-0.594,-0.800,1.067,NULL
7.571,8.279,-3.607,0.265,-0.487,2.095,NULL
8.785,6.635,-3.363,1.286,-0.119,2.762,NULL
12.094,10.350,-3.950,2.259,1.094,3.592,NULL
8.743,27.138,-8.926,2.555,2.808,5.105,NULL
-1.897,32.750,-16.150,2.154,4.587,6.449,NULL
-10.424,32.750,-16.392,2.426,4.830,7.521,NULL
-12.791,32.750,-12.205,2.426,2.704,7.592,NULL
-10.424,19.935,-6.759,2.422,1.573,6.600,NULL
-15.526,9.123,0.844,1.770,2.441,5.393,NULL
-22.434,0.835,5.077,-0.759,1.668,2.908,NULL
-31.896,-7.300,8.675,-1.914,0.418,1.079,NULL
-27.485,-4.755,6.400,-2.821,-0.646,-2.718,NULL
-16.853,0.671,3.599,-2.556,-0.664,-5.471,NULL
-9.130,7.467,2.375,-2.307,-1.183,-6.661,NULL
-4.339,13.740,0.261,-2.612,-1.531,-6.635,NULL
-3.448,21.278,-2.404,-2.540,-2.119,-6.357,NULL
-1.479,31.603,-5.278,-1.916,-1.294,-7.210,NULL
-1.549,32.750,-6.286,-0.383,0.704,-8.123,NULL
0.513,32.750,-2.287,1.344,1.018,-7.576,NULL
7.442,32.750,1.288,1.087,0.141,-5.681,NULL
17.763,26.996,1.021,-0.175,0.398,-3.216,NULL
17.306,14.964,2.046,-0.275,-0.179,0.169,NULL
14.544,9.974,2.455,0.562,-0.531,1.739,NULL
13.887,4.640,2.934,0.369,0.198,2.079,NULL
13.874,5.444,1.415,-0.269,0.839,2.389,NULL
11.015,9.331,-2.052,-0.943,1.101,3.704,NULL
7.819,14.387,-6.349,-0.939,0.733,5.412,NULL
4.674,22.835,-10.103,-0.062,1.013,6.639,NULL
-1.485,32.750,-12.671,1.702,1.285,7.906,NULL
-9.633,32.750,-10.748,2.859,2.070,8.433,NULL
-14.243,32.750,-7.390,2.013,2.697,7.103,NULL
-18.431,17.291,-2.986,0.449,1.505,5.496,NULL
-22.843,7.398,1.280,-0.565,-0.164,3.689,NULL
-25.588,-0.148,2.771,-1.601,-0.497,-0.080,NULL
-19.804,0.704,0.679,-1.598,-1.133,-3.502,NULL
-11.984,4.690,-0.202,-1.141,-1.873,-5.353,NULL
-5.396,6.902,-0.394,-1.107,-2.252,-5.927,NULL
-3.134,9.500,-0.960,-1.573,-1.770,-5.593,NULL
-2.153,12.568,-2.353,-1.887,-1.904,-5.616,NULL
-0.556,17.893,-4.558,-1.506,-1.466,-5.829,NULL
0.197,27.539,-5.028,-0.067,0.661,-6.306,NULL
3.303,32.750,-2.784,1.186,2.327,-6.337,NULL
12.366,32.750,-1.439,0.935,1.123,-4.076,NULL
17.572,31.783,-0.805,0.071,-0.329,0.396,NULL
13.393,20.900,-1.083,-0.061,-0.434,2.829,NULL
9.503,15.768,1.025,0.752,-0.544,3.686,NULL
9.399,10.949,1.834,0.667,-0.841,4.592,NULL
7.487,5.669,1.635,0.273,-0.107,5.482,NULL
2.230,1.049,1.173,0.368,0.973,5.912,NULL
-5.115,-1.965,2.242,0.911,1.972,6.134,NULL
-9.986,-1.567,2.053,-0.139,2.657,3.871,NULL
-10.600,-1.440,-0.184,-0.469,1.869,1.319,NULL
-8.969,5.252,-1.789,0.717,-0.088,0.286,NULL
-8.050,15.542,-2.797,0.970,-1.015,-1.208,NULL
-8.400,25.216,-3.863,0.494,-0.721,-2.489,NULL
-8.088,31.431,-4.648,-0.894,0.131,-4.105,NULL
-4.171,25.202,-5.513,-2.027,0.223,-4.957,NULL
-1.131,16.078,-6.437,-1.939,-0.849,-4.015,NULL
1.346,9.516,-5.660,-0.894,-2.135,-2.341,NULL
3.982,4.956,-3.739,0.949,-2.047,-1.166,NULL
4.119,4.646,-1.648,2.225,-1.003,-1.236,NULL
3.701,5.374,-1.001,2.260,-0.470,-1.172,NULL
3.032,8.053,-0.606,1.622,0.068,-0.626,NULL
0.470,13.471,-0.648,0.580,0.922,-0.206,NULL
-3.233,17.828,-1.570,-0.925,1.580,-0.385,NULL
-3.652,15.176,-2.405,-2.040,1.478,-1.064,NULL
-1.511,8.720,-3.211,-2.216,0.232,-1.710,NULL
1.138,3.647,-3.488,-0.806,-1.892,-1.244,NULL
2.894,6.421,-3.260,1.798,-3.496,0.052,NULL
1.805,16.375,-2.687,3.075,-2.754,0.772,NULL
2.181,18.262,-0.904,2.171,0.282,0.333,NULL
1.541,14.305,-0.243,0.600,2.230,-0.348,NULL
0.351,10.308,0.292,-0.028,2.725,-0.261,NULL
-1.607,8.169,1.033,0.082,1.378,0.649,NULL
-1.620,8.076,1.107,0.042,-0.442,1.390,NULL
-1.204,8.542,0.139,-0.418,-1.438,1.643,NULL
