acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.715,9.988,-4.705,-0.111,-0.479,-1.092,RELOAD
1.613,10.770,-6.713,0.149,-0.369,-1.121,RELOAD
3.523,10.721,-9.493,0.435,-0.440,-0.516,RELOAD
2.203,8.753,-12.098,1.176,-0.607,0.520,RELOAD
0.673,8.325,-13.730,2.172,-0.520,1.074,RELOAD
-1.292,9.511,-13.899,3.111,-0.011,0.622,RELOAD
-2.111,11.589,-14.521,4.007,-0.111,0.342,RELOAD
-1.817,13.783,-15.208,4.475,-0.130,0.193,RELOAD
-2.505,15.383,-17.318,5.153,-0.198,0.132,RELOAD
-3.318,17.102,-19.019,5.990,-0.445,0.193,RELOAD
-2.266,17.163,-18.385,6.683,0.246,-0.128,RELOAD
-1.885,17.215,-14.660,7.100,1.496,-0.514,RELOAD
-1.634,16.140,-9.034,6.811,1.932,-0.157,RELOAD
-1.762,14.363,-2.787,6.304,1.894,0.053,RELOAD
-1.887,13.089,4.589,5.186,2.369,-0.342,RELOAD
-4.843,12.214,8.685,3.275,1.813,-0.321,RELOAD
-3.651,9.886,8.874,1.181,0.894,-0.134,RELOAD
-4.180,8.554,7.577,-0.423,0.366,-0.126,RELOAD
-4.209,7.752,5.178,-1.841,-0.420,-0.123,RELOAD
-3.751,7.609,1.841,-3.169,-0.882,-0.236,RELOAD
-3.676,6.870,-2.475,-4.125,-1.608,-0.148,RELOAD
-4.404,5.785,-7.553,-4.704,-2.535,0.292,RELOAD
-4.115,6.430,-14.148,-5.383,-3.066,0.638,RELOAD
-1.520,5.457,-20.844,-5.512,-1.687,-0.196,RELOAD
-1.353,4.688,-25.112,-4.793,-0.752,-0.650,RELOAD
0.380,3.641,-29.608,-3.638,-0.910,-0.246,RELOAD
2.310,1.742,-32.260,-1.701,-0.329,-0.227,RELOAD
1.048,1.543,-31.311,0.774,0.347,-0.500,RELOAD
1.164,3.380,-28.868,2.649,0.377,-0.369,RELOAD
-0.338,5.228,-26.672,4.067,0.621,-0.203,RELOAD
-1.371,6.930,-23.478,5.279,0.983,-0.233,RELOAD
-2.501,8.930,-17.762,6.249,1.064,-0.185,RELOAD
-2.487,10.446,-12.102,6.120,1.259,-0.054,RELOAD
-1.539,9.429,-5.225,5.814,2.049,-0.407,RELOAD
-2.424,11.424,5.813,5.217,2.815,-1.501,RELOAD
-2.236,16.406,16.252,2.326,1.716,-1.011,RELOAD
-9.119,3.900,8.815,-1.715,1.299,0.070,RELOAD
-2.434,8.217,5.061,-0.638,-0.867,0.394,RELOAD
-2.254,8.091,2.077,-3.060,0.040,-0.473,RELOAD
-3.804,5.735,-2.754,-4.199,-0.886,-0.269,RELOAD
-0.524,6.159,-6.776,-4.620,-1.297,-0.377,RELOAD
0.885,7.744,-8.764,-5.190,0.235,-1.069,RELOAD
-0.523,8.900,-12.273,-5.750,0.032,-1.181,RELOAD
2.612,9.793,-14.095,-5.614,-0.211,-0.754,RELOAD
1.503,11.174,-13.858,-5.335,0.880,-0.983,RELOAD
-0.108,12.021,-14.296,-5.079,0.333,-1.011,RELOAD
2.978,12.791,-12.600,-4.809,0.636,-1.005,RELOAD
3.766,13.382,-9.740,-4.848,2.792,-1.671,RELOAD
2.005,13.474,-7.924,-5.063,4.212,-2.331,RELOAD
0.271,13.028,-7.092,-5.109,4.280,-2.750,RELOAD
-1.404,11.864,-6.699,-4.267,3.002,-2.769,RELOAD
-2.304,11.032,-6.083,-2.499,0.398,-2.397,RELOAD
-0.732,11.445,-5.781,-0.588,-2.565,-1.738,RELOAD
1.975,11.619,-5.904,0.529,-4.088,-0.894,RELOAD
3.406,11.129,-5.393,1.096,-4.236,0.021,RELOAD
3.388,11.031,-4.196,1.260,-3.381,0.501,RELOAD
2.207,11.010,-3.060,1.041,-2.224,0.737,RELOAD
0.993,10.555,-2.489,0.675,-1.504,0.818,RELOAD
0.314,9.997,-2.317,0.304,-1.038,0.718,RELOAD
-0.530,9.408,-2.171,0.156,-0.863,0.540,RELOAD
-0.810,9.151,-2.391,0.104,-1.136,0.345,RELOAD
0.197,9.383,-2.597,0.101,-1.179,0.165,RELOAD
0.545,9.796,-2.450,0.166,-0.897,0.070,RELOAD
0.393,10.069,-2.338,0.187,-0.831,0.118,RELOAD
0.578,9.975,-2.305,0.218,-0.792,0.240,RELOAD
0.669,10.071,-2.045,0.261,-0.531,0.234,RELOAD
0.760,10.184,-1.850,0.263,-0.154,0.188,RELOAD
0.293,10.101,-1.572,0.270,0.094,0.225,RELOAD
0.001,10.136,-1.356,0.270,0.186,0.244,RELOAD
-0.226,10.051,-1.171,0.233,0.244,0.184,RELOAD
-0.368,9.967,-1.120,0.189,0.166,0.168,RELOAD
-0.383,10.023,-1.073,0.165,0.093,0.123,RELOAD
-0.209,10.078,-1.116,0.096,0.053,0.073,RELOAD
-0.231,10.211,-1.159,0.042,0.034,0.096,RELOAD
-0.270,10.186,-1.265,-0.023,-0.044,0.149,RELOAD
-0.264,10.059,-1.510,-0.037,-0.051,0.123,RELOAD
-0.259,9.948,-1.644,0.006,0.008,0.076,RELOAD
-0.294,10.041,-1.553,0.038,0.060,0.032,RELOAD
-0.391,10.035,-1.413,0.021,0.090,0.018,RELOAD
-0.447,9.923,-1.424,-0.023,0.019,0.013,RELOAD
