acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2.883,11.536,-4.090,-0.071,1.712,-0.437,SHANGCHI
2.303,11.668,-6.179,-0.049,1.443,0.315,SHANGCHI
1.620,11.097,-8.161,0.618,0.786,1.327,SHANGCHI
1.082,12.625,-7.815,1.489,0.859,1.494,SHANGCHI
-0.797,11.521,-8.791,2.233,1.234,1.381,SHANGCHI
-1.406,11.172,-11.300,3.858,-0.098,1.567,SHANGCHI
-1.715,11.976,-11.014,4.418,-0.680,1.337,SHANGCHI
-2.078,10.545,-13.347,5.486,-1.846,1.486,SHANGCHI
-2.590,10.436,-14.074,6.563,-2.213,0.812,SHANGCHI
-2.413,11.085,-14.483,6.424,-2.043,0.164,SHANGCHI
-2.367,9.580,-14.294,5.261,-0.690,-0.081,SHANGCHI
-4.271,6.929,-14.892,5.289,-0.321,-0.337,SHANGCHI
-3.066,6.403,-14.160,5.929,-0.415,-0.870,SHANGCHI
-1.835,6.457,-13.808,5.689,-0.335,-0.796,SHANGCHI
-1.953,4.851,-12.942,5.443,0.236,-0.514,SHANGCHI
-1.842,4.513,-10.770,5.451,0.571,-0.967,SHANGCHI
-1.140,4.375,-8.123,5.235,0.576,-1.421,SHANGCHI
0.324,3.948,-4.474,4.855,0.785,-1.717,SHANGCHI
1.253,3.764,-1.122,4.140,0.854,-1.725,SHANGCHI
1.820,2.523,0.650,2.843,0.986,-1.430,SHANGCHI
2.576,0.504,-0.576,1.679,0.524,-0.661,SHANGCHI
3.664,-0.764,-2.168,0.742,1.306,-0.548,SHANGCHI
5.337,-2.403,-2.861,-0.265,3.396,-1.482,SHANGCHI
4.455,-3.647,-3.622,-1.456,4.812,-1.690,SHANGCHI
6.380,-4.480,-5.563,-2.321,4.888,-0.916,SHANGCHI
10.571,-5.239,-5.597,-2.656,6.509,-1.335,SHANGCHI
8.197,-5.092,-4.573,-3.071,7.861,-1.696,SHANGCHI
8.176,-4.729,-4.274,-2.701,5.728,-0.810,SHANGCHI
11.884,-2.967,-1.774,-2.232,5.886,-0.878,SHANGCHI
6.120,-2.353,0.231,-2.387,4.676,-0.928,SHANGCHI
8.893,-1.563,0.254,-1.580,0.893,-0.152,SHANGCHI
12.658,-0.666,-0.048,-1.721,1.452,-0.384,SHANGCHI
10.759,-0.695,-0.306,-1.800,1.729,-0.777,SHANGCHI
10.187,-0.199,-0.373,-1.534,0.749,-0.366,SHANGCHI
12.308,0.948,-0.047,-1.932,0.454,-0.317,SHANGCHI
11.329,0.522,-1.069,-2.316,0.891,-0.274,SHANGCHI
9.521,0.051,-1.971,-2.013,-0.444,0.283,SHANGCHI
13.643,1.532,-3.200,-2.196,-0.693,0.580,SHANGCHI
13.435,1.231,-4.468,-2.928,1.206,0.545,SHANGCHI
10.922,0.157,-5.500,-3.076,1.786,0.752,SHANGCHI
12.376,0.251,-5.608,-3.048,1.838,0.851,SHANGCHI
13.403,0.631,-6.871,-3.750,3.879,0.621,SHANGCHI
10.466,-1.078,-7.724,-3.882,3.698,0.869,SHANGCHI
12.575,-1.588,-7.704,-3.393,2.993,1.358,SHANGCHI
14.950,-1.025,-7.487,-3.768,5.394,0.955,SHANGCHI
10.991,-1.609,-7.783,-4.307,6.375,1.041,SHANGCHI
10.435,-3.065,-7.310,-3.815,5.079,1.530,SHANGCHI
13.157,-2.327,-5.729,-3.682,5.604,1.467,SHANGCHI
10.828,-2.999,-6.092,-3.897,6.537,1.630,SHANGCHI
8.010,-4.120,-4.360,-3.494,5.644,1.978,SHANGCHI
8.082,-4.165,-3.556,-3.679,5.834,1.920,SHANGCHI
5.397,-5.333,-3.796,-3.548,5.940,1.755,SHANGCHI
2.880,-5.687,-2.842,-3.289,5.185,1.690,SHANGCHI
1.935,-6.782,-3.780,-3.165,4.260,1.371,SHANGCHI
1.707,-8.251,-5.723,-2.662,3.913,1.062,SHANGCHI
0.665,-8.478,-6.667,-1.911,3.321,0.944,SHANGCHI
-0.670,-9.995,-7.580,-1.374,2.544,0.796,SHANGCHI
-0.604,-11.036,-7.800,-0.552,1.573,0.488,SHANGCHI
-0.399,-10.164,-6.974,0.281,0.957,0.336,SHANGCHI
-1.808,-9.427,-5.460,0.601,0.468,0.327,SHANGCHI
-3.245,-8.995,-4.038,1.007,-0.152,0.020,SHANGCHI
-4.103,-7.774,-2.585,1.477,-0.595,-0.601,SHANGCHI
-4.151,-5.886,-1.946,1.512,-1.042,-1.163,SHANGCHI
-3.603,-5.651,-3.707,1.471,-1.896,-1.740,SHANGCHI
0.128,-5.460,-2.742,2.176,-2.260,-2.276,SHANGCHI
0.824,-3.440,-1.026,2.502,-1.524,-2.813,SHANGCHI
0.288,-3.010,-1.153,2.365,-1.971,-2.973,SHANGCHI
2.312,-2.580,0.650,2.851,-2.077,-3.485,SHANGCHI
2.019,-0.318,0.603,2.652,-1.996,-4.056,SHANGCHI
