acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-3.100,11.443,0.372,-3.628,0.484,-2.924,SHIELD
-2.948,11.211,-1.112,-3.163,0.472,-3.375,SHIELD
0.156,11.405,-2.310,-3.367,1.714,-3.890,SHIELD
-1.775,9.001,-2.849,-2.465,1.935,-3.668,SHIELD
0.946,10.683,-3.412,-1.733,0.797,-2.947,SHIELD
3.762,9.597,-7.000,-1.399,2.459,-2.654,SHIELD
5.427,10.587,-7.209,0.301,1.478,-1.335,SHIELD
11.767,13.781,-8.269,1.948,-0.339,1.143,SHIELD
9.941,16.502,-8.064,2.892,-0.579,4.128,SHIELD
7.258,16.447,-9.023,3.912,-0.890,5.545,SHIELD
4.266,21.572,-7.391,4.262,1.726,5.778,SHIELD
-5.614,22.645,-4.960,4.466,1.132,5.801,SHIELD
-2.379,25.279,-3.632,4.299,0.555,5.554,SHIELD
-6.233,22.236,-2.031,3.984,1.368,4.935,SHIELD
-4.990,20.938,0.035,3.530,0.526,4.248,SHIELD
-1.804,19.179,-1.127,3.270,0.313,3.724,SHIELD
-0.515,17.615,-2.298,2.980,0.891,3.121,SHIELD
0.283,15.446,-3.681,2.785,0.418,2.931,SHIELD
3.574,14.141,-4.815,2.707,0.311,2.759,SHIELD
4.896,12.147,-6.741,2.611,0.089,2.733,SHIELD
7.621,10.640,-7.135,2.619,0.047,2.465,SHIELD
7.278,8.638,-7.607,2.370,0.495,2.293,SHIELD
7.587,7.082,-7.746,2.644,0.020,2.268,SHIELD
8.398,5.739,-7.752,2.097,0.958,1.958,SHIELD
7.190,3.888,-7.169,1.869,1.364,1.611,SHIELD
8.198,3.237,-6.818,1.409,1.800,1.271,SHIELD
6.882,1.378,-7.384,1.040,1.700,1.373,SHIELD
6.606,1.064,-6.941,0.743,1.574,1.223,SHIELD
6.835,-0.194,-7.822,0.581,1.826,0.874,SHIELD
7.462,-0.557,-7.791,0.348,2.170,0.783,SHIELD
5.578,-1.913,-7.388,0.075,2.360,0.864,SHIELD
5.761,-2.961,-6.376,0.279,2.981,-0.093,SHIELD
6.771,-1.873,-4.513,0.269,3.149,-0.515,SHIELD
6.788,-2.380,-3.907,-0.113,3.120,-0.341,SHIELD
7.108,-1.858,-3.243,-0.047,3.135,-0.476,SHIELD
7.563,-1.179,-2.717,-0.256,3.087,-0.502,SHIELD
7.034,-0.812,-1.844,-0.138,2.829,-0.327,SHIELD
6.788,-0.288,-0.944,-0.206,2.428,-0.047,SHIELD
7.450,-0.762,-1.412,-0.031,2.295,0.033,SHIELD
5.571,-0.587,-0.734,0.170,2.232,0.102,SHIELD
3.761,-0.422,0.166,0.302,1.800,0.444,SHIELD
2.027,-0.248,0.827,0.537,1.666,0.414,SHIELD
-0.008,0.479,2.948,0.659,1.190,0.239,SHIELD
-0.831,0.822,4.406,0.592,0.402,0.313,SHIELD
-0.945,1.213,5.350,0.408,-0.039,0.120,SHIELD
0.374,2.286,7.030,0.252,-0.684,-0.069,SHIELD
2.339,2.097,6.475,-0.348,-1.065,0.087,SHIELD
1.405,0.510,3.649,-0.754,-1.544,0.027,SHIELD
4.341,-0.708,-0.789,-0.821,-2.228,0.056,SHIELD
7.128,-1.541,-2.099,-0.374,-2.336,0.075,SHIELD
5.436,-2.271,-2.945,-0.241,-2.371,0.009,SHIELD
6.409,-1.604,-2.669,0.029,-2.710,-0.143,SHIELD
7.981,-1.561,-2.782,-0.092,-2.630,-0.098,SHIELD
6.647,-1.590,-2.960,-0.152,-2.470,-0.350,SHIELD
6.417,-1.099,-3.573,-0.163,-2.828,-0.322,SHIELD
6.126,-0.659,-4.691,-0.155,-3.494,-0.207,SHIELD
8.127,-0.046,-5.652,-0.569,-3.240,-0.538,SHIELD
8.505,0.546,-6.622,-0.863,-2.611,-0.854,SHIELD
8.775,1.798,-6.517,-1.192,-2.271,-1.082,SHIELD
7.447,2.505,-6.990,-1.562,-1.991,-1.417,SHIELD
8.094,3.335,-8.385,-1.722,-2.054,-1.627,SHIELD
9.117,4.173,-7.334,-1.592,-1.802,-1.969,SHIELD
10.679,6.398,-5.784,-1.865,-0.732,-2.617,SHIELD
8.459,7.497,-5.496,-2.713,0.708,-3.109,SHIELD
6.272,7.595,-7.391,-2.299,-1.029,-2.598,SHIELD
10.406,9.757,-6.953,-2.233,-0.587,-2.796,SHIELD
5.741,9.127,-6.321,-2.695,0.375,-2.910,SHIELD
4.645,10.579,-6.077,-2.024,-1.562,-2.181,SHIELD
7.614,13.030,-5.143,-2.436,-0.842,-2.643,SHIELD
4.698,12.608,-5.272,-2.740,-0.206,-2.923,SHIELD
1.173,11.864,-5.916,-1.730,-2.537,-2.089,SHIELD
3.691,14.825,-4.444,-1.550,-3.270,-1.738,SHIELD
1.649,14.105,-5.075,-2.204,-2.720,-1.802,SHIELD
0.155,13.181,-7.165,-1.887,-3.605,-1.329,SHIELD
0.764,13.140,-7.718,-1.364,-4.185,-0.872,SHIELD
1.379,12.283,-7.673,-1.085,-4.446,-0.382,SHIELD
0.785,11.022,-8.045,-0.591,-4.899,0.100,SHIELD
3.130,10.664,-7.193,-0.094,-4.223,0.235,SHIELD
3.921,10.368,-5.387,-0.141,-2.456,0.021,SHIELD
2.698,9.907,-3.913,-0.304,-0.918,-0.098,SHIELD
